,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년06월_계_총인구수,"46,442","20,829","4,486","3,115","5,853","2,358","2,433","3,506","2,129","1,733"
2020년06월_계_연령구간인구수,"46,442","20,829","4,486","3,115","5,853","2,358","2,433","3,506","2,129","1,733"
2020년06월_계_0~9세,"2,238","1,509",131,69,261,40,40,81,68,39
2020년06월_계_10~19세,"3,645","2,055",212,580,384,83,68,127,69,67
2020년06월_계_20~29세,"3,887","2,286",372,134,403,123,138,217,125,89
2020년06월_계_30~39세,"3,525","2,093",252,126,440,119,87,194,136,78
2020년06월_계_40~49세,"5,159","2,997",426,182,647,171,175,273,154,134
2020년06월_계_50~59세,"8,870","3,659",919,577,"1,225",458,532,737,409,354
2020년06월_계_60~69세,"9,820","3,179","1,089",748,"1,321",696,719,933,627,508
2020년06월_계_70~79세,"5,625","1,828",663,426,727,400,403,550,305,323
2020년06월_계_80~89세,"3,134","1,024",364,229,388,233,233,332,200,131
2020년06월_계_90~99세,507,189,52,40,55,31,36,59,35,10
2020년06월_계_100세 이상,32,10,6,4,2,4,2,3,1,0
2020년06월_남_총인구수,"23,787","10,465","2,344","1,603","3,066","1,214","1,231","1,822","1,131",911
2020년06월_남_연령구간인구수,"23,787","10,465","2,344","1,603","3,066","1,214","1,231","1,822","1,131",911
2020년06월_남_0~9세,"1,174",786,70,38,137,22,17,40,41,23
2020년06월_남_10~19세,"1,912","1,063",114,303,211,38,43,65,33,42
2020년06월_남_20~29세,"2,200","1,231",239,83,237,64,76,134,74,62
2020년06월_남_30~39세,"1,860","1,060",130,61,253,65,47,116,84,44
2020년06월_남_40~49세,"2,875","1,618",247,103,362,100,101,174,92,78
2020년06월_남_50~59세,"4,693","1,918",495,304,656,231,278,396,222,193
2020년06월_남_60~69세,"5,102","1,597",574,402,689,377,386,490,339,248
2020년06월_남_70~79세,"2,699",776,334,217,359,210,204,279,158,162
2020년06월_남_80~89세,"1,141",362,129,84,153,97,70,115,76,55
2020년06월_남_90~99세,120,51,12,7,9,8,8,10,11,4
2020년06월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년06월_여_총인구수,"22,655","10,364","2,142","1,512","2,787","1,144","1,202","1,684",998,822
2020년06월_여_연령구간인구수,"22,655","10,364","2,142","1,512","2,787","1,144","1,202","1,684",998,822
2020년06월_여_0~9세,"1,064",723,61,31,124,18,23,41,27,16
2020년06월_여_10~19세,"1,733",992,98,277,173,45,25,62,36,25
2020년06월_여_20~29세,"1,687","1,055",133,51,166,59,62,83,51,27
2020년06월_여_30~39세,"1,665","1,033",122,65,187,54,40,78,52,34
2020년06월_여_40~49세,"2,284","1,379",179,79,285,71,74,99,62,56
2020년06월_여_50~59세,"4,177","1,741",424,273,569,227,254,341,187,161
2020년06월_여_60~69세,"4,718","1,582",515,346,632,319,333,443,288,260
2020년06월_여_70~79세,"2,926","1,052",329,209,368,190,199,271,147,161
2020년06월_여_80~89세,"1,993",662,235,145,235,136,163,217,124,76
2020년06월_여_90~99세,387,138,40,33,46,23,28,49,24,6
2020년06월_여_100세 이상,21,7,6,3,2,2,1,0,0,0
