카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020년11월_계_총인구수,"108,681","5,581","4,279","2,888","2,086","2,812","1,801","1,825","2,112","2,584","3,454","2,783","1,694","2,347","1,230","2,136","17,582","3,040","20,536","3,432","10,417","6,042","4,164","3,856"
2020년11월_계_연령구간인구수,"108,681","5,581","4,279","2,888","2,086","2,812","1,801","1,825","2,112","2,584","3,454","2,783","1,694","2,347","1,230","2,136","17,582","3,040","20,536","3,432","10,417","6,042","4,164","3,856"
2020년11월_계_0~9세,"6,410",252,171,57,60,72,50,52,40,81,74,51,48,88,34,58,"1,463",159,"1,636",163,996,470,197,138
2020년11월_계_10~19세,"9,695",377,281,152,71,110,72,101,98,114,163,69,67,142,49,93,"2,025",296,"2,740",277,"1,322",520,328,228
2020년11월_계_20~29세,"10,666",395,387,207,120,159,117,144,121,172,253,134,91,162,75,120,"2,225",342,"2,444",344,"1,209",619,431,395
2020년11월_계_30~39세,"8,885",392,305,144,116,203,86,88,105,140,151,173,107,113,50,102,"1,935",233,"1,895",258,"1,075",641,291,282
2020년11월_계_40~49세,"14,897",649,461,245,186,256,157,176,182,235,363,223,143,249,86,204,"3,173",478,"3,425",386,"1,730",946,506,438
2020년11월_계_50~59세,"18,455",914,845,559,362,443,269,358,335,454,578,438,286,399,248,364,"2,954",552,"3,400",551,"1,691",968,806,681
2020년11월_계_60~69세,"16,839",990,789,578,404,606,383,355,416,520,698,667,329,439,280,443,"1,957",417,"2,470",623,"1,199",868,737,671
2020년11월_계_70~79세,"13,394",949,585,494,412,536,377,303,424,476,617,583,339,429,240,425,"1,204",339,"1,617",516,789,675,500,565
2020년11월_계_80~89세,"8,157",580,397,393,317,371,243,212,340,344,484,387,234,291,144,288,556,198,772,244,360,281,326,395
2020년11월_계_90~99세,"1,173",75,53,59,37,52,45,35,50,45,71,54,49,32,23,39,72,23,121,54,39,51,37,57
2020년11월_계_100세 이상,110,8,5,0,1,4,2,1,1,3,2,4,1,3,1,0,18,3,16,16,7,3,5,6
2020년11월_남_총인구수,"53,872","2,727","2,152","1,440","1,062","1,413",891,921,"1,047","1,287","1,710","1,385",850,"1,207",618,"1,069","8,898","1,502","9,890","1,644","5,146","3,011","2,021","1,981"
2020년11월_남_연령구간인구수,"53,872","2,727","2,152","1,440","1,062","1,413",891,921,"1,047","1,287","1,710","1,385",850,"1,207",618,"1,069","8,898","1,502","9,890","1,644","5,146","3,011","2,021","1,981"
2020년11월_남_0~9세,"3,280",123,79,29,36,36,30,32,21,45,43,23,23,39,17,27,748,73,819,81,533,244,105,74
2020년11월_남_10~19세,"5,155",230,158,82,41,50,37,57,61,52,84,40,35,92,27,43,"1,077",156,"1,377",144,756,260,172,124
2020년11월_남_20~29세,"5,875",218,212,129,76,111,70,80,76,101,145,77,50,95,46,65,"1,232",178,"1,269",196,660,330,240,219
2020년11월_남_30~39세,"4,718",223,164,81,71,129,54,55,61,81,99,110,70,74,33,63,"1,023",116,919,131,512,335,152,162
2020년11월_남_40~49세,"7,839",371,255,148,119,180,103,108,124,149,222,144,95,150,54,123,"1,611",249,"1,606",205,808,513,255,247
2020년11월_남_50~59세,"9,930",496,464,332,216,251,159,202,196,273,337,257,161,243,137,231,"1,558",299,"1,719",270,831,482,427,389
2020년11월_남_60~69세,"8,350",481,420,311,202,315,193,180,215,269,330,326,171,230,160,233,943,224,"1,171",282,568,418,355,353
2020년11월_남_70~79세,"5,772",391,266,197,187,217,168,138,180,196,265,273,150,176,94,180,516,141,718,217,342,306,204,250
2020년11월_남_80~89세,"2,676",171,125,123,106,112,72,60,101,109,157,124,80,103,46,95,170,62,265,103,128,112,99,153
2020년11월_남_90~99세,256,23,9,8,8,10,5,9,12,12,27,11,15,5,4,9,14,3,22,13,7,10,11,9
2020년11월_남_100세 이상,21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,5,2,1,1,1,1
2020년11월_여_총인구수,"54,809","2,854","2,127","1,448","1,024","1,399",910,904,"1,065","1,297","1,744","1,398",844,"1,140",612,"1,067","8,684","1,538","10,646","1,788","5,271","3,031","2,143","1,875"
2020년11월_여_연령구간인구수,"54,809","2,854","2,127","1,448","1,024","1,399",910,904,"1,065","1,297","1,744","1,398",844,"1,140",612,"1,067","8,684","1,538","10,646","1,788","5,271","3,031","2,143","1,875"
2020년11월_여_0~9세,"3,130",129,92,28,24,36,20,20,19,36,31,28,25,49,17,31,715,86,817,82,463,226,92,64
2020년11월_여_10~19세,"4,540",147,123,70,30,60,35,44,37,62,79,29,32,50,22,50,948,140,"1,363",133,566,260,156,104
2020년11월_여_20~29세,"4,791",177,175,78,44,48,47,64,45,71,108,57,41,67,29,55,993,164,"1,175",148,549,289,191,176
2020년11월_여_30~39세,"4,167",169,141,63,45,74,32,33,44,59,52,63,37,39,17,39,912,117,976,127,563,306,139,120
