카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년04월_계_총인구수,"229,369","17,831","10,311","7,770","19,881","16,071","14,365","10,270","12,404","18,243","28,539","8,814","6,849","9,254","21,120","13,348","14,299"
2020년04월_계_연령구간인구수,"229,369","17,831","10,311","7,770","19,881","16,071","14,365","10,270","12,404","18,243","28,539","8,814","6,849","9,254","21,120","13,348","14,299"
2020년04월_계_0~9세,"14,009","1,033",429,222,738,"1,382",980,790,805,942,"2,900",567,255,448,"1,208",829,481
2020년04월_계_10~19세,"16,102","1,344",611,268,"1,238",880,"1,314",803,879,900,"2,989",529,307,512,"1,168","1,543",817
2020년04월_계_20~29세,"33,169","2,598","1,581",963,"4,145","2,413","1,888","1,598","1,870","2,836","3,028","1,013",995,"1,345","2,819","1,819","2,258"
2020년04월_계_30~39세,"38,064","2,837","1,812","1,042","3,159","3,671","2,112","1,865","2,043","3,635","3,835","1,522","1,102","1,694","4,042","1,529","2,164"
2020년04월_계_40~49세,"36,042","2,807","1,459","1,166","2,832","2,658","2,377","1,598","1,885","2,553","5,074","1,246",913,"1,407","3,393","2,539","2,135"
2020년04월_계_50~59세,"36,669","2,944","1,508","1,715","3,100","2,166","2,333","1,557","1,996","3,034","4,481","1,409","1,126","1,283","3,270","2,216","2,531"
2020년04월_계_60~69세,"27,863","2,194","1,443","1,333","2,330","1,600","1,692","1,025","1,514","2,218","2,928","1,301","1,056","1,186","2,693","1,369","1,981"
2020년04월_계_70~79세,"17,178","1,331",926,689,"1,542",843,"1,045",637,952,"1,340","1,876",781,634,867,"1,646",809,"1,260"
2020년04월_계_80~89세,"8,336",582,439,276,657,363,537,329,377,606,"1,159",371,370,420,693,604,553
2020년04월_계_90~99세,"1,572",132,81,63,106,76,74,55,70,137,233,61,69,78,155,85,97
2020년04월_계_100세 이상,365,29,22,33,34,19,13,13,13,42,36,14,22,14,33,6,22
2020년04월_남_총인구수,"110,604","8,672","4,975","4,773","9,386","7,760","6,767","4,886","5,932","8,808","13,351","4,152","3,239","4,262","10,160","6,426","7,055"
2020년04월_남_연령구간인구수,"110,604","8,672","4,975","4,773","9,386","7,760","6,767","4,886","5,932","8,808","13,351","4,152","3,239","4,262","10,160","6,426","7,055"
2020년04월_남_0~9세,"7,248",541,228,111,363,703,489,406,416,493,"1,499",306,130,230,647,418,268
2020년04월_남_10~19세,"8,188",740,312,140,653,453,527,414,457,473,"1,510",272,152,241,595,790,459
2020년04월_남_20~29세,"15,900","1,323",830,463,"1,710","1,034",887,752,885,"1,280","1,485",495,523,668,"1,395",916,"1,254"
2020년04월_남_30~39세,"18,990","1,465",931,552,"1,682","1,791","1,085",916,"1,012","1,724","1,703",768,585,853,"1,996",731,"1,196"
2020년04월_남_40~49세,"17,734","1,365",743,769,"1,434","1,387","1,160",760,929,"1,261","2,285",612,443,659,"1,664","1,206","1,057"
2020년04월_남_50~59세,"18,154","1,420",692,"1,236","1,547","1,066","1,152",739,984,"1,512","2,160",650,529,575,"1,570","1,109","1,213"
2020년04월_남_60~69세,"13,260","1,026",650,920,"1,071",759,795,486,690,"1,129","1,391",590,469,498,"1,252",677,857
2020년04월_남_70~79세,"7,446",571,423,402,641,384,464,266,398,625,775,334,247,356,715,325,520
2020년04월_남_80~89세,"3,082",180,141,135,247,153,183,125,143,244,442,113,135,158,269,221,193
2020년04월_남_90~99세,497,36,18,28,28,26,21,20,13,53,93,10,20,21,49,30,31
2020년04월_남_100세 이상,105,5,7,17,10,4,4,2,5,14,8,2,6,3,8,3,7
2020년04월_여_총인구수,"118,765","9,159","5,336","2,997","10,495","8,311","7,598","5,384","6,472","9,435","15,188","4,662","3,610","4,992","10,960","6,922","7,244"
2020년04월_여_연령구간인구수,"118,765","9,159","5,336","2,997","10,495","8,311","7,598","5,384","6,472","9,435","15,188","4,662","3,610","4,992","10,960","6,922","7,244"
2020년04월_여_0~9세,"6,761",492,201,111,375,679,491,384,389,449,"1,401",261,125,218,561,411,213
2020년04월_여_10~19세,"7,914",604,299,128,585,427,787,389,422,427,"1,479",257,155,271,573,753,358
2020년04월_여_20~29세,"17,269","1,275",751,500,"2,435","1,379","1,001",846,985,"1,556","1,543",518,472,677,"1,424",903,"1,004"
2020년04월_여_30~39세,"19,074","1,372",881,490,"1,477","1,880","1,027",949,"1,031","1,911","2,132",754,517,841,"2,046",798,968
2020년04월_여_40~49세,"18,308","1,442",716,397,"1,398","1,271","1,217",838,956,"1,292","2,789",634,470,748,"1,729","1,333","1,078"
2020년04월_여_50~59세,"18,515","1,524",816,479,"1,553","1,100","1,181",818,"1,012","1,522","2,321",759,597,708,"1,700","1,107","1,318"
2020년04월_여_60~69세,"14,603","1,168",793,413,"1,259",841,897,539,824,"1,089","1,537",711,587,688,"1,441",692,"1,124"
2020년04월_여_70~79세,"9,732",760,503,287,901,459,581,371,554,715,"1,101",447,387,511,931,484,740
2020년04월_여_80~89세,"5,254",402,298,141,410,210,354,204,234,362,717,258,235,262,424,383,360
2020년04월_여_90~99세,"1,075",96,63,35,78,50,53,35,57,84,140,51,49,57,106,55,66
2020년04월_여_100세 이상,260,24,15,16,24,15,9,11,8,28,28,12,16,11,25,3,15
