,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년03월_계_총인구수,"30,625","9,974","2,138","2,232","3,541","1,516","1,903","2,297","2,737","2,189","2,098"
2021년03월_계_연령구간인구수,"30,625","9,974","2,138","2,232","3,541","1,516","1,903","2,297","2,737","2,189","2,098"
2021년03월_계_0~9세,"1,241",634,53,69,146,40,48,73,81,52,45
2021년03월_계_10~19세,"1,999",963,91,85,254,86,103,105,101,113,98
2021년03월_계_20~29세,"2,548","1,220",145,149,321,79,113,127,163,121,110
2021년03월_계_30~39세,"2,050",928,98,112,262,72,102,104,134,119,119
2021년03월_계_40~49세,"3,049","1,239",178,214,392,128,164,192,212,169,161
2021년03월_계_50~59세,"5,192","1,673",356,421,606,299,304,363,473,327,370
2021년03월_계_60~69세,"6,260","1,583",471,525,686,335,443,534,621,537,525
2021년03월_계_70~79세,"4,494","1,000",377,345,498,239,340,454,489,396,356
2021년03월_계_80~89세,"3,335",628,329,275,333,205,252,311,419,307,276
2021년03월_계_90~99세,450,104,40,36,43,33,33,34,44,47,36
2021년03월_계_100세 이상,7,2,0,1,0,0,1,0,0,1,2
2021년03월_남_총인구수,"15,544","5,008","1,073","1,174","1,847",800,980,"1,164","1,364","1,102","1,032"
2021년03월_남_연령구간인구수,"15,544","5,008","1,073","1,174","1,847",800,980,"1,164","1,364","1,102","1,032"
2021년03월_남_0~9세,634,324,27,36,74,28,21,37,41,26,20
2021년03월_남_10~19세,"1,054",483,55,47,141,51,56,52,58,56,55
2021년03월_남_20~29세,"1,486",702,85,89,199,47,67,62,93,75,67
2021년03월_남_30~39세,"1,164",483,59,71,158,38,62,66,85,73,69
2021년03월_남_40~49세,"1,787",649,101,136,225,82,113,138,128,113,102
2021년03월_남_50~59세,"2,846",884,194,242,326,175,181,209,271,168,196
2021년03월_남_60~69세,"3,206",761,254,275,366,186,232,269,319,271,273
2021년03월_남_70~79세,"2,048",478,168,169,220,105,154,198,213,189,154
2021년03월_남_80~89세,"1,191",215,120,98,118,78,83,125,148,116,90
2021년03월_남_90~99세,126,28,10,11,20,10,10,8,8,15,6
2021년03월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0
2021년03월_여_총인구수,"15,081","4,966","1,065","1,058","1,694",716,923,"1,133","1,373","1,087","1,066"
2021년03월_여_연령구간인구수,"15,081","4,966","1,065","1,058","1,694",716,923,"1,133","1,373","1,087","1,066"
2021년03월_여_0~9세,607,310,26,33,72,12,27,36,40,26,25
2021년03월_여_10~19세,945,480,36,38,113,35,47,53,43,57,43
2021년03월_여_20~29세,"1,062",518,60,60,122,32,46,65,70,46,43
2021년03월_여_30~39세,886,445,39,41,104,34,40,38,49,46,50
2021년03월_여_40~49세,"1,262",590,77,78,167,46,51,54,84,56,59
2021년03월_여_50~59세,"2,346",789,162,179,280,124,123,154,202,159,174
2021년03월_여_60~69세,"3,054",822,217,250,320,149,211,265,302,266,252
2021년03월_여_70~79세,"2,446",522,209,176,278,134,186,256,276,207,202
2021년03월_여_80~89세,"2,144",413,209,177,215,127,169,186,271,191,186
2021년03월_여_90~99세,324,76,30,25,23,23,23,26,36,32,30
2021년03월_여_100세 이상,5,1,0,1,0,0,0,0,0,1,2
