카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년12월_계_총인구수,"50,527","28,977","3,220","1,418","1,941","2,347","3,036","4,253","2,290","3,045"
2020년12월_계_연령구간인구수,"50,527","28,977","3,220","1,418","1,941","2,347","3,036","4,253","2,290","3,045"
2020년12월_계_0~9세,"2,590","2,114",84,39,37,29,55,106,58,68
2020년12월_계_10~19세,"3,884","3,036",130,67,73,57,139,191,76,115
2020년12월_계_20~29세,"4,412","3,144",222,62,98,84,141,279,175,207
2020년12월_계_30~39세,"3,877","2,763",178,75,82,86,122,262,130,179
2020년12월_계_40~49세,"6,253","4,484",289,99,161,126,220,396,173,305
2020년12월_계_50~59세,"8,962","4,980",616,274,321,453,518,779,422,599
2020년12월_계_60~69세,"9,855","4,341",832,353,510,652,813,994,571,789
2020년12월_계_70~79세,"6,358","2,665",481,245,347,434,595,730,394,467
2020년12월_계_80~89세,"3,740","1,261",331,169,263,370,384,437,259,266
2020년12월_계_90~99세,569,183,56,35,41,53,45,77,32,47
2020년12월_계_100세 이상,27,6,1,0,8,3,4,2,0,3
2020년12월_남_총인구수,"25,489","14,498","1,665",713,992,"1,181","1,472","2,183","1,199","1,586"
2020년12월_남_연령구간인구수,"25,489","14,498","1,665",713,992,"1,181","1,472","2,183","1,199","1,586"
2020년12월_남_0~9세,"1,351","1,102",47,20,18,16,25,53,33,37
2020년12월_남_10~19세,"2,062","1,604",66,38,38,33,73,108,37,65
2020년12월_남_20~29세,"2,517","1,748",146,39,59,56,86,163,101,119
2020년12월_남_30~39세,"2,023","1,385",100,46,53,47,61,154,74,103
2020년12월_남_40~49세,"3,366","2,279",170,65,103,86,129,256,110,168
2020년12월_남_50~59세,"4,799","2,569",336,142,194,255,293,427,246,337
2020년12월_남_60~69세,"5,023","2,128",444,190,262,351,408,511,309,420
2020년12월_남_70~79세,"2,931","1,178",230,115,164,208,270,358,187,221
2020년12월_남_80~89세,"1,265",465,107,50,87,110,113,134,94,105
2020년12월_남_90~99세,146,39,19,8,11,19,13,18,8,11
2020년12월_남_100세 이상,6,1,0,0,3,0,1,1,0,0
2020년12월_여_총인구수,"25,038","14,479","1,555",705,949,"1,166","1,564","2,070","1,091","1,459"
2020년12월_여_연령구간인구수,"25,038","14,479","1,555",705,949,"1,166","1,564","2,070","1,091","1,459"
2020년12월_여_0~9세,"1,239","1,012",37,19,19,13,30,53,25,31
2020년12월_여_10~19세,"1,822","1,432",64,29,35,24,66,83,39,50
2020년12월_여_20~29세,"1,895","1,396",76,23,39,28,55,116,74,88
2020년12월_여_30~39세,"1,854","1,378",78,29,29,39,61,108,56,76
2020년12월_여_40~49세,"2,887","2,205",119,34,58,40,91,140,63,137
2020년12월_여_50~59세,"4,163","2,411",280,132,127,198,225,352,176,262
2020년12월_여_60~69세,"4,832","2,213",388,163,248,301,405,483,262,369
2020년12월_여_70~79세,"3,427","1,487",251,130,183,226,325,372,207,246
2020년12월_여_80~89세,"2,475",796,224,119,176,260,271,303,165,161
2020년12월_여_90~99세,423,144,37,27,30,34,32,59,24,36
2020년12월_여_100세 이상,21,5,1,0,5,3,3,1,0,3
