,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년09월_계_총인구수,"27,871","10,280","1,561","2,056","1,754","1,735","1,435","1,984","2,221","1,313","1,164","2,368"
2020년09월_계_연령구간인구수,"27,871","10,280","1,561","2,056","1,754","1,735","1,435","1,984","2,221","1,313","1,164","2,368"
2020년09월_계_0~9세,"1,561",877,64,74,66,49,64,73,128,45,53,68
2020년09월_계_10~19세,"2,220","1,315",94,104,97,69,70,115,139,39,55,123
2020년09월_계_20~29세,"2,095","1,025",103,111,93,101,77,136,134,97,82,136
2020년09월_계_30~39세,"2,044","1,030",99,110,109,102,101,108,133,77,68,107
2020년09월_계_40~49세,"3,359","1,637",148,217,194,143,119,187,222,129,127,236
2020년09월_계_50~59세,"4,503","1,528",278,350,263,318,244,359,406,200,156,401
2020년09월_계_60~69세,"4,760","1,301",295,385,329,402,280,427,423,251,212,455
2020년09월_계_70~79세,"4,200",961,256,407,332,285,259,337,390,263,216,494
2020년09월_계_80~89세,"2,729",518,195,257,242,236,199,213,209,183,181,296
2020년09월_계_90~99세,369,82,24,38,27,28,20,29,34,25,13,49
2020년09월_계_100세 이상,31,6,5,3,2,2,2,0,3,4,1,3
2020년09월_남_총인구수,"13,538","4,973",755,"1,007",864,856,702,978,"1,066",634,543,"1,160"
2020년09월_남_연령구간인구수,"13,538","4,973",755,"1,007",864,856,702,978,"1,066",634,543,"1,160"
2020년09월_남_0~9세,804,461,33,38,32,25,34,32,70,12,33,34
2020년09월_남_10~19세,"1,145",669,49,52,53,39,38,66,69,21,27,62
2020년09월_남_20~29세,"1,144",538,64,58,55,59,44,74,81,59,34,78
2020년09월_남_30~39세,999,462,43,62,69,63,46,57,56,43,36,62
2020년09월_남_40~49세,"1,913",855,81,147,120,95,77,114,120,80,80,144
2020년09월_남_50~59세,"2,438",804,165,184,149,167,145,181,217,116,85,225
2020년09월_남_60~69세,"2,409",613,152,224,167,223,138,229,218,122,103,220
2020년09월_남_70~79세,"1,703",387,110,149,139,107,106,143,160,107,92,203
2020년09월_남_80~89세,886,164,53,87,74,70,70,72,62,64,53,117
2020년09월_남_90~99세,96,19,5,6,6,8,4,10,13,10,0,15
2020년09월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"14,333","5,307",806,"1,049",890,879,733,"1,006","1,155",679,621,"1,208"
2020년09월_여_연령구간인구수,"14,333","5,307",806,"1,049",890,879,733,"1,006","1,155",679,621,"1,208"
2020년09월_여_0~9세,757,416,31,36,34,24,30,41,58,33,20,34
2020년09월_여_10~19세,"1,075",646,45,52,44,30,32,49,70,18,28,61
2020년09월_여_20~29세,951,487,39,53,38,42,33,62,53,38,48,58
2020년09월_여_30~39세,"1,045",568,56,48,40,39,55,51,77,34,32,45
2020년09월_여_40~49세,"1,446",782,67,70,74,48,42,73,102,49,47,92
2020년09월_여_50~59세,"2,065",724,113,166,114,151,99,178,189,84,71,176
2020년09월_여_60~69세,"2,351",688,143,161,162,179,142,198,205,129,109,235
2020년09월_여_70~79세,"2,497",574,146,258,193,178,153,194,230,156,124,291
2020년09월_여_80~89세,"1,843",354,142,170,168,166,129,141,147,119,128,179
2020년09월_여_90~99세,273,63,19,32,21,20,16,19,21,15,13,34
2020년09월_여_100세 이상,30,5,5,3,2,2,2,0,3,4,1,3
