카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년08월_계_총인구수,"310,555","24,831","22,247","30,628","27,749","32,290","19,177","16,652","17,715","21,393","21,517","23,581","21,033","31,742"
2020년08월_계_연령구간인구수,"310,555","24,831","22,247","30,628","27,749","32,290","19,177","16,652","17,715","21,393","21,517","23,581","21,033","31,742"
2020년08월_계_0~9세,"16,395","1,359",838,"1,606","1,150","3,085",743,729,"1,003","1,085","1,098",886,"1,139","1,674"
2020년08월_계_10~19세,"22,538","2,022","1,371","2,122","1,696","4,065","1,116","1,149","1,391","1,390","1,450","1,149","1,431","2,186"
2020년08월_계_20~29세,"43,103","3,194","3,805","4,272","3,731","3,421","3,333","2,162","1,975","3,097","3,056","4,246","2,664","4,147"
2020년08월_계_30~39세,"39,437","3,050","2,937","4,228","3,354","3,923","2,868","1,851","1,799","2,825","2,553","3,464","2,629","3,956"
2020년08월_계_40~49세,"47,640","3,786","3,134","4,723","4,038","6,628","2,945","2,507","2,735","3,054","3,098","3,341","3,067","4,584"
2020년08월_계_50~59세,"53,052","4,443","3,873","5,216","5,111","4,958","3,143","2,859","2,805","3,679","3,805","4,051","3,602","5,507"
2020년08월_계_60~69세,"45,342","3,738","3,293","4,519","4,565","3,298","2,579","2,649","2,663","3,280","3,233","3,344","3,247","4,934"
2020년08월_계_70~79세,"30,061","2,250","2,084","2,820","2,873","2,013","1,754","1,995","2,513","2,014","2,153","2,186","2,174","3,232"
2020년08월_계_80~89세,"11,244",830,800,976,"1,068",772,602,672,727,820,945,801,910,"1,321"
2020년08월_계_90~99세,"1,496",129,102,117,139,102,86,73,95,112,121,99,138,183
2020년08월_계_100세 이상,247,30,10,29,24,25,8,6,9,37,5,14,32,18
2020년08월_남_총인구수,"151,376","12,393","10,724","14,714","13,818","15,502","9,573","8,087","8,361","10,575","10,308","11,726","10,246","15,349"
2020년08월_남_연령구간인구수,"151,376","12,393","10,724","14,714","13,818","15,502","9,573","8,087","8,361","10,575","10,308","11,726","10,246","15,349"
2020년08월_남_0~9세,"8,480",713,441,827,594,"1,597",386,391,524,547,561,434,616,849
2020년08월_남_10~19세,"11,617","1,059",723,"1,033",846,"2,078",589,611,707,709,777,629,759,"1,097"
2020년08월_남_20~29세,"21,119","1,663","1,663","2,078","1,918","1,678","1,601","1,122","1,010","1,561","1,448","2,059","1,260","2,058"
2020년08월_남_30~39세,"20,735","1,616","1,558","2,140","1,804","1,835","1,530","1,038",923,"1,524","1,374","1,897","1,406","2,090"
2020년08월_남_40~49세,"24,372","1,926","1,622","2,408","2,126","3,204","1,557","1,265","1,400","1,648","1,541","1,779","1,556","2,340"
2020년08월_남_50~59세,"25,922","2,252","1,880","2,450","2,579","2,456","1,626","1,395","1,344","1,768","1,791","2,032","1,725","2,624"
2020년08월_남_60~69세,"21,125","1,753","1,575","2,079","2,228","1,519","1,222","1,201","1,173","1,530","1,499","1,547","1,520","2,279"
2020년08월_남_70~79세,"13,068","1,029",914,"1,251","1,253",846,785,803,979,922,909,983,953,"1,441"
2020년08월_남_80~89세,"4,462",334,320,405,423,261,251,244,275,330,373,327,398,521
2020년08월_남_90~99세,415,38,27,31,42,21,25,14,25,32,34,37,45,44
2020년08월_남_100세 이상,61,10,1,12,5,7,1,3,1,4,1,2,8,6
2020년08월_여_총인구수,"159,179","12,438","11,523","15,914","13,931","16,788","9,604","8,565","9,354","10,818","11,209","11,855","10,787","16,393"
2020년08월_여_연령구간인구수,"159,179","12,438","11,523","15,914","13,931","16,788","9,604","8,565","9,354","10,818","11,209","11,855","10,787","16,393"
2020년08월_여_0~9세,"7,915",646,397,779,556,"1,488",357,338,479,538,537,452,523,825
2020년08월_여_10~19세,"10,921",963,648,"1,089",850,"1,987",527,538,684,681,673,520,672,"1,089"
2020년08월_여_20~29세,"21,984","1,531","2,142","2,194","1,813","1,743","1,732","1,040",965,"1,536","1,608","2,187","1,404","2,089"
2020년08월_여_30~39세,"18,702","1,434","1,379","2,088","1,550","2,088","1,338",813,876,"1,301","1,179","1,567","1,223","1,866"
2020년08월_여_40~49세,"23,268","1,860","1,512","2,315","1,912","3,424","1,388","1,242","1,335","1,406","1,557","1,562","1,511","2,244"
2020년08월_여_50~59세,"27,130","2,191","1,993","2,766","2,532","2,502","1,517","1,464","1,461","1,911","2,014","2,019","1,877","2,883"
2020년08월_여_60~69세,"24,217","1,985","1,718","2,440","2,337","1,779","1,357","1,448","1,490","1,750","1,734","1,797","1,727","2,655"
2020년08월_여_70~79세,"16,993","1,221","1,170","1,569","1,620","1,167",969,"1,192","1,534","1,092","1,244","1,203","1,221","1,791"
2020년08월_여_80~89세,"6,782",496,480,571,645,511,351,428,452,490,572,474,512,800
2020년08월_여_90~99세,"1,081",91,75,86,97,81,61,59,70,80,87,62,93,139
2020년08월_여_100세 이상,186,20,9,17,19,18,7,3,8,33,4,12,24,12
