카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년08월_계_총인구수,"51,630","24,602","1,783","1,849","2,776","1,600","1,669",879,"1,441","1,138","1,018","3,631","1,776","3,114","4,354"
2020년08월_계_연령구간인구수,"51,630","24,602","1,783","1,849","2,776","1,600","1,669",879,"1,441","1,138","1,018","3,631","1,776","3,114","4,354"
2020년08월_계_0~9세,"2,693","1,967",46,29,103,26,28,18,34,30,27,149,21,65,150
2020년08월_계_10~19세,"4,083","2,642",90,86,183,68,58,34,64,69,34,273,50,143,289
2020년08월_계_20~29세,"3,966","2,263",82,95,250,91,90,46,99,70,54,278,92,175,281
2020년08월_계_30~39세,"4,039","2,500",93,88,186,72,80,38,83,47,40,252,79,174,307
2020년08월_계_40~49세,"6,523","3,827",185,154,325,134,131,51,130,80,69,426,166,290,555
2020년08월_계_50~59세,"9,214","4,321",307,302,497,288,312,129,269,184,186,644,368,583,824
2020년08월_계_60~69세,"9,505","3,650",446,445,576,344,381,198,299,258,233,782,378,713,802
2020년08월_계_70~79세,"6,802","2,192",323,379,390,309,311,203,231,188,203,509,353,567,644
2020년08월_계_80~89세,"4,173","1,081",183,235,224,235,239,141,200,176,145,277,236,352,449
2020년08월_계_90~99세,615,150,28,36,42,32,39,21,31,35,25,41,32,51,52
2020년08월_계_100세 이상,17,9,0,0,0,1,0,0,1,1,2,0,1,1,1
2020년08월_남_총인구수,"25,895","12,318",916,904,"1,453",786,848,387,703,556,508,"1,791",893,"1,597","2,235"
2020년08월_남_연령구간인구수,"25,895","12,318",916,904,"1,453",786,848,387,703,556,508,"1,791",893,"1,597","2,235"
2020년08월_남_0~9세,"1,366","1,005",24,17,49,14,13,9,13,16,11,73,10,30,82
2020년08월_남_10~19세,"2,217","1,457",52,47,92,39,28,16,30,37,16,140,27,79,157
2020년08월_남_20~29세,"2,342","1,306",52,60,163,55,54,23,64,42,37,157,52,103,174
2020년08월_남_30~39세,"2,215","1,278",63,54,108,37,52,21,52,30,28,131,52,122,187
2020년08월_남_40~49세,"3,649","2,013",112,97,197,79,77,28,85,51,41,230,100,194,345
2020년08월_남_50~59세,"4,989","2,218",174,174,279,150,190,69,150,100,112,340,219,334,480
2020년08월_남_60~69세,"4,748","1,751",231,203,297,190,200,92,157,133,134,404,204,368,384
2020년08월_남_70~79세,"2,979",930,147,166,181,137,155,85,92,83,82,232,153,261,275
2020년08월_남_80~89세,"1,272",332,57,78,76,77,66,42,57,56,41,78,73,97,142
2020년08월_남_90~99세,114,25,4,8,11,8,13,2,3,8,5,6,3,9,9
2020년08월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년08월_여_총인구수,"25,735","12,284",867,945,"1,323",814,821,492,738,582,510,"1,840",883,"1,517","2,119"
2020년08월_여_연령구간인구수,"25,735","12,284",867,945,"1,323",814,821,492,738,582,510,"1,840",883,"1,517","2,119"
2020년08월_여_0~9세,"1,327",962,22,12,54,12,15,9,21,14,16,76,11,35,68
2020년08월_여_10~19세,"1,866","1,185",38,39,91,29,30,18,34,32,18,133,23,64,132
2020년08월_여_20~29세,"1,624",957,30,35,87,36,36,23,35,28,17,121,40,72,107
2020년08월_여_30~39세,"1,824","1,222",30,34,78,35,28,17,31,17,12,121,27,52,120
2020년08월_여_40~49세,"2,874","1,814",73,57,128,55,54,23,45,29,28,196,66,96,210
2020년08월_여_50~59세,"4,225","2,103",133,128,218,138,122,60,119,84,74,304,149,249,344
2020년08월_여_60~69세,"4,757","1,899",215,242,279,154,181,106,142,125,99,378,174,345,418
2020년08월_여_70~79세,"3,823","1,262",176,213,209,172,156,118,139,105,121,277,200,306,369
2020년08월_여_80~89세,"2,901",749,126,157,148,158,173,99,143,120,104,199,163,255,307
2020년08월_여_90~99세,501,125,24,28,31,24,26,19,28,27,20,35,29,42,43
2020년08월_여_100세 이상,13,6,0,0,0,1,0,0,1,1,1,0,1,1,1
