,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년07월_계_총인구수,"306,866","19,665","14,106","12,574","12,368","26,635","21,514","25,321","17,140","15,798","10,846","27,591","39,159","27,638","11,580","18,861","6,070"
2021년07월_계_연령구간인구수,"306,866","19,665","14,106","12,574","12,368","26,635","21,514","25,321","17,140","15,798","10,846","27,591","39,159","27,638","11,580","18,861","6,070"
2021년07월_계_0~9세,"18,873","1,034",843,499,718,"1,577","1,166","1,379","1,095","1,031",908,"1,838","2,874","1,625","1,278",879,129
2021년07월_계_10~19세,"24,680","1,546","1,097",746,945,"2,231","1,665","1,978","1,101","1,309",948,"2,401","3,888","2,371",835,"1,380",239
2021년07월_계_20~29세,"38,791","2,241","1,532","1,443","1,476","3,368","3,492","5,146","1,855","2,074","1,063","3,451","4,449","3,258","1,272","2,142",529
2021년07월_계_30~39세,"35,452","2,181","1,467","1,455","1,297","2,931","2,810","3,157","2,081","2,097","1,416","3,553","4,190","2,646","1,984","1,770",417
2021년07월_계_40~49세,"45,075","2,661","2,159","1,606","1,792","3,822","2,954","3,477","2,497","2,409","1,948","4,410","6,352","3,952","1,797","2,532",707
2021년07월_계_50~59세,"53,390","3,362","2,262","2,113","2,046","4,653","3,593","4,033","3,110","2,855","1,738","4,807","7,078","5,236","1,827","3,535","1,142"
2021년07월_계_60~69세,"52,692","3,539","2,619","2,584","2,313","4,772","3,473","3,665","3,127","2,577","1,615","4,480","6,045","5,058","1,642","3,863","1,320"
2021년07월_계_70~79세,"26,508","2,064","1,520","1,490","1,261","2,322","1,638","1,773","1,610","1,028",895,"1,975","2,926","2,311",699,"1,961","1,035"
2021년07월_계_80~89세,"10,043",902,537,574,461,845,641,637,588,362,292,598,"1,188","1,026",202,700,490
2021년07월_계_90~99세,"1,323",132,67,64,57,111,80,72,74,56,21,75,166,151,43,96,58
2021년07월_계_100세 이상,39,3,3,0,2,3,2,4,2,0,2,3,3,4,1,3,4
2021년07월_남_총인구수,"152,755","9,479","6,905","6,060","5,986","13,060","10,740","12,598","8,820","7,876","5,626","14,037","19,638","13,583","5,919","9,305","3,123"
2021년07월_남_연령구간인구수,"152,755","9,479","6,905","6,060","5,986","13,060","10,740","12,598","8,820","7,876","5,626","14,037","19,638","13,583","5,919","9,305","3,123"
2021년07월_남_0~9세,"9,695",544,429,278,383,808,578,729,568,537,462,967,"1,431",820,671,435,55
2021년07월_남_10~19세,"12,759",826,539,381,457,"1,161",846,955,579,689,501,"1,256","2,074","1,210",451,714,120
2021년07월_남_20~29세,"20,762","1,161",796,747,797,"1,789","1,838","2,802","1,022","1,033",591,"1,830","2,468","1,819",657,"1,102",310
2021년07월_남_30~39세,"18,880","1,161",780,805,666,"1,529","1,562","1,726","1,173","1,131",737,"1,933","2,108","1,346","1,026",945,252
2021년07월_남_40~49세,"23,128","1,303","1,124",856,883,"1,898","1,499","1,783","1,355","1,214","1,082","2,296","3,140","1,925",966,"1,363",441
2021년07월_남_50~59세,"26,247","1,552","1,123",996,968,"2,134","1,724","1,898","1,644","1,378",974,"2,405","3,572","2,568",930,"1,708",673
2021년07월_남_60~69세,"25,306","1,625","1,194","1,150","1,041","2,270","1,675","1,665","1,549","1,238",786,"2,204","3,078","2,520",797,"1,849",665
2021년07월_남_70~79세,"12,180",969,721,632,601,"1,134",757,775,713,507,400,918,"1,334","1,019",347,916,437
2021년07월_남_80~89세,"3,537",311,190,199,179,309,252,250,198,136,90,217,393,328,69,255,161
2021년07월_남_90~99세,251,27,9,16,11,27,7,13,18,13,2,10,40,27,5,18,8
2021년07월_남_100세 이상,10,0,0,0,0,1,2,2,1,0,1,1,0,1,0,0,1
2021년07월_여_총인구수,"154,111","10,186","7,201","6,514","6,382","13,575","10,774","12,723","8,320","7,922","5,220","13,554","19,521","14,055","5,661","9,556","2,947"
2021년07월_여_연령구간인구수,"154,111","10,186","7,201","6,514","6,382","13,575","10,774","12,723","8,320","7,922","5,220","13,554","19,521","14,055","5,661","9,556","2,947"
2021년07월_여_0~9세,"9,178",490,414,221,335,769,588,650,527,494,446,871,"1,443",805,607,444,74
2021년07월_여_10~19세,"11,921",720,558,365,488,"1,070",819,"1,023",522,620,447,"1,145","1,814","1,161",384,666,119
2021년07월_여_20~29세,"18,029","1,080",736,696,679,"1,579","1,654","2,344",833,"1,041",472,"1,621","1,981","1,439",615,"1,040",219
2021년07월_여_30~39세,"16,572","1,020",687,650,631,"1,402","1,248","1,431",908,966,679,"1,620","2,082","1,300",958,825,165
2021년07월_여_40~49세,"21,947","1,358","1,035",750,909,"1,924","1,455","1,694","1,142","1,195",866,"2,114","3,212","2,027",831,"1,169",266
2021년07월_여_50~59세,"27,143","1,810","1,139","1,117","1,078","2,519","1,869","2,135","1,466","1,477",764,"2,402","3,506","2,668",897,"1,827",469
2021년07월_여_60~69세,"27,386","1,914","1,425","1,434","1,272","2,502","1,798","2,000","1,578","1,339",829,"2,276","2,967","2,538",845,"2,014",655
2021년07월_여_70~79세,"14,328","1,095",799,858,660,"1,188",881,998,897,521,495,"1,057","1,592","1,292",352,"1,045",598
2021년07월_여_80~89세,"6,506",591,347,375,282,536,389,387,390,226,202,381,795,698,133,445,329
2021년07월_여_90~99세,"1,072",105,58,48,46,84,73,59,56,43,19,65,126,124,38,78,50
2021년07월_여_100세 이상,29,3,3,0,2,2,0,2,1,0,1,2,3,3,1,3,3
