,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년11월_계_총인구수,"458,604","33,029","33,128","26,335","17,472","26,157","22,385","35,609","15,447","18,395","27,579","34,748","26,707","20,273","24,208","23,451","46,642",252,"26,787"
2020년11월_계_연령구간인구수,"458,604","33,029","33,128","26,335","17,472","26,157","22,385","35,609","15,447","18,395","27,579","34,748","26,707","20,273","24,208","23,451","46,642",252,"26,787"
2020년11월_계_0~9세,"34,627","2,696","4,194","2,140","1,173","3,104","2,554","2,228","1,434","2,062","1,482","1,774","1,332","1,598","1,104","1,311","2,570",3,"1,868"
2020년11월_계_10~19세,"39,017","4,512","3,295","2,531","2,552","3,533","1,948","2,653","1,026","1,928","1,786","1,905","1,320","1,747","1,212","1,789","3,050",7,"2,223"
2020년11월_계_20~29세,"61,322","4,063","3,590","3,262","2,170","2,477","2,429","4,883","2,004","1,992","3,854","5,011","4,232","2,715","4,009","3,629","7,150",19,"3,833"
2020년11월_계_30~39세,"71,779","3,849","5,358","4,181","1,860","3,615","3,954","5,336","2,905","2,631","4,135","6,298","4,829","3,384","4,286","3,584","7,621",23,"3,930"
2020년11월_계_40~49세,"73,864","5,702","5,880","4,259","3,123","5,494","3,770","5,603","2,420","3,272","4,103","5,075","3,805","3,366","3,484","3,612","6,893",47,"3,956"
2020년11월_계_50~59세,"72,299","5,086","4,818","4,077","2,760","3,502","3,297","6,071","2,253","2,711","4,662","5,783","4,305","3,049","3,829","3,985","7,608",31,"4,472"
2020년11월_계_60~69세,"62,747","3,904","3,993","3,598","2,437","2,752","2,834","5,034","1,913","2,337","4,397","5,067","3,963","2,564","3,643","3,236","7,043",54,"3,978"
2020년11월_계_70~79세,"30,490","2,108","1,473","1,611",976,"1,098","1,132","2,729","1,093","1,055","2,281","2,751","2,092","1,321","1,889","1,690","3,372",39,"1,780"
2020년11월_계_80~89세,"10,335",929,431,556,325,433,370,905,337,333,737,902,721,448,648,521,"1,113",13,613
2020년11월_계_90~99세,"1,876",165,90,111,89,121,93,142,50,65,127,158,93,76,86,82,198,8,122
2020년11월_계_100세 이상,248,15,6,9,7,28,4,25,12,9,15,24,15,5,18,12,24,8,12
2020년11월_남_총인구수,"225,631","15,967","16,337","12,853","8,640","13,288","11,307","17,627","7,485","9,002","13,555","17,171","13,054","9,864","11,861","11,543","22,769",119,"13,189"
2020년11월_남_연령구간인구수,"225,631","15,967","16,337","12,853","8,640","13,288","11,307","17,627","7,485","9,002","13,555","17,171","13,054","9,864","11,861","11,543","22,769",119,"13,189"
2020년11월_남_0~9세,"17,910","1,382","2,181","1,114",596,"1,619","1,315","1,106",740,"1,048",736,922,705,851,587,679,"1,346",2,981
2020년11월_남_10~19세,"20,527","2,322","1,660","1,325","1,403","2,028","1,022","1,372",490,"1,008",924,992,665,910,595,"1,061","1,585",3,"1,162"
2020년11월_남_20~29세,"30,274","2,023","1,867","1,630","1,117","1,329","1,281","2,545",970,991,"1,926","2,369","1,874","1,345","1,803","1,886","3,389",11,"1,918"
2020년11월_남_30~39세,"35,800","1,810","2,473","2,107",918,"1,683","1,940","2,763","1,433","1,207","2,169","3,248","2,416","1,650","2,248","1,810","3,906",11,"2,008"
2020년11월_남_40~49세,"37,019","2,740","2,953","2,037","1,400","2,757","1,957","2,858","1,215","1,624","2,151","2,621","1,975","1,634","1,802","1,765","3,533",23,"1,974"
2020년11월_남_50~59세,"35,256","2,510","2,299","1,944","1,365","1,786","1,660","2,987","1,077","1,309","2,218","2,902","2,229","1,449","1,892","1,892","3,614",18,"2,105"
2020년11월_남_60~69세,"29,790","1,821","1,966","1,683","1,190","1,361","1,386","2,375",889,"1,145","2,066","2,437","1,904","1,168","1,724","1,437","3,303",27,"1,908"
2020년11월_남_70~79세,"14,730",970,769,783,518,535,587,"1,264",518,520,"1,072","1,284",998,654,916,806,"1,635",13,888
2020년11월_남_80~89세,"3,867",343,154,206,114,157,133,317,137,135,269,357,268,177,272,187,416,9,216
2020년11월_남_90~99세,396,43,13,22,19,23,23,35,14,11,20,31,15,26,18,17,37,1,28
2020년11월_남_100세 이상,62,3,2,2,0,10,3,5,2,4,4,8,5,0,4,3,5,1,1
2020년11월_여_총인구수,"232,973","17,062","16,791","13,482","8,832","12,869","11,078","17,982","7,962","9,393","14,024","17,577","13,653","10,409","12,347","11,908","23,873",133,"13,598"
2020년11월_여_연령구간인구수,"232,973","17,062","16,791","13,482","8,832","12,869","11,078","17,982","7,962","9,393","14,024","17,577","13,653","10,409","12,347","11,908","23,873",133,"13,598"
2020년11월_여_0~9세,"16,717","1,314","2,013","1,026",577,"1,485","1,239","1,122",694,"1,014",746,852,627,747,517,632,"1,224",1,887
2020년11월_여_10~19세,"18,490","2,190","1,635","1,206","1,149","1,505",926,"1,281",536,920,862,913,655,837,617,728,"1,465",4,"1,061"
2020년11월_여_20~29세,"31,048","2,040","1,723","1,632","1,053","1,148","1,148","2,338","1,034","1,001","1,928","2,642","2,358","1,370","2,206","1,743","3,761",8,"1,915"
2020년11월_여_30~39세,"35,979","2,039","2,885","2,074",942,"1,932","2,014","2,573","1,472","1,424","1,966","3,050","2,413","1,734","2,038","1,774","3,715",12,"1,922"
2020년11월_여_40~49세,"36,845","2,962","2,927","2,222","1,723","2,737","1,813","2,745","1,205","1,648","1,952","2,454","1,830","1,732","1,682","1,847","3,360",24,"1,982"
2020년11월_여_50~59세,"37,043","2,576","2,519","2,133","1,395","1,716","1,637","3,084","1,176","1,402","2,444","2,881","2,076","1,600","1,937","2,093","3,994",13,"2,367"
2020년11월_여_60~69세,"32,957","2,083","2,027","1,915","1,247","1,391","1,448","2,659","1,024","1,192","2,331","2,630","2,059","1,396","1,919","1,799","3,740",27,"2,070"
2020년11월_여_70~79세,"15,760","1,138",704,828,458,563,545,"1,465",575,535,"1,209","1,467","1,094",667,973,884,"1,737",26,892
2020년11월_여_80~89세,"6,468",586,277,350,211,276,237,588,200,198,468,545,453,271,376,334,697,4,397
2020년11월_여_90~99세,"1,480",122,77,89,70,98,70,107,36,54,107,127,78,50,68,65,161,7,94
2020년11월_여_100세 이상,186,12,4,7,7,18,1,20,10,5,11,16,10,5,14,9,19,7,11
