카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년09월_계_총인구수,"22,829","8,083","2,247","3,725","2,000","1,955","2,352","1,162","1,305"
2021년09월_계_연령구간인구수,"22,829","8,083","2,247","3,725","2,000","1,955","2,352","1,162","1,305"
2021년09월_계_0~9세,618,386,34,86,36,15,34,14,13
2021년09월_계_10~19세,920,568,41,125,43,35,67,23,18
2021년09월_계_20~29세,"1,388",694,88,228,121,95,88,32,42
2021년09월_계_30~39세,"1,212",591,100,175,93,71,95,43,44
2021년09월_계_40~49세,"2,018","1,046",130,286,126,121,164,65,80
2021년09월_계_50~59세,"4,124","1,486",435,681,376,345,375,190,236
2021년09월_계_60~69세,"5,535","1,550",567,"1,010",543,524,618,322,401
2021년09월_계_70~79세,"3,987","1,040",446,674,362,410,510,253,292
2021년09월_계_80~89세,"2,670",638,355,404,261,309,356,197,150
2021년09월_계_90~99세,342,78,48,55,39,29,41,23,29
2021년09월_계_100세 이상,15,6,3,1,0,1,4,0,0
2021년09월_남_총인구수,"11,695","4,182","1,165","1,917","1,036",979,"1,144",584,688
2021년09월_남_연령구간인구수,"11,695","4,182","1,165","1,917","1,036",979,"1,144",584,688
2021년09월_남_0~9세,330,215,16,45,22,4,12,8,8
2021년09월_남_10~19세,501,320,22,61,31,12,33,12,10
2021년09월_남_20~29세,836,409,53,137,78,60,48,22,29
2021년09월_남_30~39세,708,327,58,96,63,46,57,30,31
2021년09월_남_40~49세,"1,184",559,84,176,82,88,106,41,48
2021년09월_남_50~59세,"2,355",828,257,390,203,193,219,126,139
2021년09월_남_60~69세,"2,935",795,311,560,294,275,301,168,231
2021년09월_남_70~79세,"1,859",484,217,315,161,194,236,112,140
2021년09월_남_80~89세,914,227,132,127,94,102,122,59,51
2021년09월_남_90~99세,72,17,15,10,8,5,10,6,1
2021년09월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년09월_여_총인구수,"11,134","3,901","1,082","1,808",964,976,"1,208",578,617
2021년09월_여_연령구간인구수,"11,134","3,901","1,082","1,808",964,976,"1,208",578,617
2021년09월_여_0~9세,288,171,18,41,14,11,22,6,5
2021년09월_여_10~19세,419,248,19,64,12,23,34,11,8
2021년09월_여_20~29세,552,285,35,91,43,35,40,10,13
2021년09월_여_30~39세,504,264,42,79,30,25,38,13,13
2021년09월_여_40~49세,834,487,46,110,44,33,58,24,32
2021년09월_여_50~59세,"1,769",658,178,291,173,152,156,64,97
2021년09월_여_60~69세,"2,600",755,256,450,249,249,317,154,170
2021년09월_여_70~79세,"2,128",556,229,359,201,216,274,141,152
2021년09월_여_80~89세,"1,756",411,223,277,167,207,234,138,99
2021년09월_여_90~99세,270,61,33,45,31,24,31,17,28
2021년09월_여_100세 이상,14,5,3,1,0,1,4,0,0
