카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년10월_계_총인구수,"50,884","11,101","13,387","4,818","2,245","1,609","2,469","1,462","1,247","1,237","2,084","2,033","2,879","4,313"
2021년10월_계_연령구간인구수,"50,884","11,101","13,387","4,818","2,245","1,609","2,469","1,462","1,247","1,237","2,084","2,033","2,879","4,313"
2021년10월_계_0~9세,"2,165",525,944,138,47,24,66,41,30,30,37,49,39,195
2021년10월_계_10~19세,"3,331",838,"1,449",224,58,59,101,66,42,21,66,79,94,234
2021년10월_계_20~29세,"3,649","1,050","1,272",261,87,76,109,74,54,37,76,99,178,276
2021년10월_계_30~39세,"3,236",876,"1,035",264,113,52,108,73,56,40,79,98,131,311
2021년10월_계_40~49세,"5,459","1,450","1,861",467,150,135,202,92,71,96,139,131,229,436
2021년10월_계_50~59세,"8,236","1,929","2,285",767,300,222,365,199,170,172,300,293,486,748
2021년10월_계_60~69세,"10,520","2,064","2,146","1,094",514,381,538,355,306,318,555,504,752,993
2021년10월_계_70~79세,"7,995","1,472","1,421",909,474,330,490,281,236,288,433,413,564,684
2021년10월_계_80~89세,"5,376",784,820,593,431,274,420,237,244,206,341,307,339,380
2021년10월_계_90~99세,894,107,151,99,70,55,69,43,37,29,56,58,66,54
2021년10월_계_100세 이상,23,6,3,2,1,1,1,1,1,0,2,2,1,2
2021년10월_남_총인구수,"25,136","5,567","6,540","2,403","1,088",792,"1,159",699,599,629,"1,011",978,"1,427","2,244"
2021년10월_남_연령구간인구수,"25,136","5,567","6,540","2,403","1,088",792,"1,159",699,599,629,"1,011",978,"1,427","2,244"
2021년10월_남_0~9세,"1,096",257,477,71,29,9,32,19,17,21,18,26,28,92
2021년10월_남_10~19세,"1,715",443,758,117,34,30,44,30,20,10,31,36,46,116
2021년10월_남_20~29세,"2,114",583,718,147,55,45,59,52,32,23,44,62,121,173
2021년10월_남_30~39세,"1,803",469,506,164,70,30,66,42,31,25,45,64,80,211
2021년10월_남_40~49세,"2,957",771,894,273,93,87,109,57,42,67,80,71,141,272
2021년10월_남_50~59세,"4,526","1,086","1,195",440,158,129,203,104,99,104,154,170,263,421
2021년10월_남_60~69세,"5,176",992,"1,010",562,264,189,254,177,160,155,287,256,366,504
2021년10월_남_70~79세,"3,605",646,647,395,214,149,221,135,108,137,215,191,258,289
2021년10월_남_80~89세,"1,925",294,292,211,155,109,152,74,81,83,126,88,109,151
2021년10월_남_90~99세,218,26,43,22,16,15,19,9,9,4,11,14,15,15
2021년10월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"25,748","5,534","6,847","2,415","1,157",817,"1,310",763,648,608,"1,073","1,055","1,452","2,069"
2021년10월_여_연령구간인구수,"25,748","5,534","6,847","2,415","1,157",817,"1,310",763,648,608,"1,073","1,055","1,452","2,069"
2021년10월_여_0~9세,"1,069",268,467,67,18,15,34,22,13,9,19,23,11,103
2021년10월_여_10~19세,"1,616",395,691,107,24,29,57,36,22,11,35,43,48,118
2021년10월_여_20~29세,"1,535",467,554,114,32,31,50,22,22,14,32,37,57,103
2021년10월_여_30~39세,"1,433",407,529,100,43,22,42,31,25,15,34,34,51,100
2021년10월_여_40~49세,"2,502",679,967,194,57,48,93,35,29,29,59,60,88,164
2021년10월_여_50~59세,"3,710",843,"1,090",327,142,93,162,95,71,68,146,123,223,327
2021년10월_여_60~69세,"5,344","1,072","1,136",532,250,192,284,178,146,163,268,248,386,489
2021년10월_여_70~79세,"4,390",826,774,514,260,181,269,146,128,151,218,222,306,395
2021년10월_여_80~89세,"3,451",490,528,382,276,165,268,163,163,123,215,219,230,229
2021년10월_여_90~99세,676,81,108,77,54,40,50,34,28,25,45,44,51,39
2021년10월_여_100세 이상,22,6,3,1,1,1,1,1,1,0,2,2,1,2
