카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년01월_계_총인구수,"311,052","20,134","14,312","12,935","11,319","27,138","21,762","25,370","17,627","16,015","11,139","28,031","39,766","28,066","11,666","19,384","6,388"
2021년01월_계_연령구간인구수,"311,052","20,134","14,312","12,935","11,319","27,138","21,762","25,370","17,627","16,015","11,139","28,031","39,766","28,066","11,666","19,384","6,388"
2021년01월_계_0~9세,"19,741","1,095",897,543,536,"1,663","1,223","1,437","1,111","1,102",965,"1,983","3,079","1,731","1,292",944,140
2021년01월_계_10~19세,"25,269","1,600","1,120",759,792,"2,322","1,697","2,002","1,180","1,344",977,"2,467","3,988","2,479",836,"1,455",251
2021년01월_계_20~29세,"39,673","2,374","1,541","1,457","1,413","3,473","3,620","5,030","1,955","2,140","1,068","3,552","4,557","3,371","1,319","2,246",557
2021년01월_계_30~39세,"36,717","2,268","1,519","1,536","1,148","3,061","2,860","3,199","2,184","2,218","1,513","3,706","4,370","2,745","2,059","1,871",460
2021년01월_계_40~49세,"45,850","2,760","2,192","1,661","1,581","3,888","2,992","3,491","2,624","2,416","2,012","4,460","6,537","4,047","1,795","2,634",760
2021년01월_계_50~59세,"54,678","3,454","2,320","2,210","1,930","4,822","3,667","4,156","3,199","2,935","1,773","4,918","7,151","5,403","1,828","3,688","1,224"
2021년01월_계_60~69세,"51,535","3,510","2,597","2,608","2,172","4,666","3,367","3,585","3,082","2,462","1,646","4,360","5,852","4,873","1,603","3,787","1,365"
2021년01월_계_70~79세,"26,316","2,040","1,536","1,511","1,239","2,318","1,631","1,759","1,622",979,877,"1,945","2,882","2,264",678,"1,967","1,068"
2021년01월_계_80~89세,"9,742",870,511,567,444,815,619,633,557,360,282,560,"1,168",988,208,683,477
2021년01월_계_90~99세,"1,369",134,70,71,57,101,76,74,90,57,24,77,172,157,42,97,70
2021년01월_계_100세 이상,162,29,9,12,7,9,10,4,23,2,2,3,10,8,6,12,16
2021년01월_남_총인구수,"154,893","9,707","7,029","6,234","5,483","13,314","10,855","12,616","9,030","8,019","5,770","14,251","19,969","13,784","5,961","9,588","3,283"
2021년01월_남_연령구간인구수,"154,893","9,707","7,029","6,234","5,483","13,314","10,855","12,616","9,030","8,019","5,770","14,251","19,969","13,784","5,961","9,588","3,283"
2021년01월_남_0~9세,"10,136",578,468,291,283,861,612,742,578,574,486,"1,049","1,540",862,684,471,57
2021년01월_남_10~19세,"13,134",850,568,389,388,"1,224",866,979,611,716,525,"1,291","2,127","1,282",446,741,131
2021년01월_남_20~29세,"21,263","1,219",808,748,774,"1,837","1,924","2,743","1,074","1,070",590,"1,892","2,524","1,865",685,"1,184",326
2021년01월_남_30~39세,"19,449","1,199",799,854,615,"1,596","1,559","1,737","1,209","1,186",792,"1,994","2,195","1,388","1,068",990,268
2021년01월_남_40~49세,"23,485","1,346","1,134",890,766,"1,931","1,499","1,771","1,423","1,226","1,113","2,317","3,240","1,977",952,"1,425",475
2021년01월_남_50~59세,"26,785","1,586","1,149","1,040",910,"2,179","1,777","1,959","1,664","1,427",967,"2,439","3,625","2,642",926,"1,777",718
2021년01월_남_60~69세,"24,816","1,637","1,178","1,154",977,"2,218","1,615","1,646","1,538","1,192",818,"2,143","2,989","2,431",785,"1,815",680
2021년01월_남_70~79세,"12,112",955,731,655,593,"1,143",755,784,717,477,384,908,"1,296",999,339,919,457
2021년01월_남_80~89세,"3,417",301,182,189,164,301,239,240,188,139,90,208,390,310,70,249,157
2021년01월_남_90~99세,263,29,12,19,12,22,6,14,23,12,4,9,42,27,6,16,10
