,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년04월_계_총인구수,"35,990","10,542","4,446","4,714","1,818","1,582","3,215","2,527","3,503","1,656","1,987"
2021년04월_계_연령구간인구수,"35,990","10,542","4,446","4,714","1,818","1,582","3,215","2,527","3,503","1,656","1,987"
2021년04월_계_0~9세,"1,705",628,266,283,67,39,143,97,97,41,44
2021년04월_계_10~19세,"2,483",985,233,357,121,100,183,171,151,91,91
2021년04월_계_20~29세,"2,717",978,331,393,112,117,206,174,182,107,117
2021년04월_계_30~39세,"2,944",906,681,439,96,91,278,138,160,62,93
2021년04월_계_40~49세,"4,777","1,623",697,726,205,155,423,286,303,169,190
2021년04월_계_50~59세,"6,790","1,887",722,908,355,316,622,485,746,379,370
2021년04월_계_60~69세,"7,586","1,815",824,936,429,363,793,555,889,428,554
2021년04월_계_70~79세,"4,433","1,087",501,478,272,259,366,348,557,244,321
2021년04월_계_80~89세,"2,225",533,175,176,148,124,181,230,364,114,180
2021년04월_계_90~99세,313,97,16,13,13,14,19,42,52,21,26
2021년04월_계_100세 이상,17,3,0,5,0,4,1,1,2,0,1
2021년04월_남_총인구수,"18,737","5,408","2,332","2,480",934,797,"1,718","1,280","1,848",893,"1,047"
2021년04월_남_연령구간인구수,"18,737","5,408","2,332","2,480",934,797,"1,718","1,280","1,848",893,"1,047"
2021년04월_남_0~9세,873,327,136,146,33,16,73,50,44,22,26
2021년04월_남_10~19세,"1,287",518,104,184,60,56,95,86,80,51,53
2021년04월_남_20~29세,"1,565",573,175,229,67,68,118,109,101,68,57
2021년04월_남_30~39세,"1,644",469,399,228,54,59,173,77,99,32,54
2021년04월_남_40~49세,"2,783",858,432,412,124,99,263,161,198,104,132
2021년04월_남_50~59세,"3,762","1,028",404,510,198,177,330,271,417,228,199
2021년04월_남_60~69세,"4,001",960,389,480,238,182,435,281,492,238,306
2021년04월_남_70~79세,"1,988",483,228,217,104,99,168,158,265,112,154
2021년04월_남_80~89세,770,176,62,70,53,36,60,78,138,36,61
2021년04월_남_90~99세,57,16,3,0,3,2,3,9,14,2,5
2021년04월_남_100세 이상,7,0,0,4,0,3,0,0,0,0,0
2021년04월_여_총인구수,"17,253","5,134","2,114","2,234",884,785,"1,497","1,247","1,655",763,940
2021년04월_여_연령구간인구수,"17,253","5,134","2,114","2,234",884,785,"1,497","1,247","1,655",763,940
2021년04월_여_0~9세,832,301,130,137,34,23,70,47,53,19,18
2021년04월_여_10~19세,"1,196",467,129,173,61,44,88,85,71,40,38
2021년04월_여_20~29세,"1,152",405,156,164,45,49,88,65,81,39,60
2021년04월_여_30~39세,"1,300",437,282,211,42,32,105,61,61,30,39
2021년04월_여_40~49세,"1,994",765,265,314,81,56,160,125,105,65,58
2021년04월_여_50~59세,"3,028",859,318,398,157,139,292,214,329,151,171
2021년04월_여_60~69세,"3,585",855,435,456,191,181,358,274,397,190,248
2021년04월_여_70~79세,"2,445",604,273,261,168,160,198,190,292,132,167
2021년04월_여_80~89세,"1,455",357,113,106,95,88,121,152,226,78,119
2021년04월_여_90~99세,256,81,13,13,10,12,16,33,38,19,21
2021년04월_여_100세 이상,10,3,0,1,0,1,1,1,2,0,1
