카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년01월_계_총인구수,"116,772","33,939","23,975","31,723","4,377","5,582","3,557","10,298","3,321"
2020년01월_계_연령구간인구수,"116,772","33,939","23,975","31,723","4,377","5,582","3,557","10,298","3,321"
2020년01월_계_0~9세,"10,346","2,492","2,010","4,872",97,162,81,397,235
2020년01월_계_10~19세,"11,909","3,578","3,214","3,661",142,184,146,795,189
2020년01월_계_20~29세,"12,855","4,037","2,949","3,329",343,496,272,"1,178",251
2020년01월_계_30~39세,"16,359","3,721","2,617","7,945",287,403,239,806,341
2020년01월_계_40~49세,"20,844","5,693","5,161","6,617",431,545,388,"1,572",437
2020년01월_계_50~59세,"19,209","6,231","4,476","2,748",867,"1,202",777,"2,309",599
2020년01월_계_60~69세,"12,836","4,145","1,974","1,430",986,"1,293",831,"1,588",589
2020년01월_계_70~79세,"7,560","2,413","1,013",724,711,753,515,"1,041",390
2020년01월_계_80~89세,"4,230","1,417",497,349,451,460,255,549,252
2020년01월_계_90~99세,582,189,63,43,58,84,51,59,35
2020년01월_계_100세 이상,42,23,1,5,4,0,2,4,3
2020년01월_남_총인구수,"60,910","17,016","12,549","17,111","2,344","2,867","1,952","5,331","1,740"
2020년01월_남_연령구간인구수,"60,910","17,016","12,549","17,111","2,344","2,867","1,952","5,331","1,740"
2020년01월_남_0~9세,"5,348","1,284","1,053","2,516",39,86,43,196,131
2020년01월_남_10~19세,"6,305","1,855","1,712","1,939",80,104,75,435,105
2020년01월_남_20~29세,"7,158","2,303","1,704","1,631",204,303,172,686,155
2020년01월_남_30~39세,"8,987","1,961","1,333","4,468",176,242,154,474,179
2020년01월_남_40~49세,"11,249","2,877","2,600","3,805",289,340,243,837,258
2020년01월_남_50~59세,"10,488","3,192","2,510","1,633",519,612,452,"1,238",332
2020년01월_남_60~69세,"6,636","2,066","1,020",691,564,690,458,831,316
2020년01월_남_70~79세,"3,202",947,437,307,307,351,245,438,170
2020년01월_남_80~89세,"1,395",477,164,108,155,131,92,183,85
2020년01월_남_90~99세,135,51,16,12,11,8,17,12,8
2020년01월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년01월_여_총인구수,"55,862","16,923","11,426","14,612","2,033","2,715","1,605","4,967","1,581"
2020년01월_여_연령구간인구수,"55,862","16,923","11,426","14,612","2,033","2,715","1,605","4,967","1,581"
2020년01월_여_0~9세,"4,998","1,208",957,"2,356",58,76,38,201,104
2020년01월_여_10~19세,"5,604","1,723","1,502","1,722",62,80,71,360,84
2020년01월_여_20~29세,"5,697","1,734","1,245","1,698",139,193,100,492,96
2020년01월_여_30~39세,"7,372","1,760","1,284","3,477",111,161,85,332,162
2020년01월_여_40~49세,"9,595","2,816","2,561","2,812",142,205,145,735,179
2020년01월_여_50~59세,"8,721","3,039","1,966","1,115",348,590,325,"1,071",267
2020년01월_여_60~69세,"6,200","2,079",954,739,422,603,373,757,273
2020년01월_여_70~79세,"4,358","1,466",576,417,404,402,270,603,220
2020년01월_여_80~89세,"2,835",940,333,241,296,329,163,366,167
2020년01월_여_90~99세,447,138,47,31,47,76,34,47,27
2020년01월_여_100세 이상,35,20,1,4,4,0,1,3,2
