카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년01월_계_총인구수,"210,139","4,860","2,041","2,984","8,784","2,997","2,323","3,930","13,291","3,788","3,695","2,295","3,240","1,956","2,681","23,718","7,061","15,507","5,254","9,598","18,322","3,653","9,426","14,532","37,536","6,667"
2021년01월_계_연령구간인구수,"210,139","4,860","2,041","2,984","8,784","2,997","2,323","3,930","13,291","3,788","3,695","2,295","3,240","1,956","2,681","23,718","7,061","15,507","5,254","9,598","18,322","3,653","9,426","14,532","37,536","6,667"
2021년01월_계_0~9세,"14,474",100,40,73,573,33,52,73,"2,017",341,105,54,82,68,92,"1,615",268,"1,247",239,362,"2,036",94,556,"1,012","2,773",569
2021년01월_계_10~19세,"18,846",211,65,112,414,111,98,124,973,279,176,86,167,72,156,"2,555",538,"2,020",490,693,"2,365",143,769,"1,700","3,840",689
2021년01월_계_20~29세,"24,311",367,122,194,"1,394",177,123,265,"1,567",507,263,136,184,98,260,"2,797",878,"1,867",571,"1,051","2,189",487,"1,125","1,923","5,006",760
2021년01월_계_30~39세,"23,307",305,92,155,"1,379",171,118,175,"3,030",461,177,122,164,117,220,"2,457",612,"1,676",439,857,"2,608",255,"1,015","1,436","4,445",821
2021년01월_계_40~49세,"30,880",478,168,250,"1,188",224,177,321,"2,070",514,325,191,258,149,341,"3,739",950,"2,877",729,"1,170","3,396",399,"1,415","2,491","5,930","1,130"
2021년01월_계_50~59세,"37,531","1,029",430,636,"1,475",578,406,796,"1,560",507,730,435,570,335,466,"4,377","1,269","2,682",964,"1,778","2,856",720,"1,743","2,835","7,121","1,233"
2021년01월_계_60~69세,"32,011","1,185",572,773,"1,303",789,631,"1,060","1,158",568,900,570,867,532,545,"3,392","1,265","1,727",872,"1,938","1,701",762,"1,528","1,723","4,858",792
2021년01월_계_70~79세,"17,454",671,331,488,602,501,406,648,536,337,563,384,519,321,351,"1,755",805,885,593,"1,095",747,486,893,901,"2,229",407
2021년01월_계_80~89세,"9,955",464,184,257,396,373,272,404,327,244,388,282,374,240,210,921,424,470,315,568,373,273,342,452,"1,169",233
2021년01월_계_90~99세,"1,301",47,36,45,53,37,37,60,52,27,66,33,49,23,37,103,49,52,39,80,51,33,39,57,164,32
2021년01월_계_100세 이상,69,3,1,1,7,3,3,4,1,3,2,2,6,1,3,7,3,4,3,6,0,1,1,2,1,1
2021년01월_남_총인구수,"106,269","2,487","1,040","1,516","4,917","1,542","1,170","2,011","6,821","2,031","1,864","1,174","1,638",992,"1,322","11,886","3,554","7,603","2,610","4,827","9,126","1,968","4,878","7,197","18,620","3,475"
2021년01월_남_연령구간인구수,"106,269","2,487","1,040","1,516","4,917","1,542","1,170","2,011","6,821","2,031","1,864","1,174","1,638",992,"1,322","11,886","3,554","7,603","2,610","4,827","9,126","1,968","4,878","7,197","18,620","3,475"
2021년01월_남_0~9세,"7,347",60,16,30,288,14,23,46,"1,008",157,47,32,45,33,49,852,131,618,123,186,"1,030",43,287,529,"1,394",306
2021년01월_남_10~19세,"9,757",102,35,65,225,57,60,64,481,147,79,46,104,41,74,"1,339",270,"1,074",256,353,"1,218",72,374,878,"1,976",367
2021년01월_남_20~29세,"13,951",229,73,124,890,112,77,171,870,338,157,81,103,61,147,"1,597",508,"1,031",315,578,"1,197",299,642,"1,057","2,848",446
2021년01월_남_30~39세,"12,634",178,53,87,856,103,71,107,"1,661",262,102,75,90,61,130,"1,303",355,840,238,488,"1,300",161,559,748,"2,368",438
2021년01월_남_40~49세,"15,856",287,106,149,700,150,121,178,"1,086",297,192,110,144,86,197,"1,869",512,"1,367",374,641,"1,674",253,774,"1,164","2,839",586
2021년01월_남_50~59세,"19,185",550,221,349,821,317,205,433,789,291,391,223,307,175,250,"2,171",652,"1,306",499,901,"1,418",409,944,"1,440","3,462",661
2021년01월_남_60~69세,"16,030",615,298,400,697,417,307,546,565,299,474,305,460,287,248,"1,667",616,831,419,942,839,419,743,831,"2,403",402
2021년01월_남_70~79세,"7,764",292,171,215,290,228,202,309,251,140,265,181,231,147,146,766,360,365,251,498,337,210,415,384,921,189
2021년01월_남_80~89세,"3,416",162,61,86,132,131,91,144,92,94,140,109,134,95,77,287,140,162,125,220,110,96,131,150,375,72
2021년01월_남_90~99세,314,10,6,11,15,12,12,13,18,5,16,11,18,6,3,34,10,9,10,19,3,6,9,16,34,8
2021년01월_남_100세 이상,15,2,0,0,3,1,1,0,0,1,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0
2021년01월_여_총인구수,"103,870","2,373","1,001","1,468","3,867","1,455","1,153","1,919","6,470","1,757","1,831","1,121","1,602",964,"1,359","11,832","3,507","7,904","2,644","4,771","9,196","1,685","4,548","7,335","18,916","3,192"
2021년01월_여_연령구간인구수,"103,870","2,373","1,001","1,468","3,867","1,455","1,153","1,919","6,470","1,757","1,831","1,121","1,602",964,"1,359","11,832","3,507","7,904","2,644","4,771","9,196","1,685","4,548","7,335","18,916","3,192"
2021년01월_여_0~9세,"7,127",40,24,43,285,19,29,27,"1,009",184,58,22,37,35,43,763,137,629,116,176,"1,006",51,269,483,"1,379",263
2021년01월_여_10~19세,"9,089",109,30,47,189,54,38,60,492,132,97,40,63,31,82,"1,216",268,946,234,340,"1,147",71,395,822,"1,864",322
2021년01월_여_20~29세,"10,360",138,49,70,504,65,46,94,697,169,106,55,81,37,113,"1,200",370,836,256,473,992,188,483,866,"2,158",314
2021년01월_여_30~39세,"10,673",127,39,68,523,68,47,68,"1,369",199,75,47,74,56,90,"1,154",257,836,201,369,"1,308",94,456,688,"2,077",383
2021년01월_여_40~49세,"15,024",191,62,101,488,74,56,143,984,217,133,81,114,63,144,"1,870",438,"1,510",355,529,"1,722",146,641,"1,327","3,091",544
2021년01월_여_50~59세,"18,346",479,209,287,654,261,201,363,771,216,339,212,263,160,216,"2,206",617,"1,376",465,877,"1,438",311,799,"1,395","3,659",572
2021년01월_여_60~69세,"15,981",570,274,373,606,372,324,514,593,269,426,265,407,245,297,"1,725",649,896,453,996,862,343,785,892,"2,455",390
2021년01월_여_70~79세,"9,690",379,160,273,312,273,204,339,285,197,298,203,288,174,205,989,445,520,342,597,410,276,478,517,"1,308",218
2021년01월_여_80~89세,"6,539",302,123,171,264,242,181,260,235,150,248,173,240,145,133,634,284,308,190,348,263,177,211,302,794,161
2021년01월_여_90~99세,987,37,30,34,38,25,25,47,34,22,50,22,31,17,34,69,39,43,29,61,48,27,30,41,130,24
2021년01월_여_100세 이상,54,1,1,1,4,2,2,4,1,2,1,1,4,1,2,6,3,4,3,5,0,1,1,2,1,1
