,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년12월_계_총인구수,"131,591","6,712","1,895","1,268","2,016","2,141",700,"3,325","4,627","18,544","9,927","5,739","4,917","10,146","17,816","11,143","15,441","15,234"
2021년12월_계_연령구간인구수,"131,591","6,712","1,895","1,268","2,016","2,141",700,"3,325","4,627","18,544","9,927","5,739","4,917","10,146","17,816","11,143","15,441","15,234"
2021년12월_계_0~9세,"8,188",236,39,21,37,70,19,81,104,"1,505",760,240,182,763,"1,269",662,627,"1,573"
2021년12월_계_10~19세,"11,339",326,85,48,61,180,38,137,196,"2,243","1,092",375,302,892,"1,735","1,153","1,063","1,413"
2021년12월_계_20~29세,"14,271",467,103,64,70,63,31,158,329,"2,216","1,263",644,563,"1,035","2,565","1,353","1,822","1,525"
2021년12월_계_30~39세,"12,312",379,94,59,70,78,33,137,241,"1,864",939,452,397,"1,066","2,126",992,"1,382","2,003"
2021년12월_계_40~49세,"17,667",656,129,78,129,163,69,221,368,"3,123","1,599",701,526,"1,420","2,615","1,665","1,841","2,364"
2021년12월_계_50~59세,"23,490","1,266",355,248,385,350,139,601,859,"3,494","1,796",969,891,"1,753","3,094","2,153","2,792","2,345"
2021년12월_계_60~69세,"24,399","1,814",564,385,622,600,191,"1,041","1,313","2,450","1,447","1,242","1,143","1,699","2,591","1,730","3,391","2,176"
2021년12월_계_70~79세,"12,298",917,272,204,379,382,95,525,707,"1,076",626,731,628,949,"1,100",902,"1,667","1,138"
2021년12월_계_80~89세,"6,751",566,220,148,236,218,72,377,440,515,347,347,261,506,649,472,753,624
2021년12월_계_90~99세,838,84,30,13,27,37,12,47,69,53,57,37,23,57,70,55,98,69
2021년12월_계_100세 이상,38,1,4,0,0,0,1,0,1,5,1,1,1,6,2,6,5,4
2021년12월_남_총인구수,"66,170","3,425","1,015",651,"1,052","1,091",359,"1,719","2,435","9,139","4,910","2,853","2,462","5,086","8,899","5,576","7,771","7,727"
2021년12월_남_연령구간인구수,"66,170","3,425","1,015",651,"1,052","1,091",359,"1,719","2,435","9,139","4,910","2,853","2,462","5,086","8,899","5,576","7,771","7,727"
2021년12월_남_0~9세,"4,203",124,28,13,20,42,8,49,49,774,420,112,90,400,637,328,310,799
2021년12월_남_10~19세,"5,873",165,52,22,32,96,21,77,113,"1,131",540,200,157,474,885,600,579,729
2021년12월_남_20~29세,"8,006",260,62,35,49,39,23,100,206,"1,206",692,340,330,577,"1,416",771,"1,040",860
2021년12월_남_30~39세,"6,516",214,58,40,47,38,19,76,161,931,466,254,230,536,"1,136",524,785,"1,001"
2021년12월_남_40~49세,"9,079",374,73,48,81,102,40,131,226,"1,470",786,368,284,757,"1,306",794,984,"1,255"
2021년12월_남_50~59세,"12,031",670,197,135,202,185,79,314,446,"1,761",901,503,457,897,"1,536","1,133","1,369","1,246"
2021년12월_남_60~69세,"12,194",947,318,201,333,318,99,551,705,"1,222",705,581,513,819,"1,332",870,"1,608","1,072"
2021년12월_남_70~79세,"5,611",443,143,99,196,187,41,267,342,455,271,338,293,419,441,378,793,505
2021년12월_남_80~89세,"2,456",212,75,54,86,79,24,143,166,178,115,147,102,190,196,162,283,244
2021년12월_남_90~99세,196,16,9,4,6,5,4,11,20,11,14,9,6,16,14,15,20,16
2021년12월_남_100세 이상,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
2021년12월_여_총인구수,"65,421","3,287",880,617,964,"1,050",341,"1,606","2,192","9,405","5,017","2,886","2,455","5,060","8,917","5,567","7,670","7,507"
2021년12월_여_연령구간인구수,"65,421","3,287",880,617,964,"1,050",341,"1,606","2,192","9,405","5,017","2,886","2,455","5,060","8,917","5,567","7,670","7,507"
2021년12월_여_0~9세,"3,985",112,11,8,17,28,11,32,55,731,340,128,92,363,632,334,317,774
2021년12월_여_10~19세,"5,466",161,33,26,29,84,17,60,83,"1,112",552,175,145,418,850,553,484,684
2021년12월_여_20~29세,"6,265",207,41,29,21,24,8,58,123,"1,010",571,304,233,458,"1,149",582,782,665
2021년12월_여_30~39세,"5,796",165,36,19,23,40,14,61,80,933,473,198,167,530,990,468,597,"1,002"
2021년12월_여_40~49세,"8,588",282,56,30,48,61,29,90,142,"1,653",813,333,242,663,"1,309",871,857,"1,109"
2021년12월_여_50~59세,"11,459",596,158,113,183,165,60,287,413,"1,733",895,466,434,856,"1,558","1,020","1,423","1,099"
2021년12월_여_60~69세,"12,205",867,246,184,289,282,92,490,608,"1,228",742,661,630,880,"1,259",860,"1,783","1,104"
2021년12월_여_70~79세,"6,687",474,129,105,183,195,54,258,365,621,355,393,335,530,659,524,874,633
2021년12월_여_80~89세,"4,295",354,145,94,150,139,48,234,274,337,232,200,159,316,453,310,470,380
2021년12월_여_90~99세,642,68,21,9,21,32,8,36,49,42,43,28,17,41,56,40,78,53
2021년12월_여_100세 이상,33,1,4,0,0,0,0,0,0,5,1,0,1,5,2,5,5,4
