,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년08월_계_총인구수,"32,034","10,211",523,"3,759","8,120","4,882","2,574","1,965"
2021년08월_계_연령구간인구수,"32,034","10,211",523,"3,759","8,120","4,882","2,574","1,965"
2021년08월_계_0~9세,"2,498",992,16,271,559,365,181,114
2021년08월_계_10~19세,"2,259",877,32,228,600,303,129,90
2021년08월_계_20~29세,"4,218","1,265",29,486,"1,032",535,559,312
2021년08월_계_30~39세,"3,924","1,401",31,489,841,606,376,180
2021년08월_계_40~49세,"3,947","1,461",55,374,"1,026",603,233,195
2021년08월_계_50~59세,"5,112","1,543",123,569,"1,444",790,324,319
2021년08월_계_60~69세,"5,620","1,500",122,753,"1,466",959,401,419
2021년08월_계_70~79세,"2,613",707,75,323,661,414,224,209
2021년08월_계_80~89세,"1,572",392,36,222,423,260,130,109
2021년08월_계_90~99세,264,70,4,43,66,47,17,17
2021년08월_계_100세 이상,7,3,0,1,2,0,0,1
2021년08월_남_총인구수,"17,378","5,379",278,"2,018","4,371","2,646","1,556","1,130"
2021년08월_남_연령구간인구수,"17,378","5,379",278,"2,018","4,371","2,646","1,556","1,130"
2021년08월_남_0~9세,"1,268",498,7,124,286,194,99,60
2021년08월_남_10~19세,"1,196",484,16,113,311,153,68,51
2021년08월_남_20~29세,"2,830",763,17,326,674,356,455,239
2021년08월_남_30~39세,"2,261",764,21,293,466,362,243,112
2021년08월_남_40~49세,"2,199",785,32,214,571,336,147,114
2021년08월_남_50~59세,"2,725",807,70,306,784,405,185,168
2021년08월_남_60~69세,"3,019",780,60,399,807,539,198,236
2021년08월_남_70~79세,"1,246",338,40,153,302,197,113,103
2021년08월_남_80~89세,558,140,13,78,152,93,43,39
2021년08월_남_90~99세,72,18,2,12,16,11,5,8
2021년08월_남_100세 이상,4,2,0,0,2,0,0,0
2021년08월_여_총인구수,"14,656","4,832",245,"1,741","3,749","2,236","1,018",835
2021년08월_여_연령구간인구수,"14,656","4,832",245,"1,741","3,749","2,236","1,018",835
2021년08월_여_0~9세,"1,230",494,9,147,273,171,82,54
2021년08월_여_10~19세,"1,063",393,16,115,289,150,61,39
2021년08월_여_20~29세,"1,388",502,12,160,358,179,104,73
2021년08월_여_30~39세,"1,663",637,10,196,375,244,133,68
2021년08월_여_40~49세,"1,748",676,23,160,455,267,86,81
2021년08월_여_50~59세,"2,387",736,53,263,660,385,139,151
2021년08월_여_60~69세,"2,601",720,62,354,659,420,203,183
2021년08월_여_70~79세,"1,367",369,35,170,359,217,111,106
2021년08월_여_80~89세,"1,014",252,23,144,271,167,87,70
2021년08월_여_90~99세,192,52,2,31,50,36,12,9
2021년08월_여_100세 이상,3,1,0,1,0,0,0,1
