,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년03월_계_총인구수,"63,572","12,489","9,758",618,227,"3,132","2,950","4,321","3,896","4,905","1,886","2,631","3,311","2,284","3,101","2,280","3,018","1,277","1,488"
2021년03월_계_연령구간인구수,"63,572","12,489","9,758",618,227,"3,132","2,950","4,321","3,896","4,905","1,886","2,631","3,311","2,284","3,101","2,280","3,018","1,277","1,488"
2021년03월_계_0~9세,"2,577","1,015",521,23,1,66,76,118,94,129,53,37,86,60,112,68,55,28,35
2021년03월_계_10~19세,"3,770","1,406",751,21,13,95,125,187,170,221,89,90,117,103,113,74,100,39,56
2021년03월_계_20~29세,"4,084","1,249",735,17,9,129,146,234,205,232,79,112,218,122,206,105,139,65,82
2021년03월_계_30~39세,"3,594","1,159",690,27,15,140,138,175,149,209,64,83,154,115,157,103,92,49,75
2021년03월_계_40~49세,"6,246","1,860","1,174",33,33,229,228,345,315,429,154,199,247,152,274,147,206,85,136
2021년03월_계_50~59세,"10,086","1,978","1,679",32,44,473,469,664,635,804,281,410,568,337,466,384,427,197,238
2021년03월_계_60~69세,"12,850","1,805","1,899",98,29,702,623,944,867,"1,062",431,601,728,574,687,517,632,285,366
2021년03월_계_70~79세,"11,409","1,239","1,475",180,44,724,586,943,811,"1,008",402,573,617,458,570,457,729,306,287
2021년03월_계_80~89세,"7,639",636,723,157,36,485,475,640,553,704,286,423,486,307,443,375,535,185,190
2021년03월_계_90~99세,"1,268",133,107,30,3,89,83,69,88,101,44,102,86,56,68,49,100,37,23
2021년03월_계_100세 이상,49,9,4,0,0,0,1,2,9,6,3,1,4,0,5,1,3,1,0
2021년03월_남_총인구수,"30,898","6,152","4,775",314,121,"1,555","1,416","2,099","1,881","2,360",915,"1,240","1,581","1,071","1,514","1,110","1,429",614,751
2021년03월_남_연령구간인구수,"30,898","6,152","4,775",314,121,"1,555","1,416","2,099","1,881","2,360",915,"1,240","1,581","1,071","1,514","1,110","1,429",614,751
2021년03월_남_0~9세,"1,281",500,256,9,0,33,36,63,34,62,30,16,45,28,66,39,31,12,21
2021년03월_남_10~19세,"2,021",756,397,11,5,50,61,97,81,121,41,51,71,60,59,46,57,25,32
2021년03월_남_20~29세,"2,389",715,407,7,8,87,77,144,127,145,44,73,122,73,122,71,76,39,52
2021년03월_남_30~39세,"1,958",563,365,15,12,93,90,102,90,113,38,49,91,54,91,61,56,34,41
2021년03월_남_40~49세,"3,613",920,615,17,28,164,141,207,201,269,102,136,159,90,173,107,138,57,89
2021년03월_남_50~59세,"5,642","1,052",904,16,27,299,273,372,349,453,170,233,308,197,276,214,253,110,136
2021년03월_남_60~69세,"6,384",846,918,54,15,366,345,460,430,512,214,301,368,291,335,267,321,146,195
2021년03월_남_70~79세,"4,943",570,656,100,16,289,238,405,392,419,170,248,249,181,248,197,309,127,129
2021년03월_남_80~89세,"2,383",204,237,75,10,152,137,231,162,238,93,119,144,91,118,100,169,53,50
2021년03월_남_90~99세,278,24,19,10,0,22,18,17,15,28,12,14,24,6,26,7,19,11,6
2021년03월_남_100세 이상,6,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2021년03월_여_총인구수,"32,674","6,337","4,983",304,106,"1,577","1,534","2,222","2,015","2,545",971,"1,391","1,730","1,213","1,587","1,170","1,589",663,737
2021년03월_여_연령구간인구수,"32,674","6,337","4,983",304,106,"1,577","1,534","2,222","2,015","2,545",971,"1,391","1,730","1,213","1,587","1,170","1,589",663,737
2021년03월_여_0~9세,"1,296",515,265,14,1,33,40,55,60,67,23,21,41,32,46,29,24,16,14
2021년03월_여_10~19세,"1,749",650,354,10,8,45,64,90,89,100,48,39,46,43,54,28,43,14,24
2021년03월_여_20~29세,"1,695",534,328,10,1,42,69,90,78,87,35,39,96,49,84,34,63,26,30
2021년03월_여_30~39세,"1,636",596,325,12,3,47,48,73,59,96,26,34,63,61,66,42,36,15,34
2021년03월_여_40~49세,"2,633",940,559,16,5,65,87,138,114,160,52,63,88,62,101,40,68,28,47
2021년03월_여_50~59세,"4,444",926,775,16,17,174,196,292,286,351,111,177,260,140,190,170,174,87,102
2021년03월_여_60~69세,"6,466",959,981,44,14,336,278,484,437,550,217,300,360,283,352,250,311,139,171
2021년03월_여_70~79세,"6,466",669,819,80,28,435,348,538,419,589,232,325,368,277,322,260,420,179,158
2021년03월_여_80~89세,"5,256",432,486,82,26,333,338,409,391,466,193,304,342,216,325,275,366,132,140
2021년03월_여_90~99세,990,109,88,20,3,67,65,52,73,73,32,88,62,50,42,42,81,26,17
2021년03월_여_100세 이상,43,7,3,0,0,0,1,1,9,6,2,1,4,0,5,0,3,1,0
