,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년12월_계_총인구수,"32,050","8,401","3,401","1,855","3,888","1,923","3,122","2,875","2,860","3,725"
2020년12월_계_연령구간인구수,"32,050","8,401","3,401","1,855","3,888","1,923","3,122","2,875","2,860","3,725"
2020년12월_계_0~9세,"1,387",547,136,64,137,47,99,103,100,154
2020년12월_계_10~19세,"2,048",762,183,65,228,84,228,138,129,231
2020년12월_계_20~29세,"2,516",782,188,129,272,137,256,203,253,296
2020년12월_계_30~39세,"2,124",702,176,115,236,103,194,182,184,232
2020년12월_계_40~49세,"3,477","1,134",353,179,373,173,290,254,318,403
2020년12월_계_50~59세,"5,505","1,356",579,289,659,362,582,503,526,649
2020년12월_계_60~69세,"5,919","1,279",657,420,785,372,551,633,567,655
2020년12월_계_70~79세,"5,155","1,057",660,323,664,346,519,473,444,669
2020년12월_계_80~89세,"3,404",678,423,231,464,261,351,332,285,379
2020년12월_계_90~99세,490,98,46,38,67,37,51,52,47,54
2020년12월_계_100세 이상,25,6,0,2,3,1,1,2,7,3
2020년12월_남_총인구수,"16,062","4,135","1,697",926,"1,937",924,"1,604","1,424","1,456","1,959"
2020년12월_남_연령구간인구수,"16,062","4,135","1,697",926,"1,937",924,"1,604","1,424","1,456","1,959"
2020년12월_남_0~9세,721,278,58,35,78,17,52,58,55,90
2020년12월_남_10~19세,"1,083",415,94,34,116,43,127,66,63,125
2020년12월_남_20~29세,"1,498",431,115,66,170,90,165,122,153,186
2020년12월_남_30~39세,"1,129",347,94,70,127,54,114,101,91,131
2020년12월_남_40~49세,"2,066",615,237,120,225,99,162,147,186,275
2020년12월_남_50~59세,"3,211",747,341,158,378,212,360,300,310,405
2020년12월_남_60~69세,"3,074",636,342,212,423,199,274,341,302,345
2020년12월_남_70~79세,"2,147",436,266,149,273,128,233,192,193,277
2020년12월_남_80~89세,"1,018",207,140,72,132,72,109,91,87,108
2020년12월_남_90~99세,113,21,10,10,15,10,8,6,16,17
2020년12월_남_100세 이상,2,2,0,0,0,0,0,0,0,0
2020년12월_여_총인구수,"15,988","4,266","1,704",929,"1,951",999,"1,518","1,451","1,404","1,766"
2020년12월_여_연령구간인구수,"15,988","4,266","1,704",929,"1,951",999,"1,518","1,451","1,404","1,766"
2020년12월_여_0~9세,666,269,78,29,59,30,47,45,45,64
2020년12월_여_10~19세,965,347,89,31,112,41,101,72,66,106
2020년12월_여_20~29세,"1,018",351,73,63,102,47,91,81,100,110
2020년12월_여_30~39세,995,355,82,45,109,49,80,81,93,101
2020년12월_여_40~49세,"1,411",519,116,59,148,74,128,107,132,128
2020년12월_여_50~59세,"2,294",609,238,131,281,150,222,203,216,244
2020년12월_여_60~69세,"2,845",643,315,208,362,173,277,292,265,310
2020년12월_여_70~79세,"3,008",621,394,174,391,218,286,281,251,392
2020년12월_여_80~89세,"2,386",471,283,159,332,189,242,241,198,271
2020년12월_여_90~99세,377,77,36,28,52,27,43,46,31,37
2020년12월_여_100세 이상,23,4,0,2,3,1,1,2,7,3
