,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년11월_계_총인구수,"378,276","21,491","27,793","34,216","20,853","37,549","18,280","33,155","17,289","22,385","17,436","16,933","11,497","11,200","17,689","20,336","14,825","12,394","22,955"
2020년11월_계_연령구간인구수,"378,276","21,491","27,793","34,216","20,853","37,549","18,280","33,155","17,289","22,385","17,436","16,933","11,497","11,200","17,689","20,336","14,825","12,394","22,955"
2020년11월_계_0~9세,"25,757","1,454","1,209","2,964","1,156","2,817",990,"3,384","1,222","1,661",598,"1,189",717,830,964,"2,104",861,465,"1,172"
2020년11월_계_10~19세,"24,312","1,280",879,"2,926",996,"2,301",962,"2,946","1,011","1,604",886,"1,148",772,762,"1,076","1,754",914,608,"1,487"
2020년11월_계_20~29세,"58,736","2,831","6,577","3,867","3,589","7,337","2,759","3,815","2,686","3,690","3,372","2,173","1,509","1,416","3,058","2,817","2,166","1,873","3,201"
2020년11월_계_30~39세,"68,970","3,328","6,819","5,287","4,245","8,226","3,252","6,223","4,280","5,184","2,979","2,543","1,655","1,620","2,854","3,499","1,985","1,694","3,297"
2020년11월_계_40~49세,"56,366","3,167","3,487","5,512","2,941","5,244","2,759","5,979","2,764","3,364","2,431","2,525","1,740","1,659","2,431","3,344","2,123","1,700","3,196"
2020년11월_계_50~59세,"56,873","3,649","3,594","5,176","3,083","4,814","2,998","4,193","2,046","3,042","2,582","2,910","1,948","1,951","2,768","3,114","2,525","2,205","4,275"
2020년11월_계_60~69세,"46,822","3,174","2,999","4,111","2,652","3,769","2,343","3,547","1,695","2,182","2,279","2,448","1,731","1,657","2,506","2,132","2,199","1,862","3,536"
2020년11월_계_70~79세,"27,272","1,821","1,524","2,680","1,463","1,995","1,491","2,073","1,068","1,112","1,541","1,410",957,905,"1,373","1,056","1,445","1,416","1,942"
2020년11월_계_80~89세,"11,287",667,582,"1,456",633,876,623,839,437,466,656,509,397,334,571,450,523,508,760
2020년11월_계_90~99세,"1,601",105,99,213,80,137,86,131,71,74,92,70,56,49,75,52,69,57,85
2020년11월_계_100세 이상,280,15,24,24,15,33,17,25,9,6,20,8,15,17,13,14,15,6,4
2020년11월_남_총인구수,"187,061","11,017","14,955","16,069","10,233","17,617","9,185","16,270","8,526","11,128","8,850","8,342","5,731","5,428","8,624","10,129","7,358","6,079","11,520"
2020년11월_남_연령구간인구수,"187,061","11,017","14,955","16,069","10,233","17,617","9,185","16,270","8,526","11,128","8,850","8,342","5,731","5,428","8,624","10,129","7,358","6,079","11,520"
2020년11월_남_0~9세,"13,126",731,582,"1,482",579,"1,428",512,"1,749",672,847,299,623,356,413,479,"1,113",457,236,568
2020년11월_남_10~19세,"12,702",679,478,"1,457",497,"1,144",514,"1,523",510,848,454,590,423,377,625,949,522,302,810
2020년11월_남_20~29세,"27,588","1,522","2,870","1,796","1,625","3,024","1,303","1,812","1,162","1,684","1,664","1,074",793,713,"1,436","1,424","1,064",958,"1,664"
2020년11월_남_30~39세,"35,442","1,748","3,814","2,408","2,216","3,978","1,723","2,981","2,222","2,682","1,703","1,313",870,856,"1,462","1,715","1,044",917,"1,790"
2020년11월_남_40~49세,"28,964","1,668","2,076","2,601","1,526","2,576","1,466","3,025","1,467","1,689","1,328","1,295",896,833,"1,236","1,686","1,125",876,"1,595"
2020년11월_남_50~59세,"28,902","1,904","2,245","2,502","1,551","2,310","1,578","2,124","1,054","1,585","1,350","1,446",977,947,"1,335","1,542","1,236","1,077","2,139"
2020년11월_남_60~69세,"22,741","1,603","1,818","1,918","1,271","1,823","1,143","1,654",779,"1,093","1,090","1,174",842,743,"1,164","1,032","1,025",847,"1,722"
2020년11월_남_70~79세,"12,523",855,788,"1,197",677,936,675,992,482,492,664,626,409,419,641,484,656,626,904
2020년11월_남_80~89세,"4,552",271,246,626,265,349,242,352,159,186,268,181,147,115,226,169,214,229,307
2020년11월_남_90~99세,449,34,34,79,23,37,22,48,18,20,27,17,12,8,15,13,12,9,21
2020년11월_남_100세 이상,72,2,4,3,3,12,7,10,1,2,3,3,6,4,5,2,3,2,0
2020년11월_여_총인구수,"191,215","10,474","12,838","18,147","10,620","19,932","9,095","16,885","8,763","11,257","8,586","8,591","5,766","5,772","9,065","10,207","7,467","6,315","11,435"
2020년11월_여_연령구간인구수,"191,215","10,474","12,838","18,147","10,620","19,932","9,095","16,885","8,763","11,257","8,586","8,591","5,766","5,772","9,065","10,207","7,467","6,315","11,435"
2020년11월_여_0~9세,"12,631",723,627,"1,482",577,"1,389",478,"1,635",550,814,299,566,361,417,485,991,404,229,604
2020년11월_여_10~19세,"11,610",601,401,"1,469",499,"1,157",448,"1,423",501,756,432,558,349,385,451,805,392,306,677
2020년11월_여_20~29세,"31,148","1,309","3,707","2,071","1,964","4,313","1,456","2,003","1,524","2,006","1,708","1,099",716,703,"1,622","1,393","1,102",915,"1,537"
2020년11월_여_30~39세,"33,528","1,580","3,005","2,879","2,029","4,248","1,529","3,242","2,058","2,502","1,276","1,230",785,764,"1,392","1,784",941,777,"1,507"
2020년11월_여_40~49세,"27,402","1,499","1,411","2,911","1,415","2,668","1,293","2,954","1,297","1,675","1,103","1,230",844,826,"1,195","1,658",998,824,"1,601"
2020년11월_여_50~59세,"27,971","1,745","1,349","2,674","1,532","2,504","1,420","2,069",992,"1,457","1,232","1,464",971,"1,004","1,433","1,572","1,289","1,128","2,136"
2020년11월_여_60~69세,"24,081","1,571","1,181","2,193","1,381","1,946","1,200","1,893",916,"1,089","1,189","1,274",889,914,"1,342","1,100","1,174","1,015","1,814"
2020년11월_여_70~79세,"14,749",966,736,"1,483",786,"1,059",816,"1,081",586,620,877,784,548,486,732,572,789,790,"1,038"
2020년11월_여_80~89세,"6,735",396,336,830,368,527,381,487,278,280,388,328,250,219,345,281,309,279,453
2020년11월_여_90~99세,"1,152",71,65,134,57,100,64,83,53,54,65,53,44,41,60,39,57,48,64
2020년11월_여_100세 이상,208,13,20,21,12,21,10,15,8,4,17,5,9,13,8,12,12,4,4
