카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년08월_계_총인구수,"62,605","19,562","9,549","14,106","5,583","9,836","3,969"
2020년08월_계_연령구간인구수,"62,605","19,562","9,549","14,106","5,583","9,836","3,969"
2020년08월_계_0~9세,"3,467","1,194",548,652,158,761,154
2020년08월_계_10~19세,"4,754","1,710",813,"1,007",343,667,214
2020년08월_계_20~29세,"6,231","2,206",861,"1,349",522,"1,044",249
2020년08월_계_30~39세,"5,822","1,937",812,"1,218",379,"1,190",286
2020년08월_계_40~49세,"7,974","2,658","1,134","1,968",561,"1,234",419
2020년08월_계_50~59세,"11,454","3,494","1,755","2,696","1,118","1,657",734
2020년08월_계_60~69세,"11,876","3,213","1,954","2,636","1,358","1,750",965
2020년08월_계_70~79세,"6,860","1,925","1,000","1,654",725,984,572
2020년08월_계_80~89세,"3,596","1,065",561,801,369,478,322
2020년08월_계_90~99세,524,143,107,116,46,62,50
2020년08월_계_100세 이상,47,17,4,9,4,9,4
2020년08월_남_총인구수,"32,228","9,942","4,903","7,205","2,908","5,233","2,037"
2020년08월_남_연령구간인구수,"32,228","9,942","4,903","7,205","2,908","5,233","2,037"
2020년08월_남_0~9세,"1,715",600,250,334,83,379,69
2020년08월_남_10~19세,"2,520",931,410,539,173,352,115
2020년08월_남_20~29세,"3,577","1,203",483,761,335,654,141
2020년08월_남_30~39세,"3,143","1,030",449,650,205,652,157
2020년08월_남_40~49세,"4,271","1,407",596,"1,045",311,662,250
2020년08월_남_50~59세,"6,085","1,846",942,"1,432",583,880,402
2020년08월_남_60~69세,"6,139","1,618","1,012","1,331",709,974,495
2020년08월_남_70~79세,"3,233",862,508,766,361,464,272
2020년08월_남_80~89세,"1,382",396,226,312,135,193,120
2020년08월_남_90~99세,144,45,25,30,10,19,15
2020년08월_남_100세 이상,19,4,2,5,3,4,1
2020년08월_여_총인구수,"30,377","9,620","4,646","6,901","2,675","4,603","1,932"
2020년08월_여_연령구간인구수,"30,377","9,620","4,646","6,901","2,675","4,603","1,932"
2020년08월_여_0~9세,"1,752",594,298,318,75,382,85
2020년08월_여_10~19세,"2,234",779,403,468,170,315,99
2020년08월_여_20~29세,"2,654","1,003",378,588,187,390,108
2020년08월_여_30~39세,"2,679",907,363,568,174,538,129
2020년08월_여_40~49세,"3,703","1,251",538,923,250,572,169
2020년08월_여_50~59세,"5,369","1,648",813,"1,264",535,777,332
2020년08월_여_60~69세,"5,737","1,595",942,"1,305",649,776,470
2020년08월_여_70~79세,"3,627","1,063",492,888,364,520,300
2020년08월_여_80~89세,"2,214",669,335,489,234,285,202
2020년08월_여_90~99세,380,98,82,86,36,43,35
2020년08월_여_100세 이상,28,13,2,4,1,5,3
