,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년09월_계_총인구수,"69,164","34,845","4,663","2,418","2,399","3,755","3,943","6,208","3,784","3,912","3,237"
2020년09월_계_연령구간인구수,"69,164","34,845","4,663","2,418","2,399","3,755","3,943","6,208","3,784","3,912","3,237"
2020년09월_계_0~9세,"3,819","2,674",123,43,51,129,101,367,97,118,116
2020년09월_계_10~19세,"5,248","3,616",166,113,108,204,159,408,133,192,149
2020년09월_계_20~29세,"6,916","4,172",392,143,118,268,255,837,245,289,197
2020년09월_계_30~39세,"6,162","3,948",314,107,99,205,203,595,247,249,195
2020년09월_계_40~49세,"8,296","5,327",388,152,194,319,347,562,358,353,296
2020년09월_계_50~59세,"12,881","6,063",837,465,501,828,780,"1,028",748,854,777
2020년09월_계_60~69세,"13,534","4,931","1,220",669,689,945,"1,077","1,184","1,047",946,826
2020년09월_계_70~79세,"7,309","2,536",704,417,376,482,604,699,553,518,420
2020년09월_계_80~89세,"4,330","1,357",429,260,237,333,372,467,297,352,226
2020년09월_계_90~99세,628,203,86,49,26,38,39,60,56,37,34
2020년09월_계_100세 이상,41,18,4,0,0,4,6,1,3,4,1
2020년09월_남_총인구수,"35,605","17,598","2,462","1,213","1,257","1,905","2,038","3,370","1,986","2,061","1,715"
2020년09월_남_연령구간인구수,"35,605","17,598","2,462","1,213","1,257","1,905","2,038","3,370","1,986","2,061","1,715"
2020년09월_남_0~9세,"1,926","1,332",59,27,33,68,47,192,48,59,61
2020년09월_남_10~19세,"2,717","1,874",92,65,63,103,92,178,68,105,77
2020년09월_남_20~29세,"4,189","2,400",262,84,65,168,152,629,142,172,115
2020년09월_남_30~39세,"3,361","2,083",190,53,64,102,118,345,159,141,106
2020년09월_남_40~49세,"4,454","2,690",245,90,125,179,210,321,215,212,167
2020년09월_남_50~59세,"6,808","3,152",460,244,257,426,415,555,389,469,441
2020년09월_남_60~69세,"7,006","2,462",637,348,362,491,555,639,565,514,433
2020년09월_남_70~79세,"3,449","1,090",354,190,201,242,306,332,266,249,219
2020년09월_남_80~89세,"1,516",460,139,100,78,115,132,163,114,129,86
2020년09월_남_90~99세,172,54,23,12,9,10,10,16,20,9,9
2020년09월_남_100세 이상,7,1,1,0,0,1,1,0,0,2,1
2020년09월_여_총인구수,"33,559","17,247","2,201","1,205","1,142","1,850","1,905","2,838","1,798","1,851","1,522"
2020년09월_여_연령구간인구수,"33,559","17,247","2,201","1,205","1,142","1,850","1,905","2,838","1,798","1,851","1,522"
2020년09월_여_0~9세,"1,893","1,342",64,16,18,61,54,175,49,59,55
2020년09월_여_10~19세,"2,531","1,742",74,48,45,101,67,230,65,87,72
2020년09월_여_20~29세,"2,727","1,772",130,59,53,100,103,208,103,117,82
2020년09월_여_30~39세,"2,801","1,865",124,54,35,103,85,250,88,108,89
2020년09월_여_40~49세,"3,842","2,637",143,62,69,140,137,241,143,141,129
2020년09월_여_50~59세,"6,073","2,911",377,221,244,402,365,473,359,385,336
2020년09월_여_60~69세,"6,528","2,469",583,321,327,454,522,545,482,432,393
2020년09월_여_70~79세,"3,860","1,446",350,227,175,240,298,367,287,269,201
2020년09월_여_80~89세,"2,814",897,290,160,159,218,240,304,183,223,140
2020년09월_여_90~99세,456,149,63,37,17,28,29,44,36,28,25
2020년09월_여_100세 이상,34,17,3,0,0,3,5,1,3,2,0
