,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년05월_계_총인구수,"479,368","36,482","37,576","10,225","49,303","12,453","43,149","22,726","15,566","20,475","22,633","32,063","23,040","21,650","70,224","1,972","24,377","17,323","18,131"
2020년05월_계_연령구간인구수,"479,368","36,482","37,576","10,225","49,303","12,453","43,149","22,726","15,566","20,475","22,633","32,063","23,040","21,650","70,224","1,972","24,377","17,323","18,131"
2020년05월_계_0~9세,"46,665","2,772","1,892",511,"5,895",767,"6,412","1,745","1,490","1,229","1,457","2,626","1,807","1,752","11,276",51,"1,907","1,586","1,490"
2020년05월_계_10~19세,"49,454","3,147","3,630",812,"5,310","1,281","3,426","2,326","1,484","1,166","1,984","3,742","2,181","2,802","7,632",60,"3,190","2,879","2,402"
2020년05월_계_20~29세,"66,914","5,651","6,059","1,444","6,517","1,735","4,274","2,965","1,707","3,161","3,425","5,147","3,129","3,644","9,063",151,"3,685","2,512","2,645"
2020년05월_계_30~39세,"73,832","5,277","4,054","1,041","8,101","1,176","8,958","2,904","2,359","4,263","3,624","4,365","3,327","2,527","15,228",193,"2,621","1,713","2,101"
2020년05월_계_40~49세,"87,240","5,315","5,770","1,425","8,392","2,083","7,410","3,987","3,105","4,259","4,667","6,270","4,689","3,983","14,003",185,"4,602","3,730","3,365"
2020년05월_계_50~59세,"84,394","7,215","8,382","2,312","8,291","2,533","5,836","4,181","2,590","3,791","4,390","6,021","4,501","4,317","8,309",482,"4,796","3,182","3,265"
2020년05월_계_60~69세,"42,571","4,288","4,711","1,528","4,245","1,540","4,204","2,654","1,646","1,668","1,991","2,309","2,089","1,447","3,334",525,"1,909",922,"1,561"
2020년05월_계_70~79세,"18,545","1,783","2,067",740,"1,655",859,"1,785","1,287",809,649,745,"1,003",853,727,975,223,"1,060",498,827
2020년05월_계_80~89세,"8,430",891,870,359,776,422,718,587,326,252,304,522,390,404,352,82,524,254,397
2020년05월_계_90~99세,"1,227",134,120,45,114,53,111,80,48,34,44,56,73,45,51,18,78,46,77
2020년05월_계_100세 이상,96,9,21,8,7,4,15,10,2,3,2,2,1,2,1,2,5,1,1
2020년05월_남_총인구수,"250,780","18,544","19,424","5,373","24,744","6,505","21,859","11,910","8,134","12,861","13,281","17,128","12,956","10,758","35,990","1,200","12,414","8,656","9,043"
2020년05월_남_연령구간인구수,"250,780","18,544","19,424","5,373","24,744","6,505","21,859","11,910","8,134","12,861","13,281","17,128","12,956","10,758","35,990","1,200","12,414","8,656","9,043"
2020년05월_남_0~9세,"23,853","1,419","1,009",260,"3,044",381,"3,243",906,768,620,726,"1,320",931,904,"5,698",31,980,831,782
2020년05월_남_10~19세,"25,459","1,639","1,901",420,"2,716",680,"1,778","1,221",781,607,"1,021","1,918","1,149","1,438","3,821",32,"1,664","1,473","1,200"
2020년05월_남_20~29세,"36,322","2,925","3,282",803,"3,397",982,"2,169","1,636",914,"2,069","2,149","2,930","1,791","1,869","4,743",90,"1,943","1,270","1,360"
2020년05월_남_30~39세,"39,587","2,810","2,243",582,"3,975",621,"4,437","1,615","1,248","2,881","2,271","2,501","1,983","1,290","7,782",129,"1,334",790,"1,095"
2020년05월_남_40~49세,"46,710","2,694","2,976",736,"4,241","1,092","4,060","2,211","1,713","2,880","2,885","3,381","2,808","1,859","7,439",129,"2,243","1,761","1,602"
2020년05월_남_50~59세,"44,889","3,663","4,317","1,244","4,166","1,396","2,935","2,190","1,386","2,391","2,650","3,216","2,586","2,206","4,208",305,"2,571","1,757","1,702"
2020년05월_남_60~69세,"22,594","2,285","2,506",834,"2,200",827,"2,129","1,338",808,988,"1,142","1,245","1,174",759,"1,744",317,"1,014",480,804
2020년05월_남_70~79세,"8,353",803,911,350,764,380,857,576,392,330,326,431,389,285,431,127,447,193,361
2020년05월_남_80~89세,"2,734",282,247,124,220,130,229,201,114,87,101,173,136,134,114,33,199,88,122
2020년05월_남_90~99세,252,23,30,15,19,15,18,14,9,7,8,13,8,14,10,5,17,13,14
2020년05월_남_100세 이상,27,1,2,5,2,1,4,2,1,1,2,0,1,0,0,2,2,0,1
2020년05월_여_총인구수,"228,588","17,938","18,152","4,852","24,559","5,948","21,290","10,816","7,432","7,614","9,352","14,935","10,084","10,892","34,234",772,"11,963","8,667","9,088"
2020년05월_여_연령구간인구수,"228,588","17,938","18,152","4,852","24,559","5,948","21,290","10,816","7,432","7,614","9,352","14,935","10,084","10,892","34,234",772,"11,963","8,667","9,088"
2020년05월_여_0~9세,"22,812","1,353",883,251,"2,851",386,"3,169",839,722,609,731,"1,306",876,848,"5,578",20,927,755,708
2020년05월_여_10~19세,"23,995","1,508","1,729",392,"2,594",601,"1,648","1,105",703,559,963,"1,824","1,032","1,364","3,811",28,"1,526","1,406","1,202"
2020년05월_여_20~29세,"30,592","2,726","2,777",641,"3,120",753,"2,105","1,329",793,"1,092","1,276","2,217","1,338","1,775","4,320",61,"1,742","1,242","1,285"
2020년05월_여_30~39세,"34,245","2,467","1,811",459,"4,126",555,"4,521","1,289","1,111","1,382","1,353","1,864","1,344","1,237","7,446",64,"1,287",923,"1,006"
2020년05월_여_40~49세,"40,530","2,621","2,794",689,"4,151",991,"3,350","1,776","1,392","1,379","1,782","2,889","1,881","2,124","6,564",56,"2,359","1,969","1,763"
2020년05월_여_50~59세,"39,505","3,552","4,065","1,068","4,125","1,137","2,901","1,991","1,204","1,400","1,740","2,805","1,915","2,111","4,101",177,"2,225","1,425","1,563"
2020년05월_여_60~69세,"19,977","2,003","2,205",694,"2,045",713,"2,075","1,316",838,680,849,"1,064",915,688,"1,590",208,895,442,757
2020년05월_여_70~79세,"10,192",980,"1,156",390,891,479,928,711,417,319,419,572,464,442,544,96,613,305,466
2020년05월_여_80~89세,"5,696",609,623,235,556,292,489,386,212,165,203,349,254,270,238,49,325,166,275
2020년05월_여_90~99세,975,111,90,30,95,38,93,66,39,27,36,43,65,31,41,13,61,33,63
2020년05월_여_100세 이상,69,8,19,3,5,3,11,8,1,2,0,2,0,2,1,0,3,1,0
