카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년02월_계_총인구수,"30,601","10,579","3,074","3,689","3,541","3,466","3,260","2,359",280,353
2020년02월_계_연령구간인구수,"30,601","10,579","3,074","3,689","3,541","3,466","3,260","2,359",280,353
2020년02월_계_0~9세,"1,799",896,133,219,140,124,119,119,19,30
2020년02월_계_10~19세,"2,280","1,161",182,249,178,197,136,131,12,34
2020년02월_계_20~29세,"2,452","1,146",203,275,229,231,211,122,19,16
2020년02월_계_30~39세,"2,328","1,088",187,292,220,182,172,144,19,24
2020년02월_계_40~49세,"3,618","1,538",330,405,384,335,261,296,31,38
2020년02월_계_50~59세,"5,165","1,758",527,600,643,621,538,376,44,58
2020년02월_계_60~69세,"5,062","1,372",581,688,672,643,612,397,40,57
2020년02월_계_70~79세,"4,812","1,054",560,555,637,682,746,464,52,62
2020년02월_계_80~89세,"2,729",502,334,356,386,383,413,286,39,30
2020년02월_계_90~99세,340,62,36,45,51,67,50,20,5,4
2020년02월_계_100세 이상,16,2,1,5,1,1,2,4,0,0
2020년02월_남_총인구수,"15,047","5,200","1,550","1,791","1,779","1,648","1,555","1,203",145,176
2020년02월_남_연령구간인구수,"15,047","5,200","1,550","1,791","1,779","1,648","1,555","1,203",145,176
2020년02월_남_0~9세,883,432,66,113,79,55,58,51,12,17
2020년02월_남_10~19세,"1,177",610,91,122,93,103,63,70,9,16
2020년02월_남_20~29세,"1,399",654,123,142,125,124,134,75,10,12
2020년02월_남_30~39세,"1,278",552,119,166,132,103,96,85,11,14
2020년02월_남_40~49세,"2,094",793,192,243,242,209,173,194,21,27
2020년02월_남_50~59세,"2,804",874,316,319,358,333,299,236,30,39
2020년02월_남_60~69세,"2,562",675,298,341,348,323,299,233,21,24
2020년02월_남_70~79세,"2,012",453,242,234,265,287,311,181,21,18
2020년02월_남_80~89세,771,146,96,100,126,100,110,77,9,7
2020년02월_남_90~99세,67,11,7,11,11,11,12,1,1,2
2020년02월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"15,554","5,379","1,524","1,898","1,762","1,818","1,705","1,156",135,177
2020년02월_여_연령구간인구수,"15,554","5,379","1,524","1,898","1,762","1,818","1,705","1,156",135,177
2020년02월_여_0~9세,916,464,67,106,61,69,61,68,7,13
2020년02월_여_10~19세,"1,103",551,91,127,85,94,73,61,3,18
2020년02월_여_20~29세,"1,053",492,80,133,104,107,77,47,9,4
2020년02월_여_30~39세,"1,050",536,68,126,88,79,76,59,8,10
2020년02월_여_40~49세,"1,524",745,138,162,142,126,88,102,10,11
2020년02월_여_50~59세,"2,361",884,211,281,285,288,239,140,14,19
2020년02월_여_60~69세,"2,500",697,283,347,324,320,313,164,19,33
2020년02월_여_70~79세,"2,800",601,318,321,372,395,435,283,31,44
2020년02월_여_80~89세,"1,958",356,238,256,260,283,303,209,30,23
2020년02월_여_90~99세,273,51,29,34,40,56,38,19,4,2
2020년02월_여_100세 이상,16,2,1,5,1,1,2,4,0,0
