카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년08월_계_총인구수,"219,249","10,414","17,451","8,970","4,881","11,387","13,560","19,840","34,050","23,330","22,691","20,505","11,008","21,162"
2020년08월_계_연령구간인구수,"219,249","10,414","17,451","8,970","4,881","11,387","13,560","19,840","34,050","23,330","22,691","20,505","11,008","21,162"
2020년08월_계_0~9세,"17,063",466,"1,408",438,237,947,484,"1,374","3,584","1,138","1,502","2,054","1,336","2,095"
2020년08월_계_10~19세,"20,326",656,"1,335",616,322,"1,129",682,"1,641","3,639","2,181","2,347","1,892","1,300","2,586"
2020년08월_계_20~29세,"27,395","1,123","2,214","1,369",609,"1,523","1,632","2,457","3,986","3,244","3,043","2,357","1,365","2,473"
2020년08월_계_30~39세,"27,002","1,069","2,523","1,050",521,"1,634","1,374","2,482","4,524","2,131","2,333","2,883","1,729","2,749"
2020년08월_계_40~49세,"34,738","1,415","2,675","1,180",592,"1,784","1,696","2,930","6,009","3,605","3,412","3,343","1,848","4,249"
2020년08월_계_50~59세,"41,778","1,951","3,500","1,813",995,"2,089","2,677","3,690","5,921","5,065","4,853","3,747","1,953","3,524"
2020년08월_계_60~69세,"31,165","2,028","2,447","1,473",960,"1,380","2,828","3,147","4,154","3,508","3,348","2,733",991,"2,168"
2020년08월_계_70~79세,"14,052","1,229",973,755,466,623,"1,517","1,458","1,620","1,711","1,358","1,064",349,929
2020년08월_계_80~89세,"5,071",422,330,243,150,240,582,602,537,685,435,394,122,329
2020년08월_계_90~99세,605,51,44,31,23,35,65,57,75,60,56,36,14,58
2020년08월_계_100세 이상,54,4,2,2,6,3,23,2,1,2,4,2,1,2
2020년08월_남_총인구수,"111,137","5,315","9,073","4,571","2,443","5,689","6,995","9,978","17,018","11,839","11,502","10,399","5,541","10,774"
2020년08월_남_연령구간인구수,"111,137","5,315","9,073","4,571","2,443","5,689","6,995","9,978","17,018","11,839","11,502","10,399","5,541","10,774"
2020년08월_남_0~9세,"8,838",239,725,241,134,467,255,745,"1,905",557,753,"1,036",690,"1,091"
2020년08월_남_10~19세,"10,864",333,694,320,166,618,359,877,"1,929","1,219","1,281","1,029",678,"1,361"
2020년08월_남_20~29세,"15,249",643,"1,229",745,333,821,917,"1,367","2,271","1,821","1,716","1,310",723,"1,353"
2020년08월_남_30~39세,"14,210",611,"1,391",590,301,884,839,"1,286","2,187","1,172","1,229","1,480",849,"1,391"
2020년08월_남_40~49세,"17,631",805,"1,431",608,305,868,945,"1,479","2,948","1,791","1,668","1,743",882,"2,158"
2020년08월_남_50~59세,"20,825","1,027","1,795",900,474,"1,005","1,353","1,842","2,803","2,542","2,410","1,839","1,006","1,829"
2020년08월_남_60~69세,"15,216",957,"1,212",709,460,648,"1,428","1,528","2,020","1,731","1,628","1,341",509,"1,045"
2020년08월_남_70~79세,"6,441",541,474,366,201,297,663,623,771,779,644,485,157,440
2020년08월_남_80~89세,"1,754",153,115,87,58,76,217,217,174,214,167,131,44,101
2020년08월_남_90~99세,98,5,7,5,8,5,15,14,10,12,6,4,3,4
2020년08월_남_100세 이상,11,1,0,0,3,0,4,0,0,1,0,1,0,1
2020년08월_여_총인구수,"108,112","5,099","8,378","4,399","2,438","5,698","6,565","9,862","17,032","11,491","11,189","10,106","5,467","10,388"
2020년08월_여_연령구간인구수,"108,112","5,099","8,378","4,399","2,438","5,698","6,565","9,862","17,032","11,491","11,189","10,106","5,467","10,388"
2020년08월_여_0~9세,"8,225",227,683,197,103,480,229,629,"1,679",581,749,"1,018",646,"1,004"
2020년08월_여_10~19세,"9,462",323,641,296,156,511,323,764,"1,710",962,"1,066",863,622,"1,225"
2020년08월_여_20~29세,"12,146",480,985,624,276,702,715,"1,090","1,715","1,423","1,327","1,047",642,"1,120"
2020년08월_여_30~39세,"12,792",458,"1,132",460,220,750,535,"1,196","2,337",959,"1,104","1,403",880,"1,358"
2020년08월_여_40~49세,"17,107",610,"1,244",572,287,916,751,"1,451","3,061","1,814","1,744","1,600",966,"2,091"
2020년08월_여_50~59세,"20,953",924,"1,705",913,521,"1,084","1,324","1,848","3,118","2,523","2,443","1,908",947,"1,695"
2020년08월_여_60~69세,"15,949","1,071","1,235",764,500,732,"1,400","1,619","2,134","1,777","1,720","1,392",482,"1,123"
2020년08월_여_70~79세,"7,611",688,499,389,265,326,854,835,849,932,714,579,192,489
2020년08월_여_80~89세,"3,317",269,215,156,92,164,365,385,363,471,268,263,78,228
2020년08월_여_90~99세,507,46,37,26,15,30,50,43,65,48,50,32,11,54
2020년08월_여_100세 이상,43,3,2,2,3,3,19,2,1,1,4,1,1,1
