카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년11월_계_총인구수,"68,966","24,936","2,932","3,263","2,839","6,173","2,845","2,020","3,030","2,165","2,416","4,855","3,814","4,049","3,629"
2020년11월_계_연령구간인구수,"68,966","24,936","2,932","3,263","2,839","6,173","2,845","2,020","3,030","2,165","2,416","4,855","3,814","4,049","3,629"
2020년11월_계_0~9세,"4,058","2,365",93,131,62,293,97,44,95,81,79,190,196,191,141
2020년11월_계_10~19세,"5,300","2,964",153,154,145,364,172,103,165,80,126,246,198,227,203
2020년11월_계_20~29세,"5,547","2,721",212,196,151,469,181,118,203,85,138,289,249,269,266
2020년11월_계_30~39세,"5,136","2,642",175,204,135,400,145,82,126,111,114,270,257,236,239
2020년11월_계_40~49세,"8,100","3,849",276,318,257,637,247,179,332,208,230,400,394,390,383
2020년11월_계_50~59세,"11,605","4,063",545,534,498,"1,113",468,321,511,313,425,873,615,713,613
2020년11월_계_60~69세,"12,323","3,226",604,675,628,"1,203",582,412,569,453,468,"1,141",744,850,768
2020년11월_계_70~79세,"10,069","2,025",522,634,567,"1,011",578,425,565,421,465,840,703,732,581
2020년11월_계_80~89세,"5,958",939,305,386,344,615,333,295,385,357,319,537,397,379,367
2020년11월_계_90~99세,824,141,45,30,48,65,41,40,73,51,47,63,58,60,62
2020년11월_계_100세 이상,46,1,2,1,4,3,1,1,6,5,5,6,3,2,6
2020년11월_남_총인구수,"34,040","12,267","1,451","1,637","1,414","3,031","1,373",957,"1,511","1,009","1,216","2,383","1,923","2,010","1,858"
2020년11월_남_연령구간인구수,"34,040","12,267","1,451","1,637","1,414","3,031","1,373",957,"1,511","1,009","1,216","2,383","1,923","2,010","1,858"
2020년11월_남_0~9세,"2,043","1,180",40,70,33,150,44,25,50,35,48,94,99,101,74
2020년11월_남_10~19세,"2,745","1,518",85,79,80,183,94,51,90,43,71,132,96,123,100
2020년11월_남_20~29세,"3,111","1,475",114,100,93,292,100,67,108,51,87,180,135,168,141
2020년11월_남_30~39세,"2,685","1,285",100,130,86,225,73,45,71,55,59,155,142,114,145
2020년11월_남_40~49세,"4,570","1,896",168,206,157,376,149,113,203,136,155,239,277,237,258
2020년11월_남_50~59세,"6,397","2,122",297,321,280,576,252,192,303,167,265,495,356,398,373
2020년11월_남_60~69세,"6,138","1,559",316,321,334,579,290,204,296,225,233,553,400,425,403
2020년11월_남_70~79세,"4,360",909,219,286,237,451,255,157,243,172,193,365,298,331,244
2020년11월_남_80~89세,"1,836",291,101,118,109,193,102,98,136,109,94,159,114,104,108
2020년11월_남_90~99세,154,32,11,6,5,6,14,5,11,15,11,11,6,9,12
2020년11월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년11월_여_총인구수,"34,926","12,669","1,481","1,626","1,425","3,142","1,472","1,063","1,519","1,156","1,200","2,472","1,891","2,039","1,771"
2020년11월_여_연령구간인구수,"34,926","12,669","1,481","1,626","1,425","3,142","1,472","1,063","1,519","1,156","1,200","2,472","1,891","2,039","1,771"
2020년11월_여_0~9세,"2,015","1,185",53,61,29,143,53,19,45,46,31,96,97,90,67
2020년11월_여_10~19세,"2,555","1,446",68,75,65,181,78,52,75,37,55,114,102,104,103
2020년11월_여_20~29세,"2,436","1,246",98,96,58,177,81,51,95,34,51,109,114,101,125
2020년11월_여_30~39세,"2,451","1,357",75,74,49,175,72,37,55,56,55,115,115,122,94
2020년11월_여_40~49세,"3,530","1,953",108,112,100,261,98,66,129,72,75,161,117,153,125
2020년11월_여_50~59세,"5,208","1,941",248,213,218,537,216,129,208,146,160,378,259,315,240
2020년11월_여_60~69세,"6,185","1,667",288,354,294,624,292,208,273,228,235,588,344,425,365
2020년11월_여_70~79세,"5,709","1,116",303,348,330,560,323,268,322,249,272,475,405,401,337
2020년11월_여_80~89세,"4,122",648,204,268,235,422,231,197,249,248,225,378,283,275,259
2020년11월_여_90~99세,670,109,34,24,43,59,27,35,62,36,36,52,52,51,50
2020년11월_여_100세 이상,45,1,2,1,4,3,1,1,6,4,5,6,3,2,6
