,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 개항동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년09월_계_총인구수,"142,053","6,131","5,114","13,231","3,936","3,204","5,862","7,068","18,737","43,198","31,618","3,954"
2021년09월_계_연령구간인구수,"142,053","6,131","5,114","13,231","3,936","3,204","5,862","7,068","18,737","43,198","31,618","3,954"
2021년09월_계_0~9세,"11,663",218,239,804,121,84,197,250,"1,197","6,752","1,729",72
2021년09월_계_10~19세,"12,993",326,344,"1,125",260,183,285,446,"1,501","5,100","3,315",108
2021년09월_계_20~29세,"18,911",619,533,"1,602",430,329,593,751,"2,490","3,691","7,619",254
2021년09월_계_30~39세,"21,654",603,515,"1,560",351,280,670,674,"2,930","8,507","5,305",259
2021년09월_계_40~49세,"24,983",796,780,"2,011",530,462,742,955,"3,083","9,569","5,607",448
2021년09월_계_50~59세,"20,894","1,247",868,"2,281",700,613,"1,094","1,240","3,185","4,634","4,166",866
2021년09월_계_60~69세,"17,003","1,329",835,"2,071",771,613,"1,122","1,399","2,696","3,028","2,055","1,084"
2021년09월_계_70~79세,"9,328",640,622,"1,182",537,445,696,906,"1,071","1,398","1,242",589
2021년09월_계_80~89세,"3,959",298,320,517,200,163,382,395,487,439,532,226
2021년09월_계_90~99세,641,53,56,78,35,32,76,50,93,78,45,45
2021년09월_계_100세 이상,24,2,2,0,1,0,5,2,4,2,3,3
2021년09월_남_총인구수,"73,787","3,312","2,603","6,747","2,003","1,649","3,099","3,550","10,259","21,681","16,682","2,202"
2021년09월_남_연령구간인구수,"73,787","3,312","2,603","6,747","2,003","1,649","3,099","3,550","10,259","21,681","16,682","2,202"
2021년09월_남_0~9세,"6,012",117,132,400,55,51,101,136,606,"3,473",907,34
2021년09월_남_10~19세,"6,685",155,178,587,146,89,139,218,791,"2,578","1,749",55
2021년09월_남_20~29세,"9,695",359,294,861,251,184,322,407,"1,368","1,848","3,635",166
2021년09월_남_30~39세,"11,783",365,286,837,191,164,387,382,"1,734","4,111","3,161",165
2021년09월_남_40~49세,"13,600",478,427,"1,077",292,260,448,531,"1,772","5,024","3,003",288
2021년09월_남_50~59세,"11,590",732,467,"1,227",378,348,643,678,"1,793","2,401","2,404",519
2021년09월_남_60~69세,"8,524",690,422,"1,023",362,301,591,663,"1,462","1,379","1,059",572
2021년09월_남_70~79세,"4,313",299,272,524,245,198,320,387,531,691,534,312
2021년09월_남_80~89세,"1,430",105,113,196,74,49,131,130,177,158,215,82
2021년09월_남_90~99세,147,12,12,15,9,5,16,18,22,17,13,8
2021년09월_남_100세 이상,8,0,0,0,0,0,1,0,3,1,2,1
2021년09월_여_총인구수,"68,266","2,819","2,511","6,484","1,933","1,555","2,763","3,518","8,478","21,517","14,936","1,752"
2021년09월_여_연령구간인구수,"68,266","2,819","2,511","6,484","1,933","1,555","2,763","3,518","8,478","21,517","14,936","1,752"
2021년09월_여_0~9세,"5,651",101,107,404,66,33,96,114,591,"3,279",822,38
2021년09월_여_10~19세,"6,308",171,166,538,114,94,146,228,710,"2,522","1,566",53
2021년09월_여_20~29세,"9,216",260,239,741,179,145,271,344,"1,122","1,843","3,984",88
2021년09월_여_30~39세,"9,871",238,229,723,160,116,283,292,"1,196","4,396","2,144",94
2021년09월_여_40~49세,"11,383",318,353,934,238,202,294,424,"1,311","4,545","2,604",160
2021년09월_여_50~59세,"9,304",515,401,"1,054",322,265,451,562,"1,392","2,233","1,762",347
2021년09월_여_60~69세,"8,479",639,413,"1,048",409,312,531,736,"1,234","1,649",996,512
2021년09월_여_70~79세,"5,015",341,350,658,292,247,376,519,540,707,708,277
2021년09월_여_80~89세,"2,529",193,207,321,126,114,251,265,310,281,317,144
2021년09월_여_90~99세,494,41,44,63,26,27,60,32,71,61,32,37
2021년09월_여_100세 이상,16,2,2,0,1,0,4,2,1,1,1,2
