카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년07월_계_총인구수,"515,198","21,792","27,020","30,200","36,983","39,147","26,907","22,280","24,306","27,069","20,201","34,736","38,515","20,195","26,460","24,226","32,983","22,759","20,687","18,732"
2021년07월_계_연령구간인구수,"515,198","21,792","27,020","30,200","36,983","39,147","26,907","22,280","24,306","27,069","20,201","34,736","38,515","20,195","26,460","24,226","32,983","22,759","20,687","18,732"
2021년07월_계_0~9세,"31,615","1,139","1,674","2,168","1,993","2,794","1,110","1,445","1,497","1,917","1,106","1,920","2,249",952,"1,342","1,056","2,331","2,345","1,275","1,302"
2021년07월_계_10~19세,"51,323","1,632","2,054","2,090","2,593","4,242","2,997","2,727","4,441","5,607","2,203","3,102","3,280","1,798","2,026","1,996","2,943","1,957","2,014","1,621"
2021년07월_계_20~29세,"71,349","3,743","3,162","3,498","6,543","6,610","4,464","3,006","3,122","2,932","2,531","4,181","5,177","3,209","3,196","3,400","4,497","2,739","2,710","2,629"
2021년07월_계_30~39세,"63,559","2,615","3,132","4,519","5,248","5,126","2,695","2,511","1,833","1,970","1,922","4,159","4,824","2,323","2,839","2,611","4,861","4,716","2,752","2,903"
2021년07월_계_40~49세,"83,385","3,319","4,182","4,564","5,324","6,372","4,062","3,927","4,885","6,390","3,372","5,634","5,591","2,948","3,796","3,543","5,360","3,829","3,356","2,931"
2021년07월_계_50~59세,"87,041","3,431","4,566","4,752","5,701","5,991","4,944","3,853","4,539","4,554","3,574","5,644","6,911","3,895","4,710","4,457","5,652","3,041","3,559","3,267"
2021년07월_계_60~69세,"69,974","3,137","4,478","4,694","5,557","4,647","3,693","2,638","2,308","2,159","2,676","4,945","6,110","2,954","4,440","3,793","4,118","2,311","2,866","2,450"
2021년07월_계_70~79세,"37,282","1,911","2,527","2,612","2,784","2,232","1,824","1,361","1,054",959,"1,897","3,290","2,897","1,416","2,721","2,253","1,988","1,176","1,363","1,017"
