카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년10월_계_총인구수,"62,241","19,390","9,632","13,947","5,696","9,677","3,899"
2021년10월_계_연령구간인구수,"62,241","19,390","9,632","13,947","5,696","9,677","3,899"
2021년10월_계_0~9세,"3,184","1,074",518,607,152,692,141
2021년10월_계_10~19세,"4,505","1,662",772,945,285,654,187
2021년10월_계_20~29세,"6,148","2,169",877,"1,272",535,"1,045",250
2021년10월_계_30~39세,"5,528","1,806",821,"1,124",386,"1,134",257
2021년10월_계_40~49세,"7,784","2,629","1,107","1,869",564,"1,220",395
2021년10월_계_50~59세,"11,071","3,362","1,689","2,652","1,120","1,561",687
2021년10월_계_60~69세,"12,897","3,497","2,130","2,873","1,465","1,897","1,035"
2021년10월_계_70~79세,"6,742","1,884","1,009","1,611",749,942,547
2021년10월_계_80~89세,"3,820","1,140",595,871,385,480,349
2021년10월_계_90~99세,526,150,111,118,54,47,46
2021년10월_계_100세 이상,36,17,3,5,1,5,5
2021년10월_남_총인구수,"32,130","9,883","4,945","7,129","3,008","5,164","2,001"
2021년10월_남_연령구간인구수,"32,130","9,883","4,945","7,129","3,008","5,164","2,001"
2021년10월_남_0~9세,"1,604",557,250,307,76,356,58
2021년10월_남_10~19세,"2,347",893,375,481,158,339,101
2021년10월_남_20~29세,"3,577","1,203",474,736,375,643,146
2021년10월_남_30~39세,"3,019",946,466,607,210,640,150
2021년10월_남_40~49세,"4,197","1,407",570,"1,005",315,668,232
2021년10월_남_50~59세,"5,884","1,789",915,"1,420",569,816,375
2021년10월_남_60~69세,"6,665","1,761","1,107","1,460",767,"1,044",526
2021년10월_남_70~79세,"3,205",856,515,742,375,448,269
2021년10월_남_80~89세,"1,480",427,240,337,149,197,130
2021년10월_남_90~99세,138,39,31,32,13,11,12
2021년10월_남_100세 이상,14,5,2,2,1,2,2
2021년10월_여_총인구수,"30,111","9,507","4,687","6,818","2,688","4,513","1,898"
2021년10월_여_연령구간인구수,"30,111","9,507","4,687","6,818","2,688","4,513","1,898"
2021년10월_여_0~9세,"1,580",517,268,300,76,336,83
2021년10월_여_10~19세,"2,158",769,397,464,127,315,86
2021년10월_여_20~29세,"2,571",966,403,536,160,402,104
2021년10월_여_30~39세,"2,509",860,355,517,176,494,107
2021년10월_여_40~49세,"3,587","1,222",537,864,249,552,163
2021년10월_여_50~59세,"5,187","1,573",774,"1,232",551,745,312
2021년10월_여_60~69세,"6,232","1,736","1,023","1,413",698,853,509
2021년10월_여_70~79세,"3,537","1,028",494,869,374,494,278
2021년10월_여_80~89세,"2,340",713,355,534,236,283,219
2021년10월_여_90~99세,388,111,80,86,41,36,34
2021년10월_여_100세 이상,22,12,1,3,0,3,3
