,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년07월_계_총인구수,"45,126","13,643","3,636","3,772","1,876","3,538","6,386","4,163","1,562","1,412","2,899","2,239"
2020년07월_계_연령구간인구수,"45,126","13,643","3,636","3,772","1,876","3,538","6,386","4,163","1,562","1,412","2,899","2,239"
2020년07월_계_0~9세,"2,920","1,042",309,173,51,150,773,189,58,34,81,60
2020년07월_계_10~19세,"3,313","1,200",289,182,76,189,672,271,97,63,182,92
2020년07월_계_20~29세,"4,508","1,338",316,378,153,561,762,421,136,114,190,139
2020년07월_계_30~39세,"3,823","1,229",278,336,134,203,868,286,105,86,151,147
2020년07월_계_40~49세,"5,708","1,963",466,425,187,396,951,542,175,111,277,215
2020년07월_계_50~59세,"7,575","2,187",605,716,384,581,849,794,280,238,500,441
2020년07월_계_60~69세,"7,101","1,974",602,688,355,587,616,737,283,279,512,468
2020년07월_계_70~79세,"5,982","1,656",448,519,283,490,544,540,255,290,554,403
2020년07월_계_80~89세,"3,670",923,282,311,219,348,313,321,144,175,411,223
2020년07월_계_90~99세,484,118,35,42,33,32,38,58,26,21,39,42
2020년07월_계_100세 이상,42,13,6,2,1,1,0,4,3,1,2,9
2020년07월_남_총인구수,"23,172","6,765","1,834","2,003",994,"2,021","3,326","2,099",819,703,"1,453","1,155"
2020년07월_남_연령구간인구수,"23,172","6,765","1,834","2,003",994,"2,021","3,326","2,099",819,703,"1,453","1,155"
2020년07월_남_0~9세,"1,466",540,164,85,22,76,373,89,28,14,44,31
2020년07월_남_10~19세,"1,754",621,158,100,44,99,353,134,54,37,104,50
2020년07월_남_20~29세,"2,719",721,170,215,95,489,465,241,72,71,108,72
2020년07월_남_30~39세,"2,028",612,126,210,84,109,473,147,67,44,78,78
2020년07월_남_40~49세,"3,288","1,068",249,273,121,260,530,323,108,62,165,129
2020년07월_남_50~59세,"4,294","1,206",365,397,226,331,485,446,164,132,285,257
2020년07월_남_60~69세,"3,702",961,295,377,205,309,328,387,154,145,279,262
2020년07월_남_70~79세,"2,618",726,205,231,114,218,213,230,117,127,241,196
2020년07월_남_80~89세,"1,182",287,91,100,73,122,96,88,47,66,140,72
2020년07월_남_90~99세,116,22,10,15,10,8,10,14,6,5,9,7
2020년07월_남_100세 이상,5,1,1,0,0,0,0,0,2,0,0,1
2020년07월_여_총인구수,"21,954","6,878","1,802","1,769",882,"1,517","3,060","2,064",743,709,"1,446","1,084"
2020년07월_여_연령구간인구수,"21,954","6,878","1,802","1,769",882,"1,517","3,060","2,064",743,709,"1,446","1,084"
2020년07월_여_0~9세,"1,454",502,145,88,29,74,400,100,30,20,37,29
2020년07월_여_10~19세,"1,559",579,131,82,32,90,319,137,43,26,78,42
2020년07월_여_20~29세,"1,789",617,146,163,58,72,297,180,64,43,82,67
2020년07월_여_30~39세,"1,795",617,152,126,50,94,395,139,38,42,73,69
2020년07월_여_40~49세,"2,420",895,217,152,66,136,421,219,67,49,112,86
2020년07월_여_50~59세,"3,281",981,240,319,158,250,364,348,116,106,215,184
2020년07월_여_60~69세,"3,399","1,013",307,311,150,278,288,350,129,134,233,206
2020년07월_여_70~79세,"3,364",930,243,288,169,272,331,310,138,163,313,207
2020년07월_여_80~89세,"2,488",636,191,211,146,226,217,233,97,109,271,151
2020년07월_여_90~99세,368,96,25,27,23,24,28,44,20,16,30,35
2020년07월_여_100세 이상,37,12,5,2,1,1,0,4,1,1,2,8
