,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년04월_계_총인구수,"36,845","11,237","6,351","2,391","1,153","1,478",541,952,"1,756","6,466","2,822","1,698"
2020년04월_계_연령구간인구수,"36,845","11,237","6,351","2,391","1,153","1,478",541,952,"1,756","6,466","2,822","1,698"
2020년04월_계_0~9세,"1,767",853,247,55,16,36,8,36,40,360,90,26
2020년04월_계_10~19세,"2,150",933,305,70,42,37,19,37,75,452,127,53
2020년04월_계_20~29세,"2,569",995,469,135,54,75,16,50,98,499,119,59
2020년04월_계_30~39세,"2,594","1,135",415,112,47,53,14,41,78,487,148,64
2020년04월_계_40~49세,"4,025","1,591",737,198,71,111,36,91,173,701,205,111
2020년04월_계_50~59세,"6,335","1,896","1,167",413,191,285,79,146,315,"1,124",457,262
2020년04월_계_60~69세,"7,200","1,759","1,362",554,269,350,140,180,414,"1,178",601,393
2020년04월_계_70~79세,"6,014","1,258","1,063",474,252,310,143,207,368,955,574,410
2020년04월_계_80~89세,"3,685",709,520,325,181,194,78,145,178,622,451,282
2020년04월_계_90~99세,481,99,65,54,28,26,8,17,17,88,48,31
2020년04월_계_100세 이상,25,9,1,1,2,1,0,2,0,0,2,7
2020년04월_남_총인구수,"17,498","5,386","3,007","1,158",510,729,253,452,838,"3,012","1,323",830
2020년04월_남_연령구간인구수,"17,498","5,386","3,007","1,158",510,729,253,452,838,"3,012","1,323",830
2020년04월_남_0~9세,880,414,129,31,9,20,3,20,25,170,45,14
2020년04월_남_10~19세,"1,115",468,173,41,21,20,9,20,41,235,63,24
2020년04월_남_20~29세,"1,493",567,273,85,29,46,10,29,53,287,77,37
2020년04월_남_30~39세,"1,341",549,224,65,27,30,8,21,47,249,84,37
2020년04월_남_40~49세,"2,254",831,408,129,35,75,28,56,104,371,142,75
2020년04월_남_50~59세,"3,329","1,008",591,228,105,160,44,86,162,562,239,144
2020년04월_남_60~69세,"3,422",813,636,287,137,174,63,84,196,542,288,202
2020년04월_남_70~79세,"2,397",493,405,180,89,130,58,86,151,393,229,183
2020년04월_남_80~89세,"1,164",218,160,100,53,64,29,44,52,192,145,107
2020년04월_남_90~99세,96,22,7,12,5,10,1,5,7,11,11,5
2020년04월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년04월_여_총인구수,"19,347","5,851","3,344","1,233",643,749,288,500,918,"3,454","1,499",868
2020년04월_여_연령구간인구수,"19,347","5,851","3,344","1,233",643,749,288,500,918,"3,454","1,499",868
2020년04월_여_0~9세,887,439,118,24,7,16,5,16,15,190,45,12
2020년04월_여_10~19세,"1,035",465,132,29,21,17,10,17,34,217,64,29
2020년04월_여_20~29세,"1,076",428,196,50,25,29,6,21,45,212,42,22
2020년04월_여_30~39세,"1,253",586,191,47,20,23,6,20,31,238,64,27
2020년04월_여_40~49세,"1,771",760,329,69,36,36,8,35,69,330,63,36
2020년04월_여_50~59세,"3,006",888,576,185,86,125,35,60,153,562,218,118
2020년04월_여_60~69세,"3,778",946,726,267,132,176,77,96,218,636,313,191
2020년04월_여_70~79세,"3,617",765,658,294,163,180,85,121,217,562,345,227
2020년04월_여_80~89세,"2,521",491,360,225,128,130,49,101,126,430,306,175
2020년04월_여_90~99세,385,77,58,42,23,16,7,12,10,77,37,26
2020년04월_여_100세 이상,18,6,0,1,2,1,0,1,0,0,2,5
