카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년05월_계_총인구수,"51,876","24,719","1,784","1,864","2,810","1,615","1,666",882,"1,444","1,141","1,009","3,634","1,793","3,142","4,373"
2020년05월_계_연령구간인구수,"51,876","24,719","1,784","1,864","2,810","1,615","1,666",882,"1,444","1,141","1,009","3,634","1,793","3,142","4,373"
2020년05월_계_0~9세,"2,780","2,030",47,29,111,27,27,20,31,32,28,153,21,65,159
2020년05월_계_10~19세,"4,111","2,642",88,89,186,70,60,35,67,72,36,271,52,147,296
2020년05월_계_20~29세,"4,005","2,281",86,98,258,90,90,47,98,72,52,287,90,178,278
2020년05월_계_30~39세,"4,174","2,580",96,96,192,72,81,37,84,46,39,262,82,183,324
2020년05월_계_40~49세,"6,578","3,827",180,154,336,140,131,56,136,78,74,425,178,305,558
2020년05월_계_50~59세,"9,244","4,322",309,301,504,296,307,129,274,190,187,642,369,582,832
2020년05월_계_60~69세,"9,385","3,616",442,446,563,341,379,191,291,253,221,775,378,702,787
2020년05월_계_70~79세,"6,824","2,180",329,377,399,310,318,210,234,187,201,495,359,577,648
2020년05월_계_80~89세,"4,146","1,080",180,239,219,236,236,134,198,176,145,282,231,350,440
2020년05월_계_90~99세,613,152,27,35,42,33,37,23,30,34,24,42,32,52,50
2020년05월_계_100세 이상,16,9,0,0,0,0,0,0,1,1,2,0,1,1,1
2020년05월_남_총인구수,"26,048","12,389",923,913,"1,485",790,848,389,702,558,509,"1,782",906,"1,607","2,247"
2020년05월_남_연령구간인구수,"26,048","12,389",923,913,"1,485",790,848,389,702,558,509,"1,782",906,"1,607","2,247"
2020년05월_남_0~9세,"1,407","1,028",28,18,58,16,13,10,10,17,11,70,10,31,87
2020년05월_남_10~19세,"2,240","1,460",52,45,96,37,30,17,32,40,22,139,28,82,160
2020년05월_남_20~29세,"2,369","1,316",53,61,170,57,55,24,65,44,35,161,52,102,174
2020년05월_남_30~39세,"2,287","1,326",66,60,110,36,51,19,51,29,27,135,56,125,196
2020년05월_남_40~49세,"3,688","2,013",113,100,202,82,80,32,87,48,45,228,107,203,348
2020년05월_남_50~59세,"4,997","2,214",171,170,290,151,186,66,155,103,115,341,221,334,480
2020년05월_남_60~69세,"4,695","1,744",233,206,290,189,200,90,150,133,123,401,201,361,374
2020년05월_남_70~79세,"2,983",922,151,165,184,134,157,90,93,79,82,224,157,265,280
2020년05월_남_80~89세,"1,265",339,52,82,74,80,63,38,56,57,43,77,71,94,139
2020년05월_남_90~99세,113,24,4,6,11,8,13,3,3,8,5,6,3,10,9
2020년05월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년05월_여_총인구수,"25,828","12,330",861,951,"1,325",825,818,493,742,583,500,"1,852",887,"1,535","2,126"
2020년05월_여_연령구간인구수,"25,828","12,330",861,951,"1,325",825,818,493,742,583,500,"1,852",887,"1,535","2,126"
2020년05월_여_0~9세,"1,373","1,002",19,11,53,11,14,10,21,15,17,83,11,34,72
2020년05월_여_10~19세,"1,871","1,182",36,44,90,33,30,18,35,32,14,132,24,65,136
2020년05월_여_20~29세,"1,636",965,33,37,88,33,35,23,33,28,17,126,38,76,104
2020년05월_여_30~39세,"1,887","1,254",30,36,82,36,30,18,33,17,12,127,26,58,128
2020년05월_여_40~49세,"2,890","1,814",67,54,134,58,51,24,49,30,29,197,71,102,210
2020년05월_여_50~59세,"4,247","2,108",138,131,214,145,121,63,119,87,72,301,148,248,352
2020년05월_여_60~69세,"4,690","1,872",209,240,273,152,179,101,141,120,98,374,177,341,413
2020년05월_여_70~79세,"3,841","1,258",178,212,215,176,161,120,141,108,119,271,202,312,368
2020년05월_여_80~89세,"2,881",741,128,157,145,156,173,96,142,119,102,205,160,256,301
2020년05월_여_90~99세,500,128,23,29,31,25,24,20,27,26,19,36,29,42,41
2020년05월_여_100세 이상,12,6,0,0,0,0,0,0,1,1,1,0,1,1,1
