카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년02월_계_총인구수,"69,154","22,840","7,731","4,900","6,918","4,485","4,210","3,117","4,100","1,865","3,164","2,930","2,257",377,260
2020년02월_계_연령구간인구수,"69,154","22,840","7,731","4,900","6,918","4,485","4,210","3,117","4,100","1,865","3,164","2,930","2,257",377,260
2020년02월_계_0~9세,"3,329","1,498",532,182,310,164,151,67,115,56,115,65,63,5,6
2020년02월_계_10~19세,"4,785","2,272",675,221,397,196,248,140,168,78,140,123,112,12,3
2020년02월_계_20~29세,"5,547","2,331",704,321,549,293,269,199,245,88,222,182,120,17,7
2020년02월_계_30~39세,"5,476","2,244",680,330,603,325,238,192,247,84,207,163,137,17,9
2020년02월_계_40~49세,"7,952","3,313","1,085",459,740,379,451,297,360,148,279,211,195,23,12
2020년02월_계_50~59세,"12,254","3,821","1,365",891,"1,387",807,752,555,673,353,550,548,419,77,56
2020년02월_계_60~69세,"13,535","3,460","1,313","1,186","1,491","1,114",923,720,908,422,656,630,538,104,70
2020년02월_계_70~79세,"9,999","2,491",822,773,931,736,698,607,828,378,589,617,401,65,63
2020년02월_계_80~89세,"5,455","1,222",480,451,438,396,416,308,493,230,367,337,235,53,29
2020년02월_계_90~99세,783,175,74,83,69,71,62,30,59,27,36,51,37,4,5
2020년02월_계_100세 이상,39,13,1,3,3,4,2,2,4,1,3,3,0,0,0
2020년02월_남_총인구수,"34,663","11,270","3,866","2,476","3,508","2,264","2,121","1,547","2,086",928,"1,584","1,512","1,173",190,138
2020년02월_남_연령구간인구수,"34,663","11,270","3,866","2,476","3,508","2,264","2,121","1,547","2,086",928,"1,584","1,512","1,173",190,138
2020년02월_남_0~9세,"1,721",784,271,75,160,77,80,42,58,30,58,38,40,4,4
2020년02월_남_10~19세,"2,469","1,132",345,117,207,117,139,75,88,37,72,61,72,6,1
2020년02월_남_20~29세,"3,205","1,330",416,191,319,162,161,110,151,52,121,114,65,9,4
2020년02월_남_30~39세,"2,896","1,166",331,176,314,188,128,110,129,50,122,93,76,8,5
2020년02월_남_40~49세,"4,323","1,686",562,261,420,222,254,165,215,78,181,140,114,17,8
2020년02월_남_50~59세,"6,260","1,898",694,455,696,392,389,269,371,198,296,294,233,43,32
2020년02월_남_60~69세,"6,738","1,683",654,603,736,568,456,362,460,210,315,327,279,47,38
2020년02월_남_70~79세,"4,707","1,089",394,393,480,356,331,279,395,172,277,284,191,37,29
2020년02월_남_80~89세,"2,143",455,180,185,163,162,164,124,210,96,133,144,95,17,15
2020년02월_남_90~99세,190,42,19,20,11,20,18,9,9,5,9,16,8,2,2
2020년02월_남_100세 이상,11,5,0,0,2,0,1,2,0,0,0,1,0,0,0
2020년02월_여_총인구수,"34,491","11,570","3,865","2,424","3,410","2,221","2,089","1,570","2,014",937,"1,580","1,418","1,084",187,122
2020년02월_여_연령구간인구수,"34,491","11,570","3,865","2,424","3,410","2,221","2,089","1,570","2,014",937,"1,580","1,418","1,084",187,122
2020년02월_여_0~9세,"1,608",714,261,107,150,87,71,25,57,26,57,27,23,1,2
2020년02월_여_10~19세,"2,316","1,140",330,104,190,79,109,65,80,41,68,62,40,6,2
2020년02월_여_20~29세,"2,342","1,001",288,130,230,131,108,89,94,36,101,68,55,8,3
2020년02월_여_30~39세,"2,580","1,078",349,154,289,137,110,82,118,34,85,70,61,9,4
2020년02월_여_40~49세,"3,629","1,627",523,198,320,157,197,132,145,70,98,71,81,6,4
2020년02월_여_50~59세,"5,994","1,923",671,436,691,415,363,286,302,155,254,254,186,34,24
2020년02월_여_60~69세,"6,797","1,777",659,583,755,546,467,358,448,212,341,303,259,57,32
2020년02월_여_70~79세,"5,292","1,402",428,380,451,380,367,328,433,206,312,333,210,28,34
2020년02월_여_80~89세,"3,312",767,300,266,275,234,252,184,283,134,234,193,140,36,14
2020년02월_여_90~99세,593,133,55,63,58,51,44,21,50,22,27,35,29,2,3
2020년02월_여_100세 이상,28,8,1,3,1,4,1,0,4,1,3,2,0,0,0
