,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년08월_계_총인구수,"394,118","32,312","12,609","45,492","28,296","25,257","29,171","32,612","23,183","27,543","25,204","14,536","14,756","39,120","23,762","20,265"
2020년08월_계_연령구간인구수,"394,118","32,312","12,609","45,492","28,296","25,257","29,171","32,612","23,183","27,543","25,204","14,536","14,756","39,120","23,762","20,265"
2020년08월_계_0~9세,"25,371","2,004",369,"3,016","2,352","1,308","1,794","2,399",852,"1,822","2,164",773,"1,110","2,337","1,577","1,494"
2020년08월_계_10~19세,"28,451","2,017",606,"3,366","1,969","1,710","1,935","2,215",957,"1,694","1,666",745,996,"4,290","2,555","1,730"
2020년08월_계_20~29세,"66,973","5,712","2,197","9,911","4,389","4,233","4,634","5,190","5,251","3,765","3,404","2,567","2,250","6,523","3,404","3,543"
2020년08월_계_30~39세,"62,865","5,498","1,853","6,374","4,810","4,257","4,914","4,685","4,655","4,538","4,149","2,551","2,625","5,533","3,086","3,337"
2020년08월_계_40~49세,"59,633","4,371","1,580","6,615","4,392","3,759","4,454","4,971","2,973","4,119","3,892","2,088","2,314","6,712","4,127","3,266"
2020년08월_계_50~59세,"58,745","4,729","2,212","6,369","4,184","3,891","4,459","5,216","3,134","4,259","3,688","2,130","2,213","5,865","3,719","2,677"
2020년08월_계_60~69세,"48,699","4,171","1,978","5,205","3,245","3,141","3,689","4,000","3,025","3,875","3,438","1,971","1,787","4,120","2,905","2,149"
2020년08월_계_70~79세,"29,651","2,495","1,219","3,096","1,952","2,073","2,249","2,535","1,761","2,428","2,029","1,222","1,009","2,510","1,633","1,440"
2020년08월_계_80~89세,"11,635","1,115",503,"1,285",844,764,913,"1,148",503,878,656,413,374,"1,050",650,539
2020년08월_계_90~99세,"1,785",171,80,217,131,107,118,199,65,131,97,70,65,156,100,78
