,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년09월_계_총인구수,"456,240","31,595","30,625","22,547","26,065","42,385","20,999","21,480","15,939","18,489","15,181","13,468","20,685","21,013","20,155","46,704","33,764","25,090","30,056"
2020년09월_계_연령구간인구수,"456,240","31,595","30,625","22,547","26,065","42,385","20,999","21,480","15,939","18,489","15,181","13,468","20,685","21,013","20,155","46,704","33,764","25,090","30,056"
2020년09월_계_0~9세,"32,245","2,986","1,754","1,413","1,439","3,488","1,021","1,509",932,"1,540","1,041","1,414","1,101","1,850","1,330","3,514","1,791","2,089","2,033"
2020년09월_계_10~19세,"51,143","5,132","2,592","1,550","3,422","7,620","1,368","1,805","1,151","1,635","1,310","1,230","1,417","3,083","2,994","5,321","2,332","3,705","3,476"
2020년09월_계_20~29세,"60,262","3,426","5,072","3,586","4,172","4,594","2,683","2,712","2,075","2,191","2,149","1,574","2,706","2,514","2,618","5,975","5,301","3,228","3,686"
2020년09월_계_30~39세,"58,642","3,394","5,303","4,037","2,869","4,058","2,745","3,088","2,085","2,553","2,165","2,530","2,678","2,105","1,832","5,862","5,231","2,822","3,285"
2020년09월_계_40~49세,"79,526","6,967","4,653","3,251","4,605","9,313","3,170","3,379","2,303","3,060","2,330","2,131","3,021","4,106","3,836","8,126","5,284","4,759","5,232"
2020년09월_계_50~59세,"76,788","4,986","4,956","3,694","4,879","6,698","3,952","3,360","2,990","2,853","2,586","2,014","3,636","3,552","3,676","7,830","5,442","4,394","5,290"
2020년09월_계_60~69세,"56,791","2,807","3,817","2,984","2,641","4,023","3,556","3,282","2,517","2,717","2,106","1,583","3,430","2,147","2,207","5,697","4,760","2,577","3,940"
2020년09월_계_70~79세,"28,378","1,325","1,696","1,350","1,432","1,704","1,843","1,710","1,354","1,375","1,077",733,"1,826","1,110","1,109","3,060","2,660",989,"2,025"
2020년09월_계_80~89세,"10,600",478,660,589,530,718,556,550,462,493,363,208,773,447,464,"1,119",841,429,920
2020년09월_계_90~99세,"1,677",88,108,78,67,162,91,75,58,62,47,40,95,92,74,186,107,97,150
2020년09월_계_100세 이상,188,6,14,15,9,7,14,10,12,10,7,11,2,7,15,14,15,1,19
2020년09월_남_총인구수,"223,889","15,149","14,878","10,777","12,749","20,975","10,768","10,556","8,429","9,081","7,535","6,647","10,149","10,254","9,890","22,762","16,555","12,211","14,524"
2020년09월_남_연령구간인구수,"223,889","15,149","14,878","10,777","12,749","20,975","10,768","10,556","8,429","9,081","7,535","6,647","10,149","10,254","9,890","22,762","16,555","12,211","14,524"
2020년09월_남_0~9세,"16,518","1,492",874,745,691,"1,825",525,772,512,771,527,736,566,980,671,"1,800",931,"1,081","1,019"
2020년09월_남_10~19세,"26,632","2,559","1,391",840,"1,848","4,147",679,899,600,868,699,598,711,"1,566","1,563","2,758","1,191","1,913","1,802"
2020년09월_남_20~29세,"30,801","1,670","2,487","1,749","2,203","2,389","1,439","1,405","1,085","1,131","1,108",814,"1,442","1,280","1,357","3,088","2,567","1,657","1,930"
2020년09월_남_30~39세,"28,865","1,430","2,715","1,989","1,420","1,766","1,512","1,591","1,143","1,258","1,134","1,288","1,407",919,851,"2,860","2,755","1,263","1,564"
2020년09월_남_40~49세,"38,073","3,190","2,205","1,544","2,035","4,188","1,647","1,713","1,294","1,558","1,165","1,054","1,560","1,931","1,767","3,929","2,637","2,144","2,512"
2020년09월_남_50~59세,"38,180","2,613","2,351","1,687","2,422","3,467","2,064","1,629","1,639","1,380","1,223",970,"1,783","1,821","1,889","3,819","2,616","2,187","2,620"
2020년09월_남_60~69세,"27,297","1,373","1,803","1,392","1,286","1,992","1,800","1,501","1,346","1,277","1,025",745,"1,626","1,040","1,112","2,635","2,216","1,267","1,861"
2020년09월_남_70~79세,"13,361",629,802,612,658,903,887,827,611,656,510,355,764,534,483,"1,442","1,253",527,908
2020년09월_남_80~89세,"3,703",165,213,201,168,251,196,207,182,163,133,76,263,160,175,389,352,139,270
2020년09월_남_90~99세,411,26,32,15,15,47,14,10,13,17,9,9,25,20,19,40,33,33,34
2020년09월_남_100세 이상,48,2,5,3,3,0,5,2,4,2,2,2,2,3,3,2,4,0,4
2020년09월_여_총인구수,"232,351","16,446","15,747","11,770","13,316","21,410","10,231","10,924","7,510","9,408","7,646","6,821","10,536","10,759","10,265","23,942","17,209","12,879","15,532"
2020년09월_여_연령구간인구수,"232,351","16,446","15,747","11,770","13,316","21,410","10,231","10,924","7,510","9,408","7,646","6,821","10,536","10,759","10,265","23,942","17,209","12,879","15,532"
2020년09월_여_0~9세,"15,727","1,494",880,668,748,"1,663",496,737,420,769,514,678,535,870,659,"1,714",860,"1,008","1,014"
2020년09월_여_10~19세,"24,511","2,573","1,201",710,"1,574","3,473",689,906,551,767,611,632,706,"1,517","1,431","2,563","1,141","1,792","1,674"
2020년09월_여_20~29세,"29,461","1,756","2,585","1,837","1,969","2,205","1,244","1,307",990,"1,060","1,041",760,"1,264","1,234","1,261","2,887","2,734","1,571","1,756"
2020년09월_여_30~39세,"29,777","1,964","2,588","2,048","1,449","2,292","1,233","1,497",942,"1,295","1,031","1,242","1,271","1,186",981,"3,002","2,476","1,559","1,721"
2020년09월_여_40~49세,"41,453","3,777","2,448","1,707","2,570","5,125","1,523","1,666","1,009","1,502","1,165","1,077","1,461","2,175","2,069","4,197","2,647","2,615","2,720"
2020년09월_여_50~59세,"38,608","2,373","2,605","2,007","2,457","3,231","1,888","1,731","1,351","1,473","1,363","1,044","1,853","1,731","1,787","4,011","2,826","2,207","2,670"
2020년09월_여_60~69세,"29,494","1,434","2,014","1,592","1,355","2,031","1,756","1,781","1,171","1,440","1,081",838,"1,804","1,107","1,095","3,062","2,544","1,310","2,079"
2020년09월_여_70~79세,"15,017",696,894,738,774,801,956,883,743,719,567,378,"1,062",576,626,"1,618","1,407",462,"1,117"
2020년09월_여_80~89세,"6,897",313,447,388,362,467,360,343,280,330,230,132,510,287,289,730,489,290,650
2020년09월_여_90~99세,"1,266",62,76,63,52,115,77,65,45,45,38,31,70,72,55,146,74,64,116
2020년09월_여_100세 이상,140,4,9,12,6,7,9,8,8,8,5,9,0,4,12,12,11,1,15
