카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021년03월_계_총인구수,"111,507","10,930","4,090","8,617","8,761","7,112","5,094","6,478","18,197","28,408","3,520","10,300"
2021년03월_계_연령구간인구수,"111,507","10,930","4,090","8,617","8,761","7,112","5,094","6,478","18,197","28,408","3,520","10,300"
2021년03월_계_0~9세,"5,011",421,178,383,205,354,148,342,"1,008","1,465",177,330
2021년03월_계_10~19세,"7,253",527,245,548,465,420,255,438,"1,428","2,202",172,553
2021년03월_계_20~29세,"11,807","1,068",425,902,787,726,491,587,"1,916","3,435",597,873
2021년03월_계_30~39세,"10,351","1,056",382,803,620,715,367,621,"1,787","2,810",339,851
2021년03월_계_40~49세,"14,861","1,432",530,"1,089","1,047",968,650,947,"2,585","3,941",450,"1,222"
2021년03월_계_50~59세,"19,040","1,906",688,"1,453","1,590","1,136",885,"1,022","3,168","4,941",471,"1,780"
2021년03월_계_60~69세,"22,125","2,250",856,"1,680","1,833","1,436","1,040","1,242","3,420","5,277",661,"2,430"
2021년03월_계_70~79세,"14,413","1,542",539,"1,187","1,460",876,886,877,"2,000","3,015",477,"1,554"
2021년03월_계_80~89세,"5,911",637,225,504,687,411,351,348,788,"1,174",152,634
2021년03월_계_90~99세,683,87,22,64,65,50,20,53,94,141,22,65
2021년03월_계_100세 이상,52,4,0,4,2,20,1,1,3,7,2,8
2021년03월_남_총인구수,"54,997","5,440","1,970","4,179","4,409","3,501","2,521","3,172","9,063","13,862","1,863","5,017"
2021년03월_남_연령구간인구수,"54,997","5,440","1,970","4,179","4,409","3,501","2,521","3,172","9,063","13,862","1,863","5,017"
2021년03월_남_0~9세,"2,541",213,96,201,116,182,68,176,507,718,99,165
2021년03월_남_10~19세,"3,733",273,129,291,240,208,136,232,747,"1,118",83,276
2021년03월_남_20~29세,"6,513",548,229,499,433,384,275,311,"1,059","1,908",378,489
2021년03월_남_30~39세,"5,591",576,194,422,365,388,222,326,977,"1,468",193,460
2021년03월_남_40~49세,"7,789",789,274,536,602,519,369,494,"1,319","1,956",263,668
2021년03월_남_50~59세,"9,746","1,061",332,717,907,594,468,533,"1,606","2,359",253,916
2021년03월_남_60~69세,"10,597","1,080",385,796,897,687,472,582,"1,629","2,552",321,"1,196"
2021년03월_남_70~79세,"6,287",660,237,521,595,387,368,385,921,"1,359",209,645
2021년03월_남_80~89세,"2,068",230,90,180,246,139,139,121,281,396,55,191
2021년03월_남_90~99세,128,10,4,16,7,12,4,12,17,28,8,10
2021년03월_남_100세 이상,4,0,0,0,1,1,0,0,0,0,1,1
2021년03월_여_총인구수,"56,510","5,490","2,120","4,438","4,352","3,611","2,573","3,306","9,134","14,546","1,657","5,283"
2021년03월_여_연령구간인구수,"56,510","5,490","2,120","4,438","4,352","3,611","2,573","3,306","9,134","14,546","1,657","5,283"
2021년03월_여_0~9세,"2,470",208,82,182,89,172,80,166,501,747,78,165
2021년03월_여_10~19세,"3,520",254,116,257,225,212,119,206,681,"1,084",89,277
2021년03월_여_20~29세,"5,294",520,196,403,354,342,216,276,857,"1,527",219,384
2021년03월_여_30~39세,"4,760",480,188,381,255,327,145,295,810,"1,342",146,391
2021년03월_여_40~49세,"7,072",643,256,553,445,449,281,453,"1,266","1,985",187,554
2021년03월_여_50~59세,"9,294",845,356,736,683,542,417,489,"1,562","2,582",218,864
2021년03월_여_60~69세,"11,528","1,170",471,884,936,749,568,660,"1,791","2,725",340,"1,234"
2021년03월_여_70~79세,"8,126",882,302,666,865,489,518,492,"1,079","1,656",268,909
2021년03월_여_80~89세,"3,843",407,135,324,441,272,212,227,507,778,97,443
2021년03월_여_90~99세,555,77,18,48,58,38,16,41,77,113,14,55
2021년03월_여_100세 이상,48,4,0,4,1,19,1,1,3,7,1,7
