카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2021년08월_계_총인구수,"365,309","365,309"
2021년08월_계_연령구간인구수,"365,309","365,309"
2021년08월_계_0~9세,"46,951","46,951"
2021년08월_계_10~19세,"44,563","44,563"
2021년08월_계_20~29세,"38,185","38,185"
2021년08월_계_30~39세,"61,164","61,164"
2021년08월_계_40~49세,"71,243","71,243"
2021년08월_계_50~59세,"47,168","47,168"
2021년08월_계_60~69세,"32,723","32,723"
2021년08월_계_70~79세,"14,593","14,593"
2021년08월_계_80~89세,"7,423","7,423"
2021년08월_계_90~99세,"1,259","1,259"
2021년08월_계_100세 이상,37,37
2021년08월_남_총인구수,"182,430","182,430"
2021년08월_남_연령구간인구수,"182,430","182,430"
2021년08월_남_0~9세,"23,976","23,976"
2021년08월_남_10~19세,"22,424","22,424"
2021년08월_남_20~29세,"19,546","19,546"
2021년08월_남_30~39세,"29,844","29,844"
2021년08월_남_40~49세,"36,179","36,179"
2021년08월_남_50~59세,"24,647","24,647"
2021년08월_남_60~69세,"16,242","16,242"
2021년08월_남_70~79세,"6,769","6,769"
2021년08월_남_80~89세,"2,538","2,538"
2021년08월_남_90~99세,257,257
2021년08월_남_100세 이상,8,8
2021년08월_여_총인구수,"182,879","182,879"
2021년08월_여_연령구간인구수,"182,879","182,879"
2021년08월_여_0~9세,"22,975","22,975"
2021년08월_여_10~19세,"22,139","22,139"
2021년08월_여_20~29세,"18,639","18,639"
2021년08월_여_30~39세,"31,320","31,320"
2021년08월_여_40~49세,"35,064","35,064"
2021년08월_여_50~59세,"22,521","22,521"
2021년08월_여_60~69세,"16,481","16,481"
2021년08월_여_70~79세,"7,824","7,824"
2021년08월_여_80~89세,"4,885","4,885"
2021년08월_여_90~99세,"1,002","1,002"
2021년08월_여_100세 이상,29,29
