,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년02월_계_총인구수,"65,039","20,177","11,989","3,753","2,381","1,557","2,368","2,881","1,418","1,848","1,142","1,687","2,897","2,750","3,160","2,903","2,128"
2021년02월_계_연령구간인구수,"65,039","20,177","11,989","3,753","2,381","1,557","2,368","2,881","1,418","1,848","1,142","1,687","2,897","2,750","3,160","2,903","2,128"
2021년02월_계_0~9세,"2,892","1,059",935,90,50,49,58,96,22,48,18,30,106,73,96,101,61
2021년02월_계_10~19세,"4,627","1,882","1,175",205,120,54,138,159,56,75,27,49,134,115,130,217,91
2021년02월_계_20~29세,"5,281","2,132","1,308",216,111,62,128,191,73,101,52,67,161,159,180,222,118
2021년02월_계_30~39세,"4,322","1,573","1,184",186,101,88,119,133,49,74,54,63,130,138,172,134,124
2021년02월_계_40~49세,"7,146","2,635","1,739",339,204,102,215,255,103,138,60,105,259,226,270,323,173
2021년02월_계_50~59세,"10,710","3,635","1,902",633,383,253,382,441,202,246,182,217,406,411,538,539,340
2021년02월_계_60~69세,"13,234","3,623","1,784",965,601,385,479,637,365,427,306,445,650,614,763,635,555
2021년02월_계_70~79세,"9,384","2,237","1,093",593,477,307,454,569,292,377,228,350,595,514,566,388,344
2021년02월_계_80~89세,"6,391","1,186",752,458,287,223,336,348,215,314,191,304,382,434,387,302,272
2021년02월_계_90~99세,996,198,111,57,44,34,56,47,40,46,24,56,71,65,57,41,49
2021년02월_계_100세 이상,56,17,6,11,3,0,3,5,1,2,0,1,3,1,1,1,1
2021년02월_남_총인구수,"32,214","10,023","5,902","1,883","1,171",777,"1,157","1,395",673,893,573,792,"1,433","1,369","1,603","1,500","1,070"
2021년02월_남_연령구간인구수,"32,214","10,023","5,902","1,883","1,171",777,"1,157","1,395",673,893,573,792,"1,433","1,369","1,603","1,500","1,070"
2021년02월_남_0~9세,"1,543",564,492,49,26,27,35,55,12,28,9,15,50,43,45,55,38
2021년02월_남_10~19세,"2,454",998,612,96,84,32,64,85,24,39,20,27,71,70,72,114,46
2021년02월_남_20~29세,"3,043","1,264",681,138,74,41,77,108,45,63,32,38,93,83,106,129,71
2021년02월_남_30~39세,"2,340",818,572,116,59,53,73,77,33,43,34,40,77,82,103,86,74
2021년02월_남_40~49세,"3,898","1,346",901,194,118,59,133,134,56,84,39,53,154,157,173,185,112
2021년02월_남_50~59세,"5,614","1,841","1,005",329,202,125,196,233,106,132,101,116,238,211,278,312,189
2021년02월_남_60~69세,"6,610","1,728",878,504,279,215,242,310,184,217,145,220,331,334,397,333,293
2021년02월_남_70~79세,"4,202","1,009",464,280,214,144,204,247,133,159,116,159,262,226,262,177,146
2021년02월_남_80~89세,"2,253",408,268,159,108,71,120,134,71,113,73,112,139,145,147,97,88
2021년02월_남_90~99세,250,45,28,16,7,10,13,11,9,14,4,12,18,18,20,12,13
2021년02월_남_100세 이상,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년02월_여_총인구수,"32,825","10,154","6,087","1,870","1,210",780,"1,211","1,486",745,955,569,895,"1,464","1,381","1,557","1,403","1,058"
2021년02월_여_연령구간인구수,"32,825","10,154","6,087","1,870","1,210",780,"1,211","1,486",745,955,569,895,"1,464","1,381","1,557","1,403","1,058"
2021년02월_여_0~9세,"1,349",495,443,41,24,22,23,41,10,20,9,15,56,30,51,46,23
2021년02월_여_10~19세,"2,173",884,563,109,36,22,74,74,32,36,7,22,63,45,58,103,45
2021년02월_여_20~29세,"2,238",868,627,78,37,21,51,83,28,38,20,29,68,76,74,93,47
2021년02월_여_30~39세,"1,982",755,612,70,42,35,46,56,16,31,20,23,53,56,69,48,50
2021년02월_여_40~49세,"3,248","1,289",838,145,86,43,82,121,47,54,21,52,105,69,97,138,61
2021년02월_여_50~59세,"5,096","1,794",897,304,181,128,186,208,96,114,81,101,168,200,260,227,151
2021년02월_여_60~69세,"6,624","1,895",906,461,322,170,237,327,181,210,161,225,319,280,366,302,262
2021년02월_여_70~79세,"5,182","1,228",629,313,263,163,250,322,159,218,112,191,333,288,304,211,198
2021년02월_여_80~89세,"4,138",778,484,299,179,152,216,214,144,201,118,192,243,289,240,205,184
2021년02월_여_90~99세,746,153,83,41,37,24,43,36,31,32,20,44,53,47,37,29,36
2021년02월_여_100세 이상,49,15,5,9,3,0,3,4,1,1,0,1,3,1,1,1,1
