카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년02월_계_총인구수,"102,024","11,027","4,159","3,861","3,254","2,197","3,197","1,215","4,234","5,982","4,461","3,093","29,328","9,937","4,800","7,031","4,248"
2021년02월_계_연령구간인구수,"102,024","11,027","4,159","3,861","3,254","2,197","3,197","1,215","4,234","5,982","4,461","3,093","29,328","9,937","4,800","7,031","4,248"
2021년02월_계_0~9세,"5,637",402,114,103,63,63,68,13,120,253,76,84,"2,522",759,162,576,259
2021년02월_계_10~19세,"6,713",492,134,175,92,76,139,38,149,221,128,86,"2,968",963,271,581,200
2021년02월_계_20~29세,"10,141",955,297,234,193,110,172,73,260,999,275,209,"3,487","1,278",481,712,406
2021년02월_계_30~39세,"9,351",771,291,214,182,92,164,44,229,464,236,199,"3,624","1,133",395,857,456
2021년02월_계_40~49세,"12,575","1,267",360,337,270,170,237,69,369,509,411,248,"4,734","1,497",535,"1,062",500
2021년02월_계_50~59세,"18,207","2,272",756,660,577,392,598,269,718,865,776,568,"5,217","1,710",894,"1,129",806
2021년02월_계_60~69세,"18,889","2,344","1,044",949,786,576,830,303,991,"1,148","1,106",855,"3,850","1,326",984,"1,044",753
2021년02월_계_70~79세,"12,625","1,597",718,710,637,380,604,224,855,920,853,502,"1,861",834,693,709,528
2021년02월_계_80~89세,"7,015",836,389,425,407,299,337,159,483,541,531,302,958,385,343,328,292
2021년02월_계_90~99세,826,87,52,52,47,38,42,22,60,58,66,39,102,47,41,26,47
2021년02월_계_100세 이상,45,4,4,2,0,1,6,1,0,4,3,1,5,5,1,7,1
2021년02월_남_총인구수,"51,890","5,773","2,162","1,889","1,690","1,085","1,666",603,"2,143","3,323","2,290","1,635","14,487","4,979","2,375","3,496","2,294"
2021년02월_남_연령구간인구수,"51,890","5,773","2,162","1,889","1,690","1,085","1,666",603,"2,143","3,323","2,290","1,635","14,487","4,979","2,375","3,496","2,294"
2021년02월_남_0~9세,"2,867",207,60,59,35,40,33,7,61,133,33,43,"1,262",395,80,280,139
2021년02월_남_10~19세,"3,620",292,76,88,52,42,103,20,79,118,65,40,"1,600",481,136,325,103
2021년02월_남_20~29세,"6,053",556,178,148,140,64,107,40,155,806,166,121,"1,964",713,258,387,250
2021년02월_남_30~39세,"5,096",429,184,123,103,53,101,27,127,267,144,126,"1,896",584,226,432,274
2021년02월_남_40~49세,"6,918",741,231,188,161,100,152,43,227,321,245,167,"2,368",802,305,556,311
2021년02월_남_50~59세,"9,720","1,317",408,368,347,208,336,137,403,457,443,347,"2,564",836,487,579,483
2021년02월_남_60~69세,"9,471","1,189",537,464,430,303,432,170,491,609,586,447,"1,778",679,470,499,387
2021년02월_남_70~79세,"5,645",735,349,306,287,173,278,97,390,425,416,230,774,351,296,299,239
2021년02월_남_80~89세,"2,290",284,126,137,122,97,111,56,188,172,180,103,258,130,106,123,97
2021년02월_남_90~99세,196,22,12,7,13,5,12,6,22,14,11,10,22,7,11,11,11
2021년02월_남_100세 이상,14,1,1,1,0,0,1,0,0,1,1,1,1,1,0,5,0
2021년02월_여_총인구수,"50,134","5,254","1,997","1,972","1,564","1,112","1,531",612,"2,091","2,659","2,171","1,458","14,841","4,958","2,425","3,535","1,954"
2021년02월_여_연령구간인구수,"50,134","5,254","1,997","1,972","1,564","1,112","1,531",612,"2,091","2,659","2,171","1,458","14,841","4,958","2,425","3,535","1,954"
2021년02월_여_0~9세,"2,770",195,54,44,28,23,35,6,59,120,43,41,"1,260",364,82,296,120
2021년02월_여_10~19세,"3,093",200,58,87,40,34,36,18,70,103,63,46,"1,368",482,135,256,97
2021년02월_여_20~29세,"4,088",399,119,86,53,46,65,33,105,193,109,88,"1,523",565,223,325,156
2021년02월_여_30~39세,"4,255",342,107,91,79,39,63,17,102,197,92,73,"1,728",549,169,425,182
2021년02월_여_40~49세,"5,657",526,129,149,109,70,85,26,142,188,166,81,"2,366",695,230,506,189
2021년02월_여_50~59세,"8,487",955,348,292,230,184,262,132,315,408,333,221,"2,653",874,407,550,323
2021년02월_여_60~69세,"9,418","1,155",507,485,356,273,398,133,500,539,520,408,"2,072",647,514,545,366
2021년02월_여_70~79세,"6,980",862,369,404,350,207,326,127,465,495,437,272,"1,087",483,397,410,289
2021년02월_여_80~89세,"4,725",552,263,288,285,202,226,103,295,369,351,199,700,255,237,205,195
2021년02월_여_90~99세,630,65,40,45,34,33,30,16,38,44,55,29,80,40,30,15,36
2021년02월_여_100세 이상,31,3,3,1,0,1,5,1,0,3,2,0,4,4,1,2,1
