,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동
2021년10월_계_총인구수,"559,363","28,534","43,715","24,485","27,091","11,367","3,679","32,462","6,607","5,162","44,343","25,453","21,720","12,946","22,087","7,064","5,721","22,922","10,654","4,138","51,861","54,211","26,100","29,516","37,525"
2021년10월_계_연령구간인구수,"559,363","28,534","43,715","24,485","27,091","11,367","3,679","32,462","6,607","5,162","44,343","25,453","21,720","12,946","22,087","7,064","5,721","22,922","10,654","4,138","51,861","54,211","26,100","29,516","37,525"
2021년10월_계_0~9세,"49,782","1,622","3,704","1,757","3,859",437,121,"3,922",294,143,"2,720","1,202","2,598",640,"1,532",575,160,972,523,118,"5,625","5,645","3,402","2,572","5,639"
2021년10월_계_10~19세,"54,037","1,842","5,702","1,897","3,332",810,203,"2,280",472,266,"4,715","2,266","1,908",890,"2,116",479,277,"1,662",645,217,"6,288","6,214","3,199","2,844","3,513"
2021년10월_계_20~29세,"77,367","3,250","5,905","3,338","2,401","1,453",346,"5,048",680,424,"7,458","3,700","2,871","2,569","2,965","1,058",716,"4,134","1,629",625,"6,695","7,194","3,626","4,421","4,861"
2021년10월_계_30~39세,"85,227","3,228","5,534","3,887","4,633","1,344",351,"7,139",601,346,"5,388","3,054","3,931","2,354","2,571","1,224",674,"2,996","1,478",429,"8,078","8,000","4,752","4,403","8,832"
2021년10월_계_40~49세,"96,580","4,099","8,352","4,631","5,625","1,690",454,"5,122",858,579,"7,435","4,115","3,881","2,163","3,670","1,130",767,"3,381","1,556",535,"10,042","9,441","5,306","4,692","7,056"
2021년10월_계_50~59세,"90,386","5,188","7,243","4,027","3,099","2,130",670,"4,415","1,238",930,"8,241","4,865","3,402","2,008","4,113","1,093",978,"4,230","1,868",773,"7,956","8,830","3,368","5,346","4,375"
2021년10월_계_60~69세,"60,315","4,767","4,102","2,857","2,361","1,914",780,"2,697","1,250","1,153","4,850","3,433","1,976","1,254","2,940",786,"1,032","3,115","1,595",775,"4,339","5,367","1,606","3,151","2,215"
2021년10월_계_70~79세,"28,729","2,744","1,957","1,305","1,085","1,019",459,"1,175",689,787,"2,271","1,801",726,717,"1,372",441,675,"1,558",882,451,"1,833","2,212",561,"1,318",691
2021년10월_계_80~89세,"14,858","1,595","1,059",662,586,501,265,566,462,464,"1,116",903,365,315,685,239,370,786,426,189,891,"1,176",251,692,294
2021년10월_계_90~99세,"2,008",190,153,120,106,67,30,96,63,67,145,111,61,34,109,38,69,84,52,26,111,125,29,76,46
2021년10월_계_100세 이상,74,9,4,4,4,2,0,2,0,3,4,3,1,2,14,1,3,4,0,0,3,7,0,1,3
2021년10월_남_총인구수,"291,122","14,894","22,583","14,793","14,352","6,274","2,032","17,200","3,565","2,734","22,945","12,979","11,353","7,163","11,087","3,683","2,944","11,929","5,569","2,169","26,071","26,920","13,718","14,877","19,288"
2021년10월_남_연령구간인구수,"291,122","14,894","22,583","14,793","14,352","6,274","2,032","17,200","3,565","2,734","22,945","12,979","11,353","7,163","11,087","3,683","2,944","11,929","5,569","2,169","26,071","26,920","13,718","14,877","19,288"
2021년10월_남_0~9세,"25,310",838,"1,835",865,"1,986",212,60,"1,936",169,80,"1,350",589,"1,338",309,764,297,93,518,256,55,"2,889","2,902","1,791","1,323","2,855"
2021년10월_남_10~19세,"27,821",963,"2,876","1,006","1,736",422,119,"1,135",237,138,"2,441","1,191",945,434,"1,067",245,155,882,327,119,"3,286","3,250","1,658","1,432","1,757"
