카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년06월_계_총인구수,"266,389","3,136","4,788","3,398","2,655","2,529","4,916","2,978","2,864","2,190","3,351","2,975","2,308","5,232","7,059","5,581","4,447","12,810","22,392","7,442","8,064","2,838","55,531","12,532","23,576","32,250","16,901","11,646"
2021년06월_계_연령구간인구수,"266,389","3,136","4,788","3,398","2,655","2,529","4,916","2,978","2,864","2,190","3,351","2,975","2,308","5,232","7,059","5,581","4,447","12,810","22,392","7,442","8,064","2,838","55,531","12,532","23,576","32,250","16,901","11,646"
2021년06월_계_0~9세,"20,219",83,585,179,58,73,135,73,92,43,95,111,107,171,338,150,257,"1,091","2,563",377,504,168,"6,531",616,"1,609","2,480","1,090",640
2021년06월_계_10~19세,"26,418",117,388,332,105,108,228,142,127,93,163,150,149,385,573,327,198,"1,111","2,087",488,689,237,"7,730","1,111","2,847","4,116","1,594",823
2021년06월_계_20~29세,"29,539",245,374,237,223,152,332,258,247,133,309,273,167,420,791,576,424,"1,337","2,555",698,"1,091",294,"6,631","1,538","2,892","4,265","1,882","1,195"
2021년06월_계_30~39세,"29,741",181,723,212,155,151,341,181,178,114,259,192,177,410,554,384,619,"1,684","3,714",704,963,248,"7,385","1,223","2,085","3,484","2,041","1,379"
2021년06월_계_40~49세,"42,997",301,734,456,242,240,492,284,255,214,469,351,256,658,912,583,607,"1,943","3,655","1,076","1,096",339,"11,006","1,787","3,804","5,977","3,200","2,060"
2021년06월_계_50~59세,"43,935",584,686,552,455,407,767,557,547,362,717,446,342,858,"1,077",925,654,"2,026","3,105","1,236","1,448",470,"8,177","2,372","4,196","5,613","3,139","2,217"
2021년06월_계_60~69세,"38,452",689,635,602,650,610,"1,162",698,652,522,730,606,490,"1,128","1,343","1,152",799,"1,852","2,644","1,428","1,345",525,"4,753","2,230","3,401","3,624","2,372","1,810"
2021년06월_계_70~79세,"23,106",538,395,461,429,410,857,497,473,409,413,537,437,808,"1,014",978,624,"1,250","1,463","1,024",649,347,"2,283","1,161","1,745","1,806","1,111",987
2021년06월_계_80~89세,"10,312",333,224,314,273,301,508,247,246,255,170,264,160,352,412,444,222,458,522,361,235,181,894,423,863,787,387,476
2021년06월_계_90~99세,"1,616",64,43,53,60,71,92,37,46,42,24,43,22,41,45,61,41,58,81,49,44,27,136,70,131,96,82,57
2021년06월_계_100세 이상,54,1,1,0,5,6,2,4,1,3,2,2,1,1,0,1,2,0,3,1,0,2,5,1,3,2,3,2
2021년06월_남_총인구수,"134,786","1,626","2,441","1,746","1,364","1,270","2,452","1,519","1,436","1,147","1,875","1,524","1,118","2,626","3,531","2,720","2,252","6,416","11,360","3,720","4,031","1,450","27,721","6,242","11,421","16,061","9,292","6,425"
2021년06월_남_연령구간인구수,"134,786","1,626","2,441","1,746","1,364","1,270","2,452","1,519","1,436","1,147","1,875","1,524","1,118","2,626","3,531","2,720","2,252","6,416","11,360","3,720","4,031","1,450","27,721","6,242","11,421","16,061","9,292","6,425"
2021년06월_남_0~9세,"10,292",43,295,90,35,43,69,34,37,26,48,59,53,87,180,81,145,570,"1,296",190,240,81,"3,333",309,803,"1,257",570,318
2021년06월_남_10~19세,"13,657",61,192,176,61,49,133,78,60,54,92,79,72,199,293,156,106,579,"1,113",262,358,128,"3,999",606,"1,387","2,110",819,435
2021년06월_남_20~29세,"16,259",156,214,145,135,92,189,157,154,82,182,159,73,246,459,340,205,705,"1,351",370,576,182,"3,525",853,"1,621","2,311","1,089",688
2021년06월_남_30~39세,"15,546",116,364,107,97,96,188,107,88,66,168,110,89,213,292,212,360,874,"1,929",403,518,129,"3,523",672,"1,014","1,774","1,209",828
2021년06월_남_40~49세,"22,534",191,401,271,151,153,304,159,151,128,307,214,152,359,484,330,336,"1,015","1,917",611,558,175,"5,405",867,"1,804","2,943","1,878","1,270"
2021년06월_남_50~59세,"23,141",339,375,321,250,236,438,305,288,217,410,262,184,457,569,461,342,"1,053","1,596",643,687,243,"4,243","1,166","2,081","2,841","1,814","1,320"
2021년06월_남_60~69세,"18,969",340,336,320,344,313,564,361,328,282,401,298,227,550,606,550,371,873,"1,263",651,684,247,"2,352","1,088","1,644","1,744","1,257",975
2021년06월_남_70~79세,"10,503",251,182,191,203,183,382,233,230,201,202,248,202,367,485,410,293,550,703,445,314,177,"1,014",523,776,784,510,444
2021년06월_남_80~89세,"3,547",112,79,116,77,90,166,80,88,80,61,81,62,140,156,166,83,183,178,133,91,79,299,144,256,274,134,139
2021년06월_남_90~99세,329,16,3,9,11,14,19,5,12,10,4,14,3,8,7,13,11,14,14,12,5,8,27,14,35,22,11,8
2021년06월_남_100세 이상,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
2021년06월_여_총인구수,"131,603","1,510","2,347","1,652","1,291","1,259","2,464","1,459","1,428","1,043","1,476","1,451","1,190","2,606","3,528","2,861","2,195","6,394","11,032","3,722","4,033","1,388","27,810","6,290","12,155","16,189","7,609","5,221"
2021년06월_여_연령구간인구수,"131,603","1,510","2,347","1,652","1,291","1,259","2,464","1,459","1,428","1,043","1,476","1,451","1,190","2,606","3,528","2,861","2,195","6,394","11,032","3,722","4,033","1,388","27,810","6,290","12,155","16,189","7,609","5,221"
2021년06월_여_0~9세,"9,927",40,290,89,23,30,66,39,55,17,47,52,54,84,158,69,112,521,"1,267",187,264,87,"3,198",307,806,"1,223",520,322
2021년06월_여_10~19세,"12,761",56,196,156,44,59,95,64,67,39,71,71,77,186,280,171,92,532,974,226,331,109,"3,731",505,"1,460","2,006",775,388
2021년06월_여_20~29세,"13,280",89,160,92,88,60,143,101,93,51,127,114,94,174,332,236,219,632,"1,204",328,515,112,"3,106",685,"1,271","1,954",793,507
2021년06월_여_30~39세,"14,195",65,359,105,58,55,153,74,90,48,91,82,88,197,262,172,259,810,"1,785",301,445,119,"3,862",551,"1,071","1,710",832,551
2021년06월_여_40~49세,"20,463",110,333,185,91,87,188,125,104,86,162,137,104,299,428,253,271,928,"1,738",465,538,164,"5,601",920,"2,000","3,034","1,322",790
2021년06월_여_50~59세,"20,794",245,311,231,205,171,329,252,259,145,307,184,158,401,508,464,312,973,"1,509",593,761,227,"3,934","1,206","2,115","2,772","1,325",897
2021년06월_여_60~69세,"19,483",349,299,282,306,297,598,337,324,240,329,308,263,578,737,602,428,979,"1,381",777,661,278,"2,401","1,142","1,757","1,880","1,115",835
2021년06월_여_70~79세,"12,603",287,213,270,226,227,475,264,243,208,211,289,235,441,529,568,331,700,760,579,335,170,"1,269",638,969,"1,022",601,543
2021년06월_여_80~89세,"6,765",221,145,198,196,211,342,167,158,175,109,183,98,212,256,278,139,275,344,228,144,102,595,279,607,513,253,337
2021년06월_여_90~99세,"1,287",48,40,44,49,57,73,32,34,32,20,29,19,33,38,48,30,44,67,37,39,19,109,56,96,74,71,49
2021년06월_여_100세 이상,45,0,1,0,5,5,2,4,1,2,2,2,0,1,0,0,2,0,3,1,0,1,4,1,3,1,2,2
