카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년06월_계_총인구수,"30,994","9,992","2,173","2,257","3,564","1,542","1,949","2,374","2,778","2,227","2,138"
2020년06월_계_연령구간인구수,"30,994","9,992","2,173","2,257","3,564","1,542","1,949","2,374","2,778","2,227","2,138"
2020년06월_계_0~9세,"1,330",685,52,78,148,33,55,81,90,61,47
2020년06월_계_10~19세,"2,036",942,99,86,273,82,114,124,101,111,104
2020년06월_계_20~29세,"2,675","1,259",156,158,324,103,118,127,180,126,124
2020년06월_계_30~39세,"2,131",935,106,123,273,75,104,120,149,120,126
2020년06월_계_40~49세,"3,197","1,270",185,217,414,135,182,218,228,174,174
2020년06월_계_50~59세,"5,342","1,686",372,418,605,308,316,383,489,372,393
2020년06월_계_60~69세,"6,015","1,524",454,509,651,320,428,528,586,518,497
2020년06월_계_70~79세,"4,527",955,391,347,502,251,354,458,506,399,364
2020년06월_계_80~89세,"3,298",631,324,290,331,208,239,298,400,307,270
2020년06월_계_90~99세,424,98,34,30,41,27,37,34,49,38,36
2020년06월_계_100세 이상,19,7,0,1,2,0,2,3,0,1,3
2020년06월_남_총인구수,"15,678","5,003","1,082","1,182","1,847",799,998,"1,193","1,389","1,119","1,066"
2020년06월_남_연령구간인구수,"15,678","5,003","1,082","1,182","1,847",799,998,"1,193","1,389","1,119","1,066"
2020년06월_남_0~9세,676,351,25,36,78,22,24,41,44,31,24
2020년06월_남_10~19세,"1,075",473,59,53,148,43,61,62,61,54,61
2020년06월_남_20~29세,"1,533",717,87,92,199,58,70,61,103,75,71
2020년06월_남_30~39세,"1,223",485,65,78,165,44,66,79,92,72,77
2020년06월_남_40~49세,"1,862",665,102,138,233,84,121,150,143,112,114
2020년06월_남_50~59세,"2,904",882,203,242,330,171,180,211,273,199,213
2020년06월_남_60~69세,"3,099",746,246,275,339,182,225,266,303,261,256
2020년06월_남_70~79세,"2,019",436,178,153,218,113,159,199,224,186,153
2020년06월_남_80~89세,"1,173",222,108,106,119,76,82,116,137,117,90
2020년06월_남_90~99세,111,23,9,9,18,6,10,8,9,12,7
2020년06월_남_100세 이상,3,3,0,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"15,316","4,989","1,091","1,075","1,717",743,951,"1,181","1,389","1,108","1,072"
2020년06월_여_연령구간인구수,"15,316","4,989","1,091","1,075","1,717",743,951,"1,181","1,389","1,108","1,072"
2020년06월_여_0~9세,654,334,27,42,70,11,31,40,46,30,23
2020년06월_여_10~19세,961,469,40,33,125,39,53,62,40,57,43
2020년06월_여_20~29세,"1,142",542,69,66,125,45,48,66,77,51,53
2020년06월_여_30~39세,908,450,41,45,108,31,38,41,57,48,49
2020년06월_여_40~49세,"1,335",605,83,79,181,51,61,68,85,62,60
2020년06월_여_50~59세,"2,438",804,169,176,275,137,136,172,216,173,180
2020년06월_여_60~69세,"2,916",778,208,234,312,138,203,262,283,257,241
2020년06월_여_70~79세,"2,508",519,213,194,284,138,195,259,282,213,211
2020년06월_여_80~89세,"2,125",409,216,184,212,132,157,182,263,190,180
2020년06월_여_90~99세,313,75,25,21,23,21,27,26,40,26,29
2020년06월_여_100세 이상,16,4,0,1,2,0,2,3,0,1,3
