,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년08월_계_총인구수,"235,828","26,336","5,831","6,899","11,919","10,665","5,271","50,171","9,691","27,231","27,364","54,450"
2021년08월_계_연령구간인구수,"235,828","26,336","5,831","6,899","11,919","10,665","5,271","50,171","9,691","27,231","27,364","54,450"
2021년08월_계_0~9세,"20,029","1,277",141,383,608,502,201,"4,581",632,"1,901","2,194","7,609"
2021년08월_계_10~19세,"24,356","2,481",296,370,841,508,267,"6,949",720,"2,621","3,369","5,934"
2021년08월_계_20~29세,"27,748","3,238",655,801,"1,275","1,112",547,"5,464","1,502","3,440","3,907","5,807"
2021년08월_계_30~39세,"28,361","2,290",444,772,"1,130","1,088",438,"5,163","1,185","2,886","2,955","10,010"
2021년08월_계_40~49세,"40,021","3,850",639,788,"1,625","1,154",598,"10,057","1,336","4,294","4,873","10,807"
2021년08월_계_50~59세,"39,069","5,120","1,225","1,183","2,457","1,820","1,028","7,697","1,751","5,379","4,739","6,670"
2021년08월_계_60~69세,"30,947","4,477","1,395","1,454","2,297","2,303","1,122","5,357","1,428","3,923","2,645","4,546"
2021년08월_계_70~79세,"16,506","2,296",655,696,"1,062","1,317",672,"3,361",738,"1,881","1,622","2,206"
2021년08월_계_80~89세,"7,661","1,143",330,376,544,693,352,"1,361",338,821,946,757
2021년08월_계_90~99세,"1,085",159,51,74,79,162,45,175,48,85,108,99
2021년08월_계_100세 이상,45,5,0,2,1,6,1,6,13,0,6,5
2021년08월_남_총인구수,"119,603","13,335","3,328","3,861","6,451","5,482","2,772","24,537","5,111","13,806","13,549","27,371"
2021년08월_남_연령구간인구수,"119,603","13,335","3,328","3,861","6,451","5,482","2,772","24,537","5,111","13,806","13,549","27,371"
2021년08월_남_0~9세,"10,217",615,73,187,312,267,102,"2,308",320,985,"1,138","3,910"
2021년08월_남_10~19세,"12,393","1,292",160,182,464,283,148,"3,515",383,"1,350","1,713","2,903"
2021년08월_남_20~29세,"14,867","1,759",396,522,743,679,311,"2,764",861,"1,818","2,046","2,968"
2021년08월_남_30~39세,"14,605","1,239",287,460,637,594,249,"2,502",655,"1,530","1,469","4,983"
2021년08월_남_40~49세,"20,658","1,967",400,492,932,630,340,"4,952",717,"2,229","2,398","5,601"
2021년08월_남_50~59세,"20,475","2,672",754,693,"1,367",921,538,"4,007",940,"2,741","2,439","3,403"
2021년08월_남_60~69세,"15,559","2,284",788,826,"1,254","1,134",635,"2,391",744,"2,002","1,296","2,205"
2021년08월_남_70~79세,"7,691","1,070",338,345,516,660,305,"1,526",344,832,647,"1,108"
2021년08월_남_80~89세,"2,895",410,121,138,208,279,135,528,133,301,369,273
2021년08월_남_90~99세,233,27,11,16,18,33,9,44,11,18,29,17
2021년08월_남_100세 이상,10,0,0,0,0,2,0,0,3,0,5,0
2021년08월_여_총인구수,"116,225","13,001","2,503","3,038","5,468","5,183","2,499","25,634","4,580","13,425","13,815","27,079"
2021년08월_여_연령구간인구수,"116,225","13,001","2,503","3,038","5,468","5,183","2,499","25,634","4,580","13,425","13,815","27,079"
2021년08월_여_0~9세,"9,812",662,68,196,296,235,99,"2,273",312,916,"1,056","3,699"
2021년08월_여_10~19세,"11,963","1,189",136,188,377,225,119,"3,434",337,"1,271","1,656","3,031"
2021년08월_여_20~29세,"12,881","1,479",259,279,532,433,236,"2,700",641,"1,622","1,861","2,839"
2021년08월_여_30~39세,"13,756","1,051",157,312,493,494,189,"2,661",530,"1,356","1,486","5,027"
2021년08월_여_40~49세,"19,363","1,883",239,296,693,524,258,"5,105",619,"2,065","2,475","5,206"
2021년08월_여_50~59세,"18,594","2,448",471,490,"1,090",899,490,"3,690",811,"2,638","2,300","3,267"
2021년08월_여_60~69세,"15,388","2,193",607,628,"1,043","1,169",487,"2,966",684,"1,921","1,349","2,341"
2021년08월_여_70~79세,"8,815","1,226",317,351,546,657,367,"1,835",394,"1,049",975,"1,098"
2021년08월_여_80~89세,"4,766",733,209,238,336,414,217,833,205,520,577,484
2021년08월_여_90~99세,852,132,40,58,61,129,36,131,37,67,79,82
2021년08월_여_100세 이상,35,5,0,2,1,4,1,6,10,0,1,5
