,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년08월_계_총인구수,"2,630,254","503,344","230,550","272,794","252,344","140,130","157,534","413,813","102,258","101,881","96,019","71,045","267,935","22,853","50,952","24,773","16,350","35,678","41,736","30,792","42,880","114,021","55,846","30,969","48,125","8,976"
2021년08월_계_연령구간인구수,"2,630,254","503,344","230,550","272,794","252,344","140,130","157,534","413,813","102,258","101,881","96,019","71,045","267,935","22,853","50,952","24,773","16,350","35,678","41,736","30,792","42,880","114,021","55,846","30,969","48,125","8,976"
2021년08월_계_0~9세,"182,105","38,103","16,683","21,420","15,647","10,078","10,249","39,594","5,827","5,621","4,982","3,871","19,961",625,"1,846",952,694,"1,539","1,431","1,348","1,859","8,924","4,506","1,268","2,797",383
2021년08월_계_10~19세,"223,048","46,245","20,980","25,265","20,356","12,326","13,388","44,246","8,654","6,633","7,438","5,484","22,938",919,"2,212","1,168",905,"2,036","2,199","1,931","2,203","11,417","4,465","1,833","3,599",453
2021년08월_계_20~29세,"279,578","56,836","26,669","30,167","26,059","14,340","16,483","55,381","9,586","9,910","7,780","6,173","36,495","1,402","2,949","1,626","1,090","2,295","2,662","2,364","3,253","11,751","4,091","1,865","4,354",833
2021년08월_계_30~39세,"282,760","57,955","26,040","31,915","24,830","14,582","15,213","63,768","8,213","9,194","7,138","5,492","33,179","1,227","3,061","1,590",990,"2,253","2,604","2,114","3,178","14,040","5,389","1,807","4,116",827
2021년08월_계_40~49세,"378,164","76,683","35,440","41,243","36,063","19,207","21,704","72,709","13,504","12,372","11,083","8,541","41,656","2,033","4,496","2,305","1,619","3,714","4,258","3,622","4,549","20,480","7,171","3,076","6,071","1,248"
2021년08월_계_50~59세,"453,874","89,085","40,865","48,220","46,508","23,463","25,708","69,749","17,395","18,027","16,252","11,786","45,650","4,106","8,316","4,548","2,844","5,978","7,087","5,740","8,141","19,839","7,955","5,559","8,350","1,788"
2021년08월_계_60~69세,"428,519","82,163","38,182","43,981","42,836","23,118","26,718","42,507","19,140","19,398","19,011","13,935","37,070","5,534","12,116","5,692","3,574","7,577","9,849","6,513","9,732","14,694","9,761","7,075","8,709","1,797"
2021년08월_계_70~79세,"242,423","37,855","17,645","20,210","24,838","13,388","16,586","16,262","11,745","12,673","12,414","9,140","20,005","3,989","8,838","3,985","2,591","5,791","6,647","4,128","5,877","7,658","6,748","4,655","5,551","1,059"
2021년08월_계_80~89세,"139,389","16,115","7,080","9,035","13,332","8,341","9,958","8,330","7,050","7,183","8,545","5,730","9,743","2,664","6,263","2,559","1,762","3,926","4,358","2,687","3,563","4,545","5,054","3,302","3,877",502
2021년08월_계_90~99세,"19,735","2,230",926,"1,304","1,805","1,255","1,479","1,229","1,091",848,"1,338",855,"1,204",340,829,333,265,547,631,336,515,651,682,503,686,83
