카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년04월_계_총인구수,"63,866","7,252","6,392","8,044","10,923","3,842","1,747","3,085","8,317","4,216","6,887","3,161"
2020년04월_계_연령구간인구수,"63,866","7,252","6,392","8,044","10,923","3,842","1,747","3,085","8,317","4,216","6,887","3,161"
2020년04월_계_0~9세,"4,162",528,294,405,904,143,109,102,554,359,639,125
2020년04월_계_10~19세,"5,285",629,519,652,964,232,119,178,745,440,573,234
2020년04월_계_20~29세,"6,789",769,748,847,"1,258",439,179,275,857,477,626,314
2020년04월_계_30~39세,"7,395",869,603,812,"1,543",370,192,251,999,539,946,271
2020년04월_계_40~49세,"10,326","1,278",951,"1,286","1,845",554,267,381,"1,412",747,"1,167",438
2020년04월_계_50~59세,"10,325","1,214","1,087","1,321","1,632",710,263,536,"1,307",727,"1,062",466
2020년04월_계_60~69세,"9,795",987,"1,074","1,327","1,497",690,295,624,"1,212",534,962,593
2020년04월_계_70~79세,"6,537",625,753,943,911,451,211,460,842,266,586,489
2020년04월_계_80~89세,"2,766",295,303,397,315,231,97,235,323,101,271,198
2020년04월_계_90~99세,411,48,49,48,43,21,14,36,57,21,50,24
2020년04월_계_100세 이상,75,10,11,6,11,1,1,7,9,5,5,9
2020년04월_남_총인구수,"32,239","3,720","3,210","3,985","5,413","1,965",852,"1,576","4,287","2,175","3,437","1,619"
2020년04월_남_연령구간인구수,"32,239","3,720","3,210","3,985","5,413","1,965",852,"1,576","4,287","2,175","3,437","1,619"
2020년04월_남_0~9세,"2,193",280,157,213,462,74,56,54,311,184,333,69
2020년04월_남_10~19세,"2,735",328,268,318,509,112,52,87,388,221,316,136
2020년04월_남_20~29세,"3,676",431,401,449,655,244,100,166,494,247,321,168
2020년04월_남_30~39세,"3,913",448,313,453,770,200,105,145,545,296,481,157
2020년04월_남_40~49세,"5,578",688,492,704,982,320,140,227,758,392,624,251
2020년04월_남_50~59세,"5,454",672,595,679,784,395,129,298,694,395,554,259
2020년04월_남_60~69세,"4,721",506,516,625,687,350,147,297,588,267,449,289
2020년04월_남_70~79세,"2,885",262,340,397,436,189,87,205,370,127,262,210
2020년04월_남_80~89세,954,88,114,134,114,73,31,84,119,38,90,69
2020년04월_남_90~99세,107,14,12,12,9,8,5,11,18,5,7,6
2020년04월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년04월_여_총인구수,"31,627","3,532","3,182","4,059","5,510","1,877",895,"1,509","4,030","2,041","3,450","1,542"
2020년04월_여_연령구간인구수,"31,627","3,532","3,182","4,059","5,510","1,877",895,"1,509","4,030","2,041","3,450","1,542"
2020년04월_여_0~9세,"1,969",248,137,192,442,69,53,48,243,175,306,56
2020년04월_여_10~19세,"2,550",301,251,334,455,120,67,91,357,219,257,98
2020년04월_여_20~29세,"3,113",338,347,398,603,195,79,109,363,230,305,146
2020년04월_여_30~39세,"3,482",421,290,359,773,170,87,106,454,243,465,114
2020년04월_여_40~49세,"4,748",590,459,582,863,234,127,154,654,355,543,187
2020년04월_여_50~59세,"4,871",542,492,642,848,315,134,238,613,332,508,207
2020년04월_여_60~69세,"5,074",481,558,702,810,340,148,327,624,267,513,304
2020년04월_여_70~79세,"3,652",363,413,546,475,262,124,255,472,139,324,279
2020년04월_여_80~89세,"1,812",207,189,263,201,158,66,151,204,63,181,129
2020년04월_여_90~99세,304,34,37,36,34,13,9,25,39,16,43,18
2020년04월_여_100세 이상,52,7,9,5,6,1,1,5,7,2,5,4
