,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년09월_계_총인구수,"474,444","22,619","15,335","17,352","16,287","16,172","12,326","27,395","19,300","11,922","23,901","21,657","25,053","11,277","14,879","21,481","41,848","15,699","50,391","3,723","16,966","36,049","12,872","19,940"
2021년09월_계_연령구간인구수,"474,444","22,619","15,335","17,352","16,287","16,172","12,326","27,395","19,300","11,922","23,901","21,657","25,053","11,277","14,879","21,481","41,848","15,699","50,391","3,723","16,966","36,049","12,872","19,940"
2021년09월_계_0~9세,"36,159","2,032",703,842,"1,030",947,581,"1,651","1,137",786,"1,829","1,109","1,378",367,749,"1,730","5,241","1,245","6,004",90,"1,527","3,111",931,"1,139"
2021년09월_계_10~19세,"48,564","3,042","1,000","1,359","1,443","1,220",617,"2,368","1,248","1,067","2,606","1,615","1,987",540,"1,270","2,659","4,885","1,590","6,122",169,"3,413","4,181","1,275","2,888"
2021년09월_계_20~29세,"73,480","2,815","2,559","2,476","1,973","2,127","2,454","5,488","4,584","1,596","3,190","4,294","5,627","2,911","1,838","2,695","5,003","2,765","6,791",288,"1,627","5,400","2,349","2,630"
2021년09월_계_30~39세,"64,911","2,562","1,619","1,804","1,713","2,004","2,150","4,657","3,595","1,413","2,689","3,457","4,223","1,902","1,508","2,611","6,546","2,040","7,815",263,"1,294","5,370","2,008","1,668"
2021년09월_계_40~49세,"76,531","4,264","1,798","2,306","2,246","2,229","1,692","4,407","2,826","1,795","3,956","3,056","3,754","1,486","1,918","3,357","7,873","2,302","9,389",401,"3,967","6,132","2,026","3,351"
2021년09월_계_50~59세,"76,873","3,511","2,614","2,920","3,035","2,866","1,726","4,290","2,518","1,951","3,970","3,355","4,024","1,883","2,778","3,872","5,778","2,790","7,676",669,"2,518","6,330","2,244","3,555"
2021년09월_계_60~69세,"57,938","2,577","2,770","3,133","2,877","2,686","1,688","2,808","2,004","1,847","3,211","3,052","2,666","1,363","2,631","3,069","4,148","1,696","3,973",779,"1,361","3,671","1,321","2,607"
2021년09월_계_70~79세,"26,336","1,244","1,545","1,699","1,296","1,422",932,"1,086",959,"1,004","1,677","1,178",908,560,"1,276",958,"1,600",808,"1,730",574,815,"1,213",466,"1,386"
