카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년06월_계_총인구수,"218,131","37,059","40,159","38,756","16,464","29,646","36,060","10,007","9,980"
2021년06월_계_연령구간인구수,"218,131","37,059","40,159","38,756","16,464","29,646","36,060","10,007","9,980"
2021년06월_계_0~9세,"24,516","4,511","5,291","3,593","2,613","2,690","4,364",713,741
2021년06월_계_10~19세,"23,564","3,969","4,714","6,183","1,387","2,146","3,629",763,773
2021년06월_계_20~29세,"26,987","4,087","4,405","4,907","1,152","4,499","4,913","1,745","1,279"
2021년06월_계_30~39세,"33,381","5,647","6,589","3,757","3,322","4,917","6,143","1,616","1,390"
2021년06월_계_40~49세,"38,685","6,696","7,539","8,383","2,874","4,301","5,913","1,454","1,525"
2021년06월_계_50~59세,"38,481","6,138","6,311","7,208","2,133","6,256","6,632","1,936","1,867"
2021년06월_계_60~69세,"21,290","3,849","3,472","2,838","1,868","3,378","3,025","1,226","1,634"
2021년06월_계_70~79세,"7,631","1,532","1,245","1,254",691,988,966,400,555
2021년06월_계_80~89세,"3,118",542,522,552,364,402,409,130,197
2021년06월_계_90~99세,460,84,70,77,58,67,66,24,14
2021년06월_계_100세 이상,18,4,1,4,2,2,0,0,5
2021년06월_남_총인구수,"113,009","18,949","20,421","19,731","8,441","15,892","18,400","5,811","5,364"
2021년06월_남_연령구간인구수,"113,009","18,949","20,421","19,731","8,441","15,892","18,400","5,811","5,364"
2021년06월_남_0~9세,"12,608","2,319","2,733","1,840","1,296","1,413","2,274",357,376
2021년06월_남_10~19세,"12,220","2,016","2,411","3,257",709,"1,124","1,869",409,425
2021년06월_남_20~29세,"15,462","2,299","2,401","2,749",650,"2,610","2,718","1,232",803
2021년06월_남_30~39세,"17,340","2,834","3,312","1,825","1,648","2,822","3,103","1,002",794
2021년06월_남_40~49세,"19,855","3,499","3,894","3,927","1,616","2,301","2,907",835,876
2021년06월_남_50~59세,"19,730","3,093","3,159","3,879","1,082","3,184","3,308","1,086",939
2021년06월_남_60~69세,"11,202","2,025","1,757","1,516",979,"1,821","1,623",645,836
2021년06월_남_70~79세,"3,578",690,584,557,341,484,481,205,236
2021년06월_남_80~89세,941,159,159,167,110,124,108,38,76
2021년06월_남_90~99세,69,15,11,13,10,8,9,2,1
2021년06월_남_100세 이상,4,0,0,1,0,1,0,0,2
2021년06월_여_총인구수,"105,122","18,110","19,738","19,025","8,023","13,754","17,660","4,196","4,616"
2021년06월_여_연령구간인구수,"105,122","18,110","19,738","19,025","8,023","13,754","17,660","4,196","4,616"
2021년06월_여_0~9세,"11,908","2,192","2,558","1,753","1,317","1,277","2,090",356,365
2021년06월_여_10~19세,"11,344","1,953","2,303","2,926",678,"1,022","1,760",354,348
2021년06월_여_20~29세,"11,525","1,788","2,004","2,158",502,"1,889","2,195",513,476
2021년06월_여_30~39세,"16,041","2,813","3,277","1,932","1,674","2,095","3,040",614,596
2021년06월_여_40~49세,"18,830","3,197","3,645","4,456","1,258","2,000","3,006",619,649
2021년06월_여_50~59세,"18,751","3,045","3,152","3,329","1,051","3,072","3,324",850,928
2021년06월_여_60~69세,"10,088","1,824","1,715","1,322",889,"1,557","1,402",581,798
2021년06월_여_70~79세,"4,053",842,661,697,350,504,485,195,319
2021년06월_여_80~89세,"2,177",383,363,385,254,278,301,92,121
2021년06월_여_90~99세,391,69,59,64,48,59,57,22,13
2021년06월_여_100세 이상,14,4,1,3,2,1,0,0,3
