,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년04월_계_총인구수,"1,844,148","221,156","279,613","282,069","116,332","150,701","46,624","27,916","25,400","63,508","40,179","62,310","37,177","34,314","68,229","53,437","88,075","31,653","52,587","44,078","49,604","30,445","38,741"
2021년04월_계_연령구간인구수,"1,844,148","221,156","279,613","282,069","116,332","150,701","46,624","27,916","25,400","63,508","40,179","62,310","37,177","34,314","68,229","53,437","88,075","31,653","52,587","44,078","49,604","30,445","38,741"
2021년04월_계_0~9세,"129,089","17,460","20,399","23,144","10,106","13,049","2,331","1,047","1,105","2,563","1,672","3,408","1,930","1,687","3,845","3,393","8,019","1,308","3,689","2,691","3,074","1,637","1,532"
2021년04월_계_10~19세,"165,294","24,092","26,086","29,839","9,579","15,800","2,981","1,894","1,786","3,761","2,551","5,598","2,686","2,471","5,143","4,407","9,400","2,078","4,135","3,234","3,571","2,189","2,013"
2021년04월_계_20~29세,"198,752","26,896","33,572","37,330","12,438","19,885","4,770","2,276","1,904","4,063","2,922","6,736","3,022","2,842","5,499","5,050","9,062","2,422","4,894","4,169","3,770","2,532","2,698"
2021년04월_계_30~39세,"182,942","24,741","30,511","33,046","14,591","18,179","3,676","1,693","1,624","3,569","2,426","4,621","2,666","2,351","4,903","4,617","10,689","2,003","4,782","3,554","3,873","2,187","2,640"
2021년04월_계_40~49세,"257,603","36,878","41,702","43,113","16,630","23,507","5,269","2,990","2,818","6,210","4,117","8,133","3,998","3,699","7,950","7,375","13,988","3,394","6,397","5,446","6,153","3,550","4,286"
2021년04월_계_50~59세,"312,389","35,939","48,396","49,213","17,343","29,108","8,212","4,893","4,528","10,071","6,649","11,240","6,212","5,593","11,440","9,421","12,967","5,357","8,465","7,426","8,015","4,953","6,948"
2021년04월_계_60~69세,"277,277","29,269","41,507","35,253","16,364","17,417","8,534","5,114","4,812","12,906","7,690","9,714","6,650","6,321","12,534","8,227","11,176","6,050","8,517","7,395","8,678","5,395","7,754"
2021년04월_계_70~79세,"191,492","17,592","24,715","19,038","11,466","8,251","6,301","4,215","3,845","11,360","6,572","7,364","5,397","5,151","9,897","6,263","7,827","5,037","7,061","5,835","7,379","4,635","6,291"
2021년04월_계_80~89세,"112,032","7,281","10,923","10,405","6,755","4,707","3,923","3,235","2,570","7,689","4,799","4,802","3,945","3,602","6,118","4,103","4,304","3,487","4,075","3,789","4,482","2,978","4,060"
2021년04월_계_90~99세,"16,622",971,"1,700","1,615","1,029",781,601,543,389,"1,271",750,664,650,569,859,560,619,504,548,523,592,376,508
2021년04월_계_100세 이상,656,37,102,73,31,17,26,16,19,45,31,30,21,28,41,21,24,13,24,16,17,13,11
2021년04월_남_총인구수,"927,667","110,217","142,638","140,756","58,605","78,627","23,627","13,674","12,360","30,867","19,592","30,841","18,088","16,602","33,735","27,586","44,252","15,934","26,299","22,627","24,960","15,101","20,679"
2021년04월_남_연령구간인구수,"927,667","110,217","142,638","140,756","58,605","78,627","23,627","13,674","12,360","30,867","19,592","30,841","18,088","16,602","33,735","27,586","44,252","15,934","26,299","22,627","24,960","15,101","20,679"
2021년04월_남_0~9세,"65,770","9,022","10,324","11,839","5,163","6,626","1,164",535,543,"1,274",878,"1,737",966,842,"1,942","1,710","4,139",687,"1,873","1,362","1,573",795,776
2021년04월_남_10~19세,"85,729","12,350","13,560","15,564","4,944","8,173","1,556","1,007",932,"2,019","1,301","2,903","1,424","1,268","2,651","2,334","4,754","1,103","2,169","1,710","1,856","1,116","1,035"
2021년04월_남_20~29세,"111,168","14,556","19,048","20,359","6,567","11,583","2,825","1,254","1,035","2,366","1,668","3,678","1,709","1,603","3,098","2,952","4,869","1,448","2,766","2,461","2,209","1,487","1,627"
2021년04월_남_30~39세,"96,318","12,791","16,370","16,938","7,608","9,765","1,892",901,873,"1,935","1,304","2,337","1,411","1,213","2,597","2,507","5,437","1,077","2,478","1,902","2,115","1,185","1,682"
2021년04월_남_40~49세,"137,655","19,008","22,042","21,265","9,230","12,091","3,021","1,656","1,528","3,597","2,348","4,203","2,203","2,053","4,451","4,383","7,353","2,020","3,590","3,090","3,579","2,069","2,875"
2021년04월_남_50~59세,"167,869","18,100","25,463","24,820","9,477","15,905","4,492","2,705","2,522","5,637","3,709","6,139","3,397","3,015","6,340","5,398","7,138","3,142","4,702","4,251","4,498","2,780","4,239"
2021년04월_남_60~69세,"139,935","13,935","20,504","17,653","8,334","9,168","4,435","2,686","2,387","6,422","3,891","5,124","3,321","3,166","6,281","4,255","5,627","3,174","4,316","3,920","4,326","2,739","4,271"
2021년04월_남_70~79세,"84,394","7,783","11,334","8,575","5,027","3,689","2,824","1,811","1,615","4,935","2,814","3,097","2,303","2,220","4,319","2,666","3,522","2,124","3,040","2,589","3,271","1,986","2,850"
2021년04월_남_80~89세,"35,458","2,453","3,672","3,421","2,038","1,491","1,285","1,011",839,"2,402","1,518","1,464","1,225","1,115","1,901","1,273","1,310","1,045","1,255","1,217","1,420",878,"1,225"
2021년04월_남_90~99세,"3,292",213,304,315,212,134,133,104,84,274,155,156,126,102,155,105,100,114,110,124,111,66,95
2021년04월_남_100세 이상,79,6,17,7,5,2,0,4,2,6,6,3,3,5,0,3,3,0,0,1,2,0,4
2021년04월_여_총인구수,"916,481","110,939","136,975","141,313","57,727","72,074","22,997","14,242","13,040","32,641","20,587","31,469","19,089","17,712","34,494","25,851","43,823","15,719","26,288","21,451","24,644","15,344","18,062"
2021년04월_여_연령구간인구수,"916,481","110,939","136,975","141,313","57,727","72,074","22,997","14,242","13,040","32,641","20,587","31,469","19,089","17,712","34,494","25,851","43,823","15,719","26,288","21,451","24,644","15,344","18,062"
