,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년01월_계_총인구수,"91,450","14,327","26,003","7,131","4,386","14,292","6,183","5,809","4,691","1,899","1,946","2,735","1,079",969
2021년01월_계_연령구간인구수,"91,450","14,327","26,003","7,131","4,386","14,292","6,183","5,809","4,691","1,899","1,946","2,735","1,079",969
2021년01월_계_0~9세,"6,824",708,"2,886",379,282,"1,654",232,200,234,63,51,78,37,20
2021년01월_계_10~19세,"8,276","1,182","3,378",504,382,"1,352",346,382,281,103,61,219,40,46
2021년01월_계_20~29세,"8,921","1,742","2,671",710,386,"1,385",534,545,384,133,102,207,80,42
2021년01월_계_30~39세,"9,288","1,209","3,379",571,330,"2,234",427,379,342,100,86,130,56,45
2021년01월_계_40~49세,"13,563","2,083","4,760",936,640,"2,516",621,581,554,198,188,315,92,79
2021년01월_계_50~59세,"15,196","2,461","3,641","1,312",802,"2,124","1,224","1,194",855,330,375,461,250,167
2021년01월_계_60~69세,"13,963","2,330","2,601","1,304",751,"1,578","1,356","1,246",862,399,469,547,279,241
2021년01월_계_70~79세,"9,299","1,530","1,668",878,515,930,871,766,691,322,371,427,141,189
2021년01월_계_80~89세,"5,269",946,866,467,245,451,497,448,410,203,218,298,92,128
2021년01월_계_90~99세,807,133,147,64,47,65,68,63,77,45,25,50,12,11
2021년01월_계_100세 이상,44,3,6,6,6,3,7,5,1,3,0,3,0,1
2021년01월_남_총인구수,"46,960","7,354","13,541","3,684","2,252","7,195","3,194","2,911","2,400",964,979,"1,436",554,496
2021년01월_남_연령구간인구수,"46,960","7,354","13,541","3,684","2,252","7,195","3,194","2,911","2,400",964,979,"1,436",554,496
2021년01월_남_0~9세,"3,421",342,"1,486",175,147,822,112,91,119,34,23,40,22,8
2021년01월_남_10~19세,"4,323",591,"1,772",276,194,678,193,193,173,55,38,119,16,25
2021년01월_남_20~29세,"4,961",957,"1,532",422,224,701,298,289,220,72,54,115,47,30
2021년01월_남_30~39세,"4,774",692,"1,674",292,171,"1,096",247,185,188,48,58,73,25,25
2021년01월_남_40~49세,"7,511","1,154","2,613",527,330,"1,359",365,313,324,114,114,188,57,53
2021년01월_남_50~59세,"8,465","1,417","2,040",745,460,"1,134",656,639,471,189,206,284,131,93
2021년01월_남_60~69세,"7,235","1,167","1,333",669,380,805,713,676,449,215,244,299,159,126
2021년01월_남_70~79세,"4,310",687,773,398,249,428,423,365,305,157,164,207,70,84
2021년01월_남_80~89세,"1,779",318,284,160,90,152,175,149,132,70,73,102,25,49
2021년01월_남_90~99세,173,28,32,20,7,20,10,11,18,8,5,9,2,3
2021년01월_남_100세 이상,8,1,2,0,0,0,2,0,1,2,0,0,0,0
2021년01월_여_총인구수,"44,490","6,973","12,462","3,447","2,134","7,097","2,989","2,898","2,291",935,967,"1,299",525,473
2021년01월_여_연령구간인구수,"44,490","6,973","12,462","3,447","2,134","7,097","2,989","2,898","2,291",935,967,"1,299",525,473
2021년01월_여_0~9세,"3,403",366,"1,400",204,135,832,120,109,115,29,28,38,15,12
2021년01월_여_10~19세,"3,953",591,"1,606",228,188,674,153,189,108,48,23,100,24,21
2021년01월_여_20~29세,"3,960",785,"1,139",288,162,684,236,256,164,61,48,92,33,12
2021년01월_여_30~39세,"4,514",517,"1,705",279,159,"1,138",180,194,154,52,28,57,31,20
2021년01월_여_40~49세,"6,052",929,"2,147",409,310,"1,157",256,268,230,84,74,127,35,26
2021년01월_여_50~59세,"6,731","1,044","1,601",567,342,990,568,555,384,141,169,177,119,74
2021년01월_여_60~69세,"6,728","1,163","1,268",635,371,773,643,570,413,184,225,248,120,115
2021년01월_여_70~79세,"4,989",843,895,480,266,502,448,401,386,165,207,220,71,105
2021년01월_여_80~89세,"3,490",628,582,307,155,299,322,299,278,133,145,196,67,79
2021년01월_여_90~99세,634,105,115,44,40,45,58,52,59,37,20,41,10,8
2021년01월_여_100세 이상,36,2,4,6,6,3,5,5,0,1,0,3,0,1
