,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년11월_계_총인구수,"318,126","7,457","6,595","46,883","15,649","18,941","25,368","29,823","2,754","29,312","27,199","3,866","3,521","53,295","47,463"
2021년11월_계_연령구간인구수,"318,126","7,457","6,595","46,883","15,649","18,941","25,368","29,823","2,754","29,312","27,199","3,866","3,521","53,295","47,463"
2021년11월_계_0~9세,"32,573",314,269,"3,992",912,"1,040","1,935","4,220",83,"4,605","3,837",125,145,"4,918","6,178"
2021년11월_계_10~19세,"28,117",391,380,"3,896","1,013","1,058","2,455","3,098",136,"2,701","2,788",190,174,"4,403","5,434"
2021년11월_계_20~29세,"38,309",877,957,"5,144","2,054","2,395","3,122","3,172",339,"3,090","2,923",462,444,"9,366","3,964"
2021년11월_계_30~39세,"53,286",996,"1,059","6,981","2,207","2,903","3,313","5,097",371,"5,711","4,777",414,460,"11,929","7,068"
2021년11월_계_40~49세,"56,868",943,894,"7,494","2,129","2,481","4,309","6,137",356,"5,347","5,298",496,432,"9,994","10,558"
2021년11월_계_50~59세,"45,350","1,422","1,182","7,131","2,751","3,307","4,155","3,872",568,"3,631","3,899",765,682,"5,986","5,999"
2021년11월_계_60~69세,"38,839","1,577","1,099","7,252","2,809","3,511","3,565","2,693",533,"2,641","2,559",793,718,"4,096","4,993"
2021년11월_계_70~79세,"17,249",607,526,"3,530","1,234","1,559","1,739","1,033",234,"1,083",799,377,295,"1,877","2,356"
2021년11월_계_80~89세,"6,383",262,196,"1,269",474,595,659,393,114,417,262,210,160,605,767
2021년11월_계_90~99세,"1,107",67,32,185,62,90,114,99,20,81,56,31,10,119,141
2021년11월_계_100세 이상,45,1,1,9,4,2,2,9,0,5,1,3,1,2,5
2021년11월_남_총인구수,"159,264","4,120","3,416","23,151","7,954","9,553","12,622","14,738","1,524","14,680","13,325","2,187","2,011","26,592","23,391"
2021년11월_남_연령구간인구수,"159,264","4,120","3,416","23,151","7,954","9,553","12,622","14,738","1,524","14,680","13,325","2,187","2,011","26,592","23,391"
2021년11월_남_0~9세,"16,721",157,146,"2,061",478,528,"1,049","2,102",47,"2,384","1,921",61,68,"2,560","3,159"
2021년11월_남_10~19세,"14,166",201,194,"2,000",543,543,"1,226","1,545",74,"1,352","1,386",105,90,"2,154","2,753"
2021년11월_남_20~29세,"19,226",524,515,"2,622","1,127","1,301","1,650","1,599",198,"1,546","1,437",262,261,"4,167","2,017"
2021년11월_남_30~39세,"26,894",577,630,"3,607","1,204","1,612","1,719","2,360",226,"2,739","2,175",246,288,"6,284","3,227"
2021년11월_남_40~49세,"29,604",594,495,"3,794","1,121","1,314","2,170","3,180",199,"2,802","2,675",303,273,"5,246","5,438"
2021년11월_남_50~59세,"22,732",810,591,"3,382","1,328","1,620","2,042","1,931",321,"1,839","1,886",484,396,"3,082","3,020"
2021년11월_남_60~69세,"18,783",840,540,"3,415","1,329","1,678","1,660","1,310",296,"1,307","1,318",445,417,"1,909","2,319"
2021년11월_남_70~79세,"8,571",306,235,"1,717",612,753,828,550,115,557,425,184,152,956,"1,181"
2021년11월_남_80~89세,"2,312",96,65,501,196,192,255,136,39,138,86,92,63,208,245
2021년11월_남_90~99세,246,14,5,49,15,11,23,23,9,16,16,4,3,26,32
2021년11월_남_100세 이상,9,1,0,3,1,1,0,2,0,0,0,1,0,0,0
2021년11월_여_총인구수,"158,862","3,337","3,179","23,732","7,695","9,388","12,746","15,085","1,230","14,632","13,874","1,679","1,510","26,703","24,072"
2021년11월_여_연령구간인구수,"158,862","3,337","3,179","23,732","7,695","9,388","12,746","15,085","1,230","14,632","13,874","1,679","1,510","26,703","24,072"
2021년11월_여_0~9세,"15,852",157,123,"1,931",434,512,886,"2,118",36,"2,221","1,916",64,77,"2,358","3,019"
2021년11월_여_10~19세,"13,951",190,186,"1,896",470,515,"1,229","1,553",62,"1,349","1,402",85,84,"2,249","2,681"
2021년11월_여_20~29세,"19,083",353,442,"2,522",927,"1,094","1,472","1,573",141,"1,544","1,486",200,183,"5,199","1,947"
2021년11월_여_30~39세,"26,392",419,429,"3,374","1,003","1,291","1,594","2,737",145,"2,972","2,602",168,172,"5,645","3,841"
2021년11월_여_40~49세,"27,264",349,399,"3,700","1,008","1,167","2,139","2,957",157,"2,545","2,623",193,159,"4,748","5,120"
2021년11월_여_50~59세,"22,618",612,591,"3,749","1,423","1,687","2,113","1,941",247,"1,792","2,013",281,286,"2,904","2,979"
2021년11월_여_60~69세,"20,056",737,559,"3,837","1,480","1,833","1,905","1,383",237,"1,334","1,241",348,301,"2,187","2,674"
2021년11월_여_70~79세,"8,678",301,291,"1,813",622,806,911,483,119,526,374,193,143,921,"1,175"
2021년11월_여_80~89세,"4,071",166,131,768,278,403,404,257,75,279,176,118,97,397,522
2021년11월_여_90~99세,861,53,27,136,47,79,91,76,11,65,40,27,7,93,109
2021년11월_여_100세 이상,36,0,1,6,3,1,2,7,0,5,1,2,1,2,5
