,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년11월_계_총인구수,"280,549","2,707","8,656","1,941","20,472","6,305","6,514","2,856","1,348",825,"2,079","4,628","3,234","4,467","4,054","6,234","3,840","5,476","11,689","7,006","18,921","20,829","11,946","10,397","10,489","32,767","37,444","21,575","8,208","2,445","1,197"
2020년11월_계_연령구간인구수,"280,549","2,707","8,656","1,941","20,472","6,305","6,514","2,856","1,348",825,"2,079","4,628","3,234","4,467","4,054","6,234","3,840","5,476","11,689","7,006","18,921","20,829","11,946","10,397","10,489","32,767","37,444","21,575","8,208","2,445","1,197"
2020년11월_계_0~9세,"21,014",53,597,40,"2,101",271,138,67,14,21,56,239,105,153,112,246,152,171,743,476,"1,252","1,701",687,779,"1,061","2,771","4,664","1,232","1,012",72,28
2020년11월_계_10~19세,"26,502",94,659,74,"2,055",317,297,141,38,38,83,281,209,306,232,311,253,267,919,623,"1,892","2,252","1,091","1,219",922,"3,972","4,555","2,071","1,138",128,65
2020년11월_계_20~29세,"33,815",193,750,135,"2,211",458,567,144,65,56,164,422,385,406,353,694,431,458,"1,285",744,"2,540","2,654","1,815","1,444","1,085","5,091","4,649","3,385",864,253,114
2020년11월_계_30~39세,"31,107",123,827,90,"2,629",439,375,123,58,29,134,449,317,356,279,583,302,447,"1,152",716,"2,000","2,437","1,272","1,153","1,373","4,013","5,695","2,302","1,183",186,65
2020년11월_계_40~49세,"42,078",244,"1,284",151,"3,201",734,619,249,92,87,227,563,355,573,496,760,444,627,"1,594",930,"2,786","3,406","1,816","1,724","1,567","5,567","6,563","3,342","1,663",284,130
2020년11월_계_50~59세,"48,571",465,"1,420",324,"3,509","1,059","1,234",456,187,136,464,720,489,730,653,"1,047",614,922,"2,097","1,152","3,416","3,469","2,239","1,882","1,555","5,940","6,098","4,535","1,038",485,236
2020년11월_계_60~69세,"40,669",619,"1,598",449,"2,540","1,240","1,376",660,310,166,470,959,601,958,858,"1,264",799,"1,229","2,107","1,346","2,992","2,769","1,681","1,382","1,538","3,314","3,293","2,767",703,461,220
2020년11월_계_70~79세,"24,458",572,"1,003",390,"1,387","1,054","1,130",607,331,174,297,728,540,708,763,952,569,961,"1,306",764,"1,362","1,444",908,592,967,"1,438","1,278","1,267",438,338,190
2020년11월_계_80~89세,"10,629",295,454,246,740,617,651,363,207,100,153,222,210,243,270,328,238,344,435,221,601,594,384,187,361,560,547,582,150,200,126
2020년11월_계_90~99세,"1,599",47,63,41,93,111,122,43,44,17,27,39,22,26,33,43,36,43,43,30,79,103,52,34,53,96,100,91,17,28,23
2020년11월_계_100세 이상,107,2,1,1,6,5,5,3,2,1,4,6,1,8,5,6,2,7,8,4,1,0,1,1,7,5,2,1,2,10,0
2020년11월_남_총인구수,"143,116","1,357","4,498",956,"10,451","3,263","3,359","1,469",660,411,"1,170","2,351","1,635","2,229","2,080","3,242","1,894","2,779","5,903","3,504","9,314","10,498","6,374","5,252","5,267","16,851","18,775","11,388","4,227","1,334",625
2020년11월_남_연령구간인구수,"143,116","1,357","4,498",956,"10,451","3,263","3,359","1,469",660,411,"1,170","2,351","1,635","2,229","2,080","3,242","1,894","2,779","5,903","3,504","9,314","10,498","6,374","5,252","5,267","16,851","18,775","11,388","4,227","1,334",625
