카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년04월_계_총인구수,"22,277","7,457","2,113","2,381","4,427","2,114","2,195","1,590"
2020년04월_계_연령구간인구수,"22,277","7,457","2,113","2,381","4,427","2,114","2,195","1,590"
2020년04월_계_0~9세,"1,205",583,81,81,244,53,94,69
2020년04월_계_10~19세,"1,677",735,115,124,360,102,150,91
2020년04월_계_20~29세,"1,711",656,150,155,382,129,158,81
2020년04월_계_30~39세,"1,655",726,114,132,338,117,136,92
2020년04월_계_40~49세,"2,645","1,047",207,223,576,202,237,153
2020년04월_계_50~59세,"3,764","1,163",342,411,790,376,414,268
2020년04월_계_60~69세,"4,116","1,170",397,521,755,493,408,372
2020년04월_계_70~79세,"3,114",828,373,430,551,351,339,242
2020년04월_계_80~89세,"2,090",484,293,263,380,247,233,190
2020년04월_계_90~99세,278,62,39,39,43,41,22,32
2020년04월_계_100세 이상,22,3,2,2,8,3,4,0
2020년04월_남_총인구수,"11,103","3,691","1,039","1,208","2,242","1,052","1,080",791
2020년04월_남_연령구간인구수,"11,103","3,691","1,039","1,208","2,242","1,052","1,080",791
2020년04월_남_0~9세,625,296,48,50,124,24,50,33
2020년04월_남_10~19세,845,352,62,64,203,52,66,46
2020년04월_남_20~29세,966,355,93,85,223,78,87,45
2020년04월_남_30~39세,868,354,63,81,180,67,78,45
2020년04월_남_40~49세,"1,519",592,121,137,315,122,133,99
2020년04월_남_50~59세,"2,121",636,198,223,455,221,239,149
2020년04월_남_60~69세,"2,063",565,190,281,373,249,205,200
2020년04월_남_70~79세,"1,339",354,165,195,237,144,138,106
2020년04월_남_80~89세,690,171,89,87,122,84,77,60
2020년04월_남_90~99세,63,15,10,5,9,11,5,8
2020년04월_남_100세 이상,4,1,0,0,1,0,2,0
2020년04월_여_총인구수,"11,174","3,766","1,074","1,173","2,185","1,062","1,115",799
2020년04월_여_연령구간인구수,"11,174","3,766","1,074","1,173","2,185","1,062","1,115",799
2020년04월_여_0~9세,580,287,33,31,120,29,44,36
2020년04월_여_10~19세,832,383,53,60,157,50,84,45
2020년04월_여_20~29세,745,301,57,70,159,51,71,36
2020년04월_여_30~39세,787,372,51,51,158,50,58,47
2020년04월_여_40~49세,"1,126",455,86,86,261,80,104,54
2020년04월_여_50~59세,"1,643",527,144,188,335,155,175,119
2020년04월_여_60~69세,"2,053",605,207,240,382,244,203,172
2020년04월_여_70~79세,"1,775",474,208,235,314,207,201,136
2020년04월_여_80~89세,"1,400",313,204,176,258,163,156,130
2020년04월_여_90~99세,215,47,29,34,34,30,17,24
2020년04월_여_100세 이상,18,2,2,2,7,3,2,0
