,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년10월_계_총인구수,"294,458",154,"3,237","9,831","13,554","14,092","10,521","21,327","10,946","5,811","34,811","13,138","25,987","13,894","20,095","12,380","31,737","50,827","2,116"
2021년10월_계_연령구간인구수,"294,458",154,"3,237","9,831","13,554","14,092","10,521","21,327","10,946","5,811","34,811","13,138","25,987","13,894","20,095","12,380","31,737","50,827","2,116"
2021년10월_계_0~9세,"22,110",0,106,336,628,815,758,"1,592",855,189,"3,025",989,"2,128",936,"1,365",914,"2,829","4,588",57
2021년10월_계_10~19세,"29,746",4,234,624,901,"1,201","1,114","1,799","1,357",379,"4,381","1,143","3,162","1,007","1,783","1,349","4,267","4,955",86
2021년10월_계_20~29세,"37,073",7,365,"1,233","1,744","1,761","1,231","2,730","1,464",846,"4,338","1,657","3,154","1,739","2,414","1,650","3,665","6,882",193
2021년10월_계_30~39세,"40,362",18,364,"1,192","1,777","1,689","1,202","3,200","1,476",739,"4,019","2,296","2,962","2,514","2,773","1,991","3,828","8,121",201
2021년10월_계_40~49세,"50,083",23,453,"1,345","1,908","2,244","1,767","3,303","1,967",788,"6,456","2,223","4,834","2,303","3,312","2,234","6,040","8,670",213
2021년10월_계_50~59세,"49,113",44,568,"1,847","2,347","2,404","1,785","3,491","1,835","1,240","5,840","2,149","4,459","2,197","3,316","2,067","4,935","8,182",407
2021년10월_계_60~69세,"39,360",42,636,"1,843","2,494","2,290","1,574","3,183","1,234",964,"4,242","1,638","3,290","1,756","2,665","1,307","3,812","5,856",534
2021년10월_계_70~79세,"17,670",12,361,967,"1,255","1,149",760,"1,403",510,427,"1,640",762,"1,329",826,"1,451",556,"1,601","2,431",230
