,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년03월_계_총인구수,"100,063","38,542","8,652","28,155","3,477","3,470","2,985","2,361","2,139","3,276","3,547","3,459"
2020년03월_계_연령구간인구수,"100,063","38,542","8,652","28,155","3,477","3,470","2,985","2,361","2,139","3,276","3,547","3,459"
2020년03월_계_0~9세,"8,010","2,634",300,"4,415",100,135,80,47,32,86,85,96
2020년03월_계_10~19세,"9,699","4,525",468,"3,561",144,229,124,78,74,155,156,185
2020년03월_계_20~29세,"9,719","4,870",624,"2,700",232,244,161,129,120,215,190,234
2020년03월_계_30~39세,"10,822","3,748",529,"5,191",214,194,151,116,107,159,211,202
2020년03월_계_40~49세,"14,658","6,277",870,"5,288",337,383,249,166,139,293,291,365
2020년03월_계_50~59세,"15,948","6,810","1,530","3,296",651,611,463,401,375,576,604,631
2020년03월_계_60~69세,"14,175","4,940","1,799","2,000",733,679,636,543,501,755,825,764
2020년03월_계_70~79세,"9,876","2,976","1,556","1,029",575,530,579,458,424,585,616,548
2020년03월_계_80~89세,"6,275","1,533",841,595,431,419,492,360,326,395,496,387
2020년03월_계_90~99세,822,213,115,77,59,44,48,62,41,50,68,45
2020년03월_계_100세 이상,59,16,20,3,1,2,2,1,0,7,5,2
2020년03월_남_총인구수,"49,737","19,107","4,239","14,089","1,753","1,767","1,437","1,188","1,041","1,601","1,771","1,744"
2020년03월_남_연령구간인구수,"49,737","19,107","4,239","14,089","1,753","1,767","1,437","1,188","1,041","1,601","1,771","1,744"
2020년03월_남_0~9세,"4,154","1,350",159,"2,302",55,75,42,25,15,38,45,48
2020년03월_남_10~19세,"4,947","2,307",245,"1,808",85,124,63,37,32,73,79,94
2020년03월_남_20~29세,"5,346","2,701",374,"1,347",135,157,92,83,75,127,117,138
2020년03월_남_30~39세,"5,621","1,931",312,"2,570",130,112,86,77,74,94,130,105
2020년03월_남_40~49세,"7,669","3,069",505,"2,688",211,221,163,105,89,193,198,227
2020년03월_남_50~59세,"8,251","3,468",774,"1,716",354,325,248,227,190,284,315,350
2020년03월_남_60~69세,"6,938","2,351",854,973,371,351,315,273,248,379,427,396
2020년03월_남_70~79세,"4,389","1,325",687,472,251,244,242,217,191,258,254,248
2020년03월_남_80~89세,"2,198",541,288,201,148,150,175,128,121,140,181,125
2020년03월_남_90~99세,207,58,36,12,12,8,10,16,6,13,23,13
2020년03월_남_100세 이상,17,6,5,0,1,0,1,0,0,2,2,0
2020년03월_여_총인구수,"50,326","19,435","4,413","14,066","1,724","1,703","1,548","1,173","1,098","1,675","1,776","1,715"
2020년03월_여_연령구간인구수,"50,326","19,435","4,413","14,066","1,724","1,703","1,548","1,173","1,098","1,675","1,776","1,715"
2020년03월_여_0~9세,"3,856","1,284",141,"2,113",45,60,38,22,17,48,40,48
2020년03월_여_10~19세,"4,752","2,218",223,"1,753",59,105,61,41,42,82,77,91
2020년03월_여_20~29세,"4,373","2,169",250,"1,353",97,87,69,46,45,88,73,96
2020년03월_여_30~39세,"5,201","1,817",217,"2,621",84,82,65,39,33,65,81,97
2020년03월_여_40~49세,"6,989","3,208",365,"2,600",126,162,86,61,50,100,93,138
2020년03월_여_50~59세,"7,697","3,342",756,"1,580",297,286,215,174,185,292,289,281
2020년03월_여_60~69세,"7,237","2,589",945,"1,027",362,328,321,270,253,376,398,368
2020년03월_여_70~79세,"5,487","1,651",869,557,324,286,337,241,233,327,362,300
2020년03월_여_80~89세,"4,077",992,553,394,283,269,317,232,205,255,315,262
2020년03월_여_90~99세,615,155,79,65,47,36,38,46,35,37,45,32
2020년03월_여_100세 이상,42,10,15,3,0,2,1,1,0,5,3,2
