카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년07월_계_총인구수,"37,001","10,757","4,722","4,862","1,851","1,678","3,295","2,591","3,536","1,683","2,026"
2020년07월_계_연령구간인구수,"37,001","10,757","4,722","4,862","1,851","1,678","3,295","2,591","3,536","1,683","2,026"
2020년07월_계_0~9세,"1,774",655,249,306,72,40,154,103,111,33,51
2020년07월_계_10~19세,"2,605","1,023",243,383,123,113,189,178,159,98,96
2020년07월_계_20~29세,"2,857","1,003",355,408,125,115,224,180,203,119,125
2020년07월_계_30~39세,"3,203",956,724,513,100,101,310,148,176,69,106
2020년07월_계_40~49세,"4,985","1,679",705,749,212,180,442,314,328,175,201
2020년07월_계_50~59세,"7,116","1,946",789,938,395,332,664,513,755,384,400
2020년07월_계_60~69세,"7,376","1,754",872,897,396,363,769,544,850,408,523
2020년07월_계_70~79세,"4,539","1,110",548,480,275,276,362,351,559,247,331
2020년07월_계_80~89세,"2,157",514,199,167,138,122,157,220,341,129,170
2020년07월_계_90~99세,340,103,29,15,15,25,22,38,51,20,22
2020년07월_계_100세 이상,49,14,9,6,0,11,2,2,3,1,1
2020년07월_남_총인구수,"19,218","5,477","2,483","2,572",957,829,"1,756","1,297","1,872",906,"1,069"
2020년07월_남_연령구간인구수,"19,218","5,477","2,483","2,572",957,829,"1,756","1,297","1,872",906,"1,069"
2020년07월_남_0~9세,918,340,121,162,35,16,81,52,55,21,35
2020년07월_남_10~19세,"1,346",535,111,206,63,58,93,86,90,54,50
2020년07월_남_20~29세,"1,615",574,189,230,72,65,135,109,104,69,68
2020년07월_남_30~39세,"1,817",506,418,282,60,61,190,81,110,43,66
2020년07월_남_40~49세,"2,894",882,440,420,135,108,269,179,216,110,135
2020년07월_남_50~59세,"3,879","1,045",445,515,214,188,341,276,424,228,203
2020년07월_남_60~69세,"3,867",914,412,460,218,175,421,280,471,226,290
2020년07월_남_70~79세,"2,042",485,254,223,106,110,175,155,263,112,159
2020년07월_남_80~89세,744,176,79,67,50,35,45,68,126,41,57
2020년07월_남_90~99세,76,16,11,3,4,6,5,10,13,2,6
2020년07월_남_100세 이상,20,4,3,4,0,7,1,1,0,0,0
2020년07월_여_총인구수,"17,783","5,280","2,239","2,290",894,849,"1,539","1,294","1,664",777,957
2020년07월_여_연령구간인구수,"17,783","5,280","2,239","2,290",894,849,"1,539","1,294","1,664",777,957
2020년07월_여_0~9세,856,315,128,144,37,24,73,51,56,12,16
2020년07월_여_10~19세,"1,259",488,132,177,60,55,96,92,69,44,46
2020년07월_여_20~29세,"1,242",429,166,178,53,50,89,71,99,50,57
2020년07월_여_30~39세,"1,386",450,306,231,40,40,120,67,66,26,40
2020년07월_여_40~49세,"2,091",797,265,329,77,72,173,135,112,65,66
2020년07월_여_50~59세,"3,237",901,344,423,181,144,323,237,331,156,197
2020년07월_여_60~69세,"3,509",840,460,437,178,188,348,264,379,182,233
2020년07월_여_70~79세,"2,497",625,294,257,169,166,187,196,296,135,172
2020년07월_여_80~89세,"1,413",338,120,100,88,87,112,152,215,88,113
2020년07월_여_90~99세,264,87,18,12,11,19,17,28,38,18,16
2020년07월_여_100세 이상,29,10,6,2,0,4,1,1,3,1,1
