카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년10월_계_총인구수,"51,933","11,110","13,749","4,942","2,291","1,674","2,548","1,512","1,292","1,264","2,128","2,034","2,977","4,412"
2020년10월_계_연령구간인구수,"51,933","11,110","13,749","4,942","2,291","1,674","2,548","1,512","1,292","1,264","2,128","2,034","2,977","4,412"
2020년10월_계_0~9세,"2,327",553,"1,019",168,52,31,60,55,28,32,38,44,51,196
2020년10월_계_10~19세,"3,494",873,"1,516",216,59,56,112,71,57,26,69,84,102,253
2020년10월_계_20~29세,"3,910","1,057","1,344",299,93,93,143,80,62,39,95,98,208,299
2020년10월_계_30~39세,"3,479",872,"1,141",304,113,59,113,79,65,54,92,100,155,332
2020년10월_계_40~49세,"5,868","1,552","1,985",490,160,140,228,102,78,98,151,152,246,486
2020년10월_계_50~59세,"8,560","1,928","2,294",810,313,255,369,225,175,194,340,308,549,800
2020년10월_계_60~69세,"10,144","1,962","2,078","1,052",522,363,528,336,303,304,524,498,695,979
2020년10월_계_70~79세,"8,045","1,476","1,402",933,478,345,512,296,250,289,423,397,564,680
2020년10월_계_80~89세,"5,235",733,814,578,437,275,411,236,242,201,340,292,336,340
2020년10월_계_90~99세,829,99,148,87,59,56,69,31,31,26,53,58,67,45
2020년10월_계_100세 이상,42,5,8,5,5,1,3,1,1,1,3,3,4,2
2020년10월_남_총인구수,"25,687","5,569","6,719","2,473","1,104",827,"1,187",723,631,648,"1,038",981,"1,472","2,315"
2020년10월_남_연령구간인구수,"25,687","5,569","6,719","2,473","1,104",827,"1,187",723,631,648,"1,038",981,"1,472","2,315"
2020년10월_남_0~9세,"1,166",273,506,89,30,13,26,26,14,22,16,24,30,97
2020년10월_남_10~19세,"1,808",452,792,111,36,28,53,35,30,16,35,40,50,130
2020년10월_남_20~29세,"2,283",611,756,159,60,58,80,50,37,27,57,61,144,183
2020년10월_남_30~39세,"1,955",464,569,183,72,38,65,49,44,29,62,62,97,221
2020년10월_남_40~49세,"3,218",824,956,306,102,96,124,61,44,66,84,85,151,319
2020년10월_남_50~59세,"4,651","1,078","1,179",472,161,142,199,119,101,118,181,181,287,433
2020년10월_남_60~69세,"4,947",936,"1,000",526,256,177,250,169,158,144,257,245,331,498
2020년10월_남_70~79세,"3,572",625,630,399,219,160,227,135,107,141,208,179,258,284
2020년10월_남_80~89세,"1,886",281,291,209,153,102,145,71,85,82,130,88,111,138
2020년10월_남_90~99세,192,25,37,18,13,13,18,8,11,3,8,14,13,11
2020년10월_남_100세 이상,9,0,3,1,2,0,0,0,0,0,0,2,0,1
2020년10월_여_총인구수,"26,246","5,541","7,030","2,469","1,187",847,"1,361",789,661,616,"1,090","1,053","1,505","2,097"
2020년10월_여_연령구간인구수,"26,246","5,541","7,030","2,469","1,187",847,"1,361",789,661,616,"1,090","1,053","1,505","2,097"
2020년10월_여_0~9세,"1,161",280,513,79,22,18,34,29,14,10,22,20,21,99
2020년10월_여_10~19세,"1,686",421,724,105,23,28,59,36,27,10,34,44,52,123
2020년10월_여_20~29세,"1,627",446,588,140,33,35,63,30,25,12,38,37,64,116
2020년10월_여_30~39세,"1,524",408,572,121,41,21,48,30,21,25,30,38,58,111
2020년10월_여_40~49세,"2,650",728,"1,029",184,58,44,104,41,34,32,67,67,95,167
2020년10월_여_50~59세,"3,909",850,"1,115",338,152,113,170,106,74,76,159,127,262,367
2020년10월_여_60~69세,"5,197","1,026","1,078",526,266,186,278,167,145,160,267,253,364,481
2020년10월_여_70~79세,"4,473",851,772,534,259,185,285,161,143,148,215,218,306,396
2020년10월_여_80~89세,"3,349",452,523,369,284,173,266,165,157,119,210,204,225,202
2020년10월_여_90~99세,637,74,111,69,46,43,51,23,20,23,45,44,54,34
2020년10월_여_100세 이상,33,5,5,4,3,1,3,1,1,1,3,1,4,1
