카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년04월_계_총인구수,"91,976","14,108","26,142","7,156","4,486","14,572","6,234","5,817","4,744","1,924","1,967","2,767","1,076",983
2020년04월_계_연령구간인구수,"91,976","14,108","26,142","7,156","4,486","14,572","6,234","5,817","4,744","1,924","1,967","2,767","1,076",983
2020년04월_계_0~9세,"7,389",734,"3,165",410,327,"1,779",258,208,238,69,54,81,41,25
2020년04월_계_10~19세,"8,372","1,238","3,343",542,399,"1,357",339,381,292,119,67,214,41,40
2020년04월_계_20~29세,"8,966","1,618","2,627",718,408,"1,451",577,566,410,127,113,221,80,50
2020년04월_계_30~39세,"9,901","1,217","3,631",610,394,"2,393",459,379,371,113,84,139,56,55
2020년04월_계_40~49세,"13,627","2,086","4,668",976,670,"2,516",638,611,555,209,200,319,99,80
2020년04월_계_50~59세,"15,426","2,453","3,626","1,319",797,"2,190","1,267","1,243",875,335,397,479,262,183
2020년04월_계_60~69세,"13,304","2,230","2,464","1,217",710,"1,484","1,311","1,186",857,378,444,548,245,230
2020년04월_계_70~79세,"8,998","1,479","1,613",841,504,898,828,742,662,319,364,416,149,183
2020년04월_계_80~89세,"5,211",923,863,454,227,451,496,433,422,207,217,299,92,127
2020년04월_계_90~99세,744,123,136,63,46,51,57,63,62,46,27,50,11,9
2020년04월_계_100세 이상,38,7,6,6,4,2,4,5,0,2,0,1,0,1
2020년04월_남_총인구수,"47,244","7,253","13,576","3,712","2,289","7,340","3,235","2,936","2,430",975,981,"1,466",556,495
2020년04월_남_연령구간인구수,"47,244","7,253","13,576","3,712","2,289","7,340","3,235","2,936","2,430",975,981,"1,466",556,495
2020년04월_남_0~9세,"3,746",354,"1,642",199,174,905,125,89,120,38,25,43,22,10
2020년04월_남_10~19세,"4,393",634,"1,750",301,202,677,196,199,176,58,42,115,20,23
2020년04월_남_20~29세,"4,971",911,"1,489",420,235,724,320,294,240,73,59,129,45,32
2020년04월_남_30~39세,"5,073",688,"1,788",324,199,"1,166",261,191,206,57,57,79,27,30
2020년04월_남_40~49세,"7,598","1,153","2,586",556,353,"1,374",368,337,323,117,123,193,62,53
2020년04월_남_50~59세,"8,587","1,400","2,039",756,443,"1,150",691,673,486,196,209,302,138,104
2020년04월_남_60~69세,"6,858","1,120","1,243",601,351,769,694,648,437,203,235,298,143,116
2020년04월_남_70~79세,"4,114",656,736,381,248,409,399,349,291,154,157,189,68,77
2020년04월_남_80~89세,"1,739",309,272,152,78,151,171,143,140,68,69,109,29,48
2020년04월_남_90~99세,157,27,29,21,6,15,8,13,11,9,5,9,2,2
2020년04월_남_100세 이상,8,1,2,1,0,0,2,0,0,2,0,0,0,0
2020년04월_여_총인구수,"44,732","6,855","12,566","3,444","2,197","7,232","2,999","2,881","2,314",949,986,"1,301",520,488
2020년04월_여_연령구간인구수,"44,732","6,855","12,566","3,444","2,197","7,232","2,999","2,881","2,314",949,986,"1,301",520,488
2020년04월_여_0~9세,"3,643",380,"1,523",211,153,874,133,119,118,31,29,38,19,15
2020년04월_여_10~19세,"3,979",604,"1,593",241,197,680,143,182,116,61,25,99,21,17
2020년04월_여_20~29세,"3,995",707,"1,138",298,173,727,257,272,170,54,54,92,35,18
2020년04월_여_30~39세,"4,828",529,"1,843",286,195,"1,227",198,188,165,56,27,60,29,25
2020년04월_여_40~49세,"6,029",933,"2,082",420,317,"1,142",270,274,232,92,77,126,37,27
2020년04월_여_50~59세,"6,839","1,053","1,587",563,354,"1,040",576,570,389,139,188,177,124,79
2020년04월_여_60~69세,"6,446","1,110","1,221",616,359,715,617,538,420,175,209,250,102,114
2020년04월_여_70~79세,"4,884",823,877,460,256,489,429,393,371,165,207,227,81,106
2020년04월_여_80~89세,"3,472",614,591,302,149,300,325,290,282,139,148,190,63,79
2020년04월_여_90~99세,587,96,107,42,40,36,49,50,51,37,22,41,9,7
2020년04월_여_100세 이상,30,6,4,5,4,2,2,5,0,0,0,1,0,1
