,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년05월_계_총인구수,"52,148","13,556","1,968","1,637","1,830","1,588","1,489","1,479","4,358","3,950","2,555","1,823","1,798","1,816","4,608","3,872",799,"2,182",840
2020년05월_계_연령구간인구수,"52,148","13,556","1,968","1,637","1,830","1,588","1,489","1,479","4,358","3,950","2,555","1,823","1,798","1,816","4,608","3,872",799,"2,182",840
2020년05월_계_0~9세,"1,990",847,31,43,41,31,34,32,128,153,91,47,47,41,238,95,21,55,15
2020년05월_계_10~19세,"2,399","1,043",63,42,54,36,58,44,166,144,58,46,60,55,286,137,12,70,25
2020년05월_계_20~29세,"3,271","1,164",88,73,95,73,63,68,241,280,123,85,112,106,360,201,24,90,25
2020년05월_계_30~39세,"3,365","1,226",98,78,73,57,79,80,247,288,125,103,101,88,339,215,28,93,47
2020년05월_계_40~49세,"4,776","1,758",156,105,155,112,80,96,349,358,190,132,129,127,500,285,45,148,51
2020년05월_계_50~59세,"8,939","2,313",318,265,346,300,285,253,701,707,429,319,305,322,784,652,152,356,132
2020년05월_계_60~69세,"11,470","2,497",513,409,468,405,414,407,"1,006",900,624,447,376,413,825,879,162,537,188
2020년05월_계_70~79세,"9,061","1,696",389,351,353,291,263,268,876,636,505,345,346,365,733,802,197,456,189
2020년05월_계_80~89세,"6,056",866,281,252,218,245,182,206,549,422,365,268,292,274,482,537,137,329,151
2020년05월_계_90~99세,778,135,29,19,26,38,28,24,89,59,42,29,29,23,60,67,21,44,16
2020년05월_계_100세 이상,43,11,2,0,1,0,3,1,6,3,3,2,1,2,1,2,0,4,1
2020년05월_남_총인구수,"25,545","6,669",967,811,887,763,755,748,"2,168","1,916","1,230",918,878,867,"2,191","1,920",379,"1,083",395
2020년05월_남_연령구간인구수,"25,545","6,669",967,811,887,763,755,748,"2,168","1,916","1,230",918,878,867,"2,191","1,920",379,"1,083",395
2020년05월_남_0~9세,"1,047",457,19,25,26,13,14,20,76,72,38,19,24,26,118,54,10,27,9
2020년05월_남_10~19세,"1,262",557,38,18,20,22,34,20,87,79,31,28,30,29,137,72,6,38,16
2020년05월_남_20~29세,"1,894",649,55,47,50,45,43,39,145,157,73,50,69,62,210,122,15,50,13
2020년05월_남_30~39세,"1,870",630,63,54,47,32,48,49,144,154,73,61,57,52,181,132,12,53,28
2020년05월_남_40~49세,"2,815",946,110,68,96,77,45,59,213,211,122,93,81,77,270,191,25,100,31
2020년05월_남_50~59세,"4,837","1,191",177,146,188,161,149,145,382,401,233,180,168,189,414,345,88,199,81
2020년05월_남_60~69세,"5,711","1,193",254,206,233,202,232,225,513,413,316,234,183,205,392,446,90,283,91
2020년05월_남_70~79세,"3,934",740,149,163,146,132,119,113,396,281,228,154,153,139,313,351,76,206,75
2020년05월_남_80~89세,"1,992",275,98,83,75,73,62,73,188,134,107,93,107,82,146,182,49,116,49
2020년05월_남_90~99세,175,29,4,1,5,6,8,4,23,14,9,6,6,6,10,24,8,10,2
2020년05월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년05월_여_총인구수,"26,603","6,887","1,001",826,943,825,734,731,"2,190","2,034","1,325",905,920,949,"2,417","1,952",420,"1,099",445
2020년05월_여_연령구간인구수,"26,603","6,887","1,001",826,943,825,734,731,"2,190","2,034","1,325",905,920,949,"2,417","1,952",420,"1,099",445
2020년05월_여_0~9세,943,390,12,18,15,18,20,12,52,81,53,28,23,15,120,41,11,28,6
2020년05월_여_10~19세,"1,137",486,25,24,34,14,24,24,79,65,27,18,30,26,149,65,6,32,9
2020년05월_여_20~29세,"1,377",515,33,26,45,28,20,29,96,123,50,35,43,44,150,79,9,40,12
2020년05월_여_30~39세,"1,495",596,35,24,26,25,31,31,103,134,52,42,44,36,158,83,16,40,19
2020년05월_여_40~49세,"1,961",812,46,37,59,35,35,37,136,147,68,39,48,50,230,94,20,48,20
2020년05월_여_50~59세,"4,102","1,122",141,119,158,139,136,108,319,306,196,139,137,133,370,307,64,157,51
2020년05월_여_60~69세,"5,759","1,304",259,203,235,203,182,182,493,487,308,213,193,208,433,433,72,254,97
2020년05월_여_70~79세,"5,127",956,240,188,207,159,144,155,480,355,277,191,193,226,420,451,121,250,114
2020년05월_여_80~89세,"4,064",591,183,169,143,172,120,133,361,288,258,175,185,192,336,355,88,213,102
2020년05월_여_90~99세,603,106,25,18,21,32,20,20,66,45,33,23,23,17,50,43,13,34,14
2020년05월_여_100세 이상,35,9,2,0,0,0,2,0,5,3,3,2,1,2,1,1,0,3,1
