,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년05월_계_총인구수,"543,072","55,790","17,752","6,693","7,806","3,819","3,227","6,296","10,039","9,638","10,218","74,641","80,813","9,573","41,271","34,323","7,910","56,207","36,846","70,210"
2020년05월_계_연령구간인구수,"543,072","55,790","17,752","6,693","7,806","3,819","3,227","6,296","10,039","9,638","10,218","74,641","80,813","9,573","41,271","34,323","7,910","56,207","36,846","70,210"
2020년05월_계_0~9세,"51,151","6,724","2,696",236,219,78,89,180,582,665,645,"5,036","7,693",559,"2,753","1,747",578,"5,677","3,889","11,105"
2020년05월_계_10~19세,"62,130","5,926","1,261",358,342,127,163,230,740,599,692,"8,177","10,750",730,"3,988","3,315",809,"8,116","5,263","10,544"
2020년05월_계_20~29세,"69,270","5,499","2,216",639,680,324,288,497,"1,323","1,189","1,488","12,496","10,886","1,275","6,276","5,875","1,028","6,763","4,362","6,166"
2020년05월_계_30~39세,"71,794","9,208","4,085",560,621,256,253,459,"1,305","1,266","1,253","8,448","9,907","1,001","4,629","3,164",851,"7,123","4,987","12,418"
2020년05월_계_40~49세,"99,343","10,673","2,755",861,773,364,352,602,"1,440","1,278","1,482","12,391","15,684","1,372","6,680","5,313","1,294","12,076","7,881","16,072"
2020년05월_계_50~59세,"95,858","8,220","2,655","1,541","1,705",863,752,"1,192","2,053","1,844","2,166","16,199","14,477","2,022","8,798","7,701","1,557","8,808","5,806","7,499"
2020년05월_계_60~69세,"55,184","5,623","1,325","1,301","1,790",904,766,"1,687","1,528","1,545","1,489","7,168","6,999","1,532","4,983","4,368","1,087","4,337","2,775","3,977"
2020년05월_계_70~79세,"25,797","2,615",455,757,"1,010",590,384,945,734,873,697,"3,127","2,967",729,"2,210","1,896",489,"2,244","1,321","1,754"
2020년05월_계_80~89세,"11,136","1,145",273,379,591,279,145,435,294,336,270,"1,429","1,294",324,852,858,190,953,498,591
2020년05월_계_90~99세,"1,332",149,31,60,74,33,32,67,35,38,30,161,150,28,91,82,22,103,64,82
2020년05월_계_100세 이상,77,8,0,1,1,1,3,2,5,5,6,9,6,1,11,4,5,7,0,2
2020년05월_남_총인구수,"274,740","28,713","9,045","3,630","4,245","2,013","1,783","3,265","5,124","4,896","5,241","37,173","40,524","5,034","21,004","17,584","3,995","28,070","18,502","34,899"
2020년05월_남_연령구간인구수,"274,740","28,713","9,045","3,630","4,245","2,013","1,783","3,265","5,124","4,896","5,241","37,173","40,524","5,034","21,004","17,584","3,995","28,070","18,502","34,899"
2020년05월_남_0~9세,"26,104","3,441","1,341",136,121,53,54,79,295,350,352,"2,638","3,955",282,"1,397",909,304,"2,854","1,953","5,590"
2020년05월_남_10~19세,"32,422","3,091",645,197,201,66,84,134,373,327,372,"4,275","5,681",387,"2,114","1,742",399,"4,173","2,723","5,438"
2020년05월_남_20~29세,"37,545","3,038","1,114",383,432,194,168,306,748,670,798,"6,700","5,870",696,"3,386","3,301",548,"3,643","2,330","3,220"
2020년05월_남_30~39세,"36,918","4,772","2,122",311,396,152,158,276,741,657,687,"4,402","4,936",579,"2,521","1,767",454,"3,531","2,537","5,919"
2020년05월_남_40~49세,"49,373","5,749","1,439",534,502,222,216,341,744,683,752,"5,749","7,442",741,"3,340","2,593",637,"5,888","3,826","7,975"
