카테고리,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년06월_계_총인구수,"51,839,408","9,720,846","3,404,423","2,427,954","2,947,217","1,455,048","1,471,040","1,142,190","345,341","13,338,020","1,539,282","1,597,593","2,119,771","1,808,802","1,854,618","2,646,493","3,349,454","671,316"
2020년06월_계_연령구간인구수,"51,839,408","9,720,846","3,404,423","2,427,954","2,947,217","1,455,048","1,471,040","1,142,190","345,341","13,338,020","1,539,282","1,597,593","2,119,771","1,808,802","1,854,618","2,646,493","3,349,454","671,316"
2020년06월_계_0~9세,"4,075,794","646,238","238,364","183,631","235,526","123,413","118,539","101,761","47,105","1,166,941","107,641","126,469","177,486","132,723","135,676","194,959","277,878","61,444"
2020년06월_계_10~19세,"4,861,506","800,377","276,766","230,453","277,423","160,383","149,539","113,822","41,077","1,340,623","139,764","151,063","204,588","177,739","169,972","229,448","327,569","70,900"
2020년06월_계_20~29세,"6,803,579","1,465,500","434,376","322,265","404,099","208,765","212,938","146,741","36,098","1,791,260","179,041","198,496","242,601","211,553","200,707","286,407","381,057","81,675"
2020년06월_계_30~39세,"6,972,185","1,496,864","427,542","300,366","412,813","189,436","197,697","156,012","60,923","1,914,790","168,403","197,029","273,346","193,014","190,059","298,316","411,941","83,634"
2020년06월_계_40~49세,"8,342,267","1,547,624","514,737","387,880","486,833","243,727","240,090","189,274","66,382","2,295,521","225,843","242,150","328,774","271,605","262,465","386,803","539,898","112,661"
2020년06월_계_50~59세,"8,652,260","1,532,341","575,757","427,621","513,748","233,826","242,755","210,714","43,369","2,217,025","268,566","273,957","339,822","301,169","315,014","461,830","583,173","111,573"
2020년06월_계_60~69세,"6,523,322","1,217,518","518,401","316,981","353,459","158,721","173,812","139,985","28,419","1,466,163","232,937","214,966","269,787","248,891","264,683","396,465","445,112","77,022"
2020년06월_계_70~79세,"3,658,049","697,099","290,106","173,456","175,105","91,879","89,871","58,616","13,859","754,497","135,719","119,630","169,700","167,779","191,712","240,489","243,549","44,983"
2020년06월_계_80~89세,"1,686,109","269,405","111,821","75,574","75,394","38,816","39,740","22,068","6,908","336,956","69,687","64,406","98,983","90,368","107,957","132,774","121,988","23,264"
2020년06월_계_90~99세,"243,203","41,346","14,705","9,024","11,889","5,663","5,712","3,032","1,145","50,079","10,854","8,869","13,779","13,121","15,538","18,046","16,512","3,889"
2020년06월_계_100세 이상,"21,134","6,534","1,848",703,928,419,347,165,56,"4,165",827,558,905,840,835,956,777,271
2020년06월_남_총인구수,"25,853,937","4,732,275","1,668,618","1,198,815","1,476,813","720,060","734,441","586,939","172,234","6,711,047","774,325","809,657","1,081,224","899,137","931,898","1,332,780","1,686,331","337,343"
2020년06월_남_연령구간인구수,"25,853,937","4,732,275","1,668,618","1,198,815","1,476,813","720,060","734,441","586,939","172,234","6,711,047","774,325","809,657","1,081,224","899,137","931,898","1,332,780","1,686,331","337,343"
2020년06월_남_0~9세,"2,090,575","331,870","122,295","94,046","120,847","63,438","60,891","52,351","24,163","597,691","55,087","64,673","90,891","68,076","69,174","100,566","142,949","31,567"
2020년06월_남_10~19세,"2,516,242","410,236","143,169","120,530","142,763","83,285","77,383","59,968","20,599","690,470","72,857","78,661","106,178","92,137","88,373","120,877","171,651","37,105"
2020년06월_남_20~29세,"3,574,164","713,039","226,699","172,679","210,883","108,943","111,813","82,286","18,280","942,471","100,426","110,346","133,872","114,090","111,830","161,678","211,521","43,308"
2020년06월_남_30~39세,"3,588,576","749,157","218,387","155,746","213,371","96,490","102,796","82,695","29,634","985,236","88,149","104,196","146,796","99,483","100,061","158,961","215,095","42,323"
2020년06월_남_40~49세,"4,239,154","766,587","259,081","191,259","248,676","120,963","119,772","96,202","34,015","1,166,172","116,278","125,516","175,281","140,191","140,651","202,091","278,217","58,202"
2020년06월_남_50~59세,"4,365,248","752,182","279,155","209,487","256,964","115,915","120,905","107,416","22,519","1,124,534","137,873","140,932","179,227","155,636","168,487","238,496","297,444","58,076"
2020년06월_남_60~69세,"3,188,946","575,000","245,721","150,908","175,164","75,535","84,574","70,649","14,101","728,210","115,695","107,578","134,421","122,735","132,975","196,269","221,240","38,171"
2020년06월_남_70~79세,"1,642,296","317,745","130,561","75,629","79,590","40,662","40,742","27,655","6,331","341,782","60,683","53,670","76,524","73,606","83,330","106,451","107,021","20,314"
2020년06월_남_80~89세,"588,678","103,967","39,938","26,384","25,715","13,562","14,169","7,190","2,321","121,415","24,548","21,942","34,596","30,091","33,793","43,477","37,881","7,689"
2020년06월_남_90~99세,"54,925","10,782","3,202","1,982","2,594","1,214","1,312",494,261,"11,953","2,474","1,988","3,232","2,918","3,107","3,709","3,152",551
2020년06월_남_100세 이상,"5,133","1,710",410,165,246,53,84,33,10,"1,113",255,155,206,174,117,205,160,37
2020년06월_여_총인구수,"25,985,471","4,988,571","1,735,805","1,229,139","1,470,404","734,988","736,599","555,251","173,107","6,626,973","764,957","787,936","1,038,547","909,665","922,720","1,313,713","1,663,123","333,973"
2020년06월_여_연령구간인구수,"25,985,471","4,988,571","1,735,805","1,229,139","1,470,404","734,988","736,599","555,251","173,107","6,626,973","764,957","787,936","1,038,547","909,665","922,720","1,313,713","1,663,123","333,973"
2020년06월_여_0~9세,"1,985,219","314,368","116,069","89,585","114,679","59,975","57,648","49,410","22,942","569,250","52,554","61,796","86,595","64,647","66,502","94,393","134,929","29,877"
2020년06월_여_10~19세,"2,345,264","390,141","133,597","109,923","134,660","77,098","72,156","53,854","20,478","650,153","66,907","72,402","98,410","85,602","81,599","108,571","155,918","33,795"
2020년06월_여_20~29세,"3,229,415","752,461","207,677","149,586","193,216","99,822","101,125","64,455","17,818","848,789","78,615","88,150","108,729","97,463","88,877","124,729","169,536","38,367"
2020년06월_여_30~39세,"3,383,609","747,707","209,155","144,620","199,442","92,946","94,901","73,317","31,289","929,554","80,254","92,833","126,550","93,531","89,998","139,355","196,846","41,311"
2020년06월_여_40~49세,"4,103,113","781,037","255,656","196,621","238,157","122,764","120,318","93,072","32,367","1,129,349","109,565","116,634","153,493","131,414","121,814","184,712","261,681","54,459"
2020년06월_여_50~59세,"4,287,012","780,159","296,602","218,134","256,784","117,911","121,850","103,298","20,850","1,092,491","130,693","133,025","160,595","145,533","146,527","223,334","285,729","53,497"
2020년06월_여_60~69세,"3,334,376","642,518","272,680","166,073","178,295","83,186","89,238","69,336","14,318","737,953","117,242","107,388","135,366","126,156","131,708","200,196","223,872","38,851"
2020년06월_여_70~79세,"2,015,753","379,354","159,545","97,827","95,515","51,217","49,129","30,961","7,528","412,715","75,036","65,960","93,176","94,173","108,382","134,038","136,528","24,669"
2020년06월_여_80~89세,"1,097,431","165,438","71,883","49,190","49,679","25,254","25,571","14,878","4,587","215,541","45,139","42,464","64,387","60,277","74,164","89,297","84,107","15,575"
2020년06월_여_90~99세,"188,278","30,564","11,503","7,042","9,295","4,449","4,400","2,538",884,"38,126","8,380","6,881","10,547","10,203","12,431","14,337","13,360","3,338"
2020년06월_여_100세 이상,"16,001","4,824","1,438",538,682,366,263,132,46,"3,052",572,403,699,666,718,751,617,234
