,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년12월_계_총인구수,"53,099","21,893","4,693","6,922","1,812","1,777","1,372","2,322","2,409","4,038","5,268",405,188
2020년12월_계_연령구간인구수,"53,099","21,893","4,693","6,922","1,812","1,777","1,372","2,322","2,409","4,038","5,268",405,188
2020년12월_계_0~9세,"3,765","2,088",181,641,84,85,59,83,86,152,280,15,11
2020년12월_계_10~19세,"4,169","2,366",243,549,119,74,58,183,76,152,336,11,2
2020년12월_계_20~29세,"5,012","2,419",345,826,163,127,94,164,127,245,465,27,10
2020년12월_계_30~39세,"4,871","2,315",269,925,153,115,117,125,133,261,426,20,12
2020년12월_계_40~49세,"6,553","3,373",440,871,170,151,104,237,193,372,552,64,26
2020년12월_계_50~59세,"8,543","3,426",812,"1,129",285,284,233,388,335,645,891,85,30
2020년12월_계_60~69세,"8,467","2,876",851,874,322,342,302,400,469,919,953,106,53
2020년12월_계_70~79세,"7,171","1,958",916,726,295,314,239,423,540,834,843,48,35
2020년12월_계_80~89세,"3,965",920,559,333,181,251,148,277,402,406,458,22,8
2020년12월_계_90~99세,549,139,70,44,38,34,18,38,48,52,60,7,1
2020년12월_계_100세 이상,34,13,7,4,2,0,0,4,0,0,4,0,0
2020년12월_남_총인구수,"26,468","10,735","2,349","3,625",968,864,686,"1,172","1,158","1,979","2,572",248,112
2020년12월_남_연령구간인구수,"26,468","10,735","2,349","3,625",968,864,686,"1,172","1,158","1,979","2,572",248,112
2020년12월_남_0~9세,"1,926","1,066",91,345,41,49,25,37,46,69,144,7,6
2020년12월_남_10~19세,"2,147","1,202",127,268,88,36,24,102,45,74,172,7,2
2020년12월_남_20~29세,"2,813","1,297",215,493,96,59,52,93,71,152,262,17,6
2020년12월_남_30~39세,"2,508","1,119",158,498,85,56,62,73,72,145,221,13,6
2020년12월_남_40~49세,"3,702","1,702",290,500,116,98,70,153,120,255,329,48,21
2020년12월_남_50~59세,"4,711","1,757",483,642,168,157,134,253,203,355,478,60,21
2020년12월_남_60~69세,"4,261","1,372",424,465,186,185,157,198,238,455,491,62,28
2020년12월_남_70~79세,"3,075",893,375,305,129,136,109,166,216,360,339,27,20
2020년12월_남_80~89세,"1,215",297,168,103,50,79,49,89,139,103,129,7,2
2020년12월_남_90~99세,107,30,15,6,9,9,4,8,8,11,7,0,0
2020년12월_남_100세 이상,3,0,3,0,0,0,0,0,0,0,0,0,0
2020년12월_여_총인구수,"26,631","11,158","2,344","3,297",844,913,686,"1,150","1,251","2,059","2,696",157,76
2020년12월_여_연령구간인구수,"26,631","11,158","2,344","3,297",844,913,686,"1,150","1,251","2,059","2,696",157,76
2020년12월_여_0~9세,"1,839","1,022",90,296,43,36,34,46,40,83,136,8,5
2020년12월_여_10~19세,"2,022","1,164",116,281,31,38,34,81,31,78,164,4,0
2020년12월_여_20~29세,"2,199","1,122",130,333,67,68,42,71,56,93,203,10,4
2020년12월_여_30~39세,"2,363","1,196",111,427,68,59,55,52,61,116,205,7,6
2020년12월_여_40~49세,"2,851","1,671",150,371,54,53,34,84,73,117,223,16,5
2020년12월_여_50~59세,"3,832","1,669",329,487,117,127,99,135,132,290,413,25,9
2020년12월_여_60~69세,"4,206","1,504",427,409,136,157,145,202,231,464,462,44,25
2020년12월_여_70~79세,"4,096","1,065",541,421,166,178,130,257,324,474,504,21,15
2020년12월_여_80~89세,"2,750",623,391,230,131,172,99,188,263,303,329,15,6
2020년12월_여_90~99세,442,109,55,38,29,25,14,30,40,41,53,7,1
2020년12월_여_100세 이상,31,13,4,4,2,0,0,4,0,0,4,0,0
