카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년04월_계_총인구수,"312,691","25,100","22,263","30,682","27,898","32,533","19,246","16,890","17,993","21,461","21,724","23,731","21,115","32,055"
2020년04월_계_연령구간인구수,"312,691","25,100","22,263","30,682","27,898","32,533","19,246","16,890","17,993","21,461","21,724","23,731","21,115","32,055"
2020년04월_계_0~9세,"16,918","1,422",882,"1,617","1,207","3,169",759,767,"1,037","1,105","1,133",907,"1,176","1,737"
2020년04월_계_10~19세,"23,034","2,075","1,409","2,142","1,740","4,088","1,154","1,163","1,447","1,411","1,496","1,204","1,447","2,258"
2020년04월_계_20~29세,"43,427","3,207","3,757","4,303","3,764","3,487","3,333","2,194","2,055","3,133","3,085","4,233","2,692","4,184"
2020년04월_계_30~39세,"40,093","3,112","2,938","4,282","3,399","3,987","2,881","1,933","1,873","2,854","2,567","3,535","2,656","4,076"
2020년04월_계_40~49세,"48,474","3,883","3,188","4,787","4,078","6,766","2,996","2,570","2,794","3,082","3,197","3,383","3,071","4,679"
2020년04월_계_50~59세,"53,412","4,497","3,871","5,225","5,165","4,963","3,151","2,919","2,822","3,739","3,837","4,070","3,657","5,496"
2020년04월_계_60~69세,"44,852","3,683","3,255","4,446","4,500","3,224","2,541","2,638","2,676","3,209","3,213","3,335","3,202","4,930"
2020년04월_계_70~79세,"29,767","2,248","2,065","2,777","2,825","1,977","1,747","1,974","2,503","1,981","2,160","2,160","2,155","3,195"
2020년04월_계_80~89세,"11,017",810,792,955,"1,064",751,596,654,692,801,916,797,891,"1,298"
2020년04월_계_90~99세,"1,455",133,97,120,134,96,80,72,85,109,115,93,137,184
2020년04월_계_100세 이상,242,30,9,28,22,25,8,6,9,37,5,14,31,18
2020년04월_남_총인구수,"152,594","12,503","10,721","14,753","13,913","15,679","9,618","8,228","8,506","10,622","10,434","11,833","10,285","15,499"
2020년04월_남_연령구간인구수,"152,594","12,503","10,721","14,753","13,913","15,679","9,618","8,228","8,506","10,622","10,434","11,833","10,285","15,499"
2020년04월_남_0~9세,"8,763",732,471,834,633,"1,662",393,410,543,549,578,445,628,885
2020년04월_남_10~19세,"11,842","1,078",736,"1,041",859,"2,081",619,621,731,723,791,662,763,"1,137"
2020년04월_남_20~29세,"21,332","1,664","1,640","2,075","1,937","1,722","1,610","1,143","1,043","1,580","1,473","2,071","1,294","2,080"
2020년04월_남_30~39세,"21,110","1,637","1,570","2,201","1,833","1,869","1,527","1,074",971,"1,562","1,377","1,930","1,421","2,138"
2020년04월_남_40~49세,"24,817","1,979","1,642","2,446","2,170","3,264","1,583","1,316","1,420","1,653","1,610","1,796","1,554","2,384"
2020년04월_남_50~59세,"26,043","2,288","1,862","2,437","2,593","2,466","1,619","1,427","1,347","1,797","1,803","2,048","1,740","2,616"
2020년04월_남_60~69세,"20,877","1,724","1,549","2,045","2,185","1,509","1,210","1,189","1,179","1,493","1,490","1,538","1,501","2,265"
2020년04월_남_70~79세,"12,995","1,032",911,"1,240","1,237",818,785,793,990,908,920,985,946,"1,430"
2020년04월_남_80~89세,"4,345",322,312,389,418,258,249,238,259,319,359,324,386,512
2020년04월_남_90~99세,410,37,27,34,43,22,22,14,22,34,32,32,44,47
2020년04월_남_100세 이상,60,10,1,11,5,8,1,3,1,4,1,2,8,5
2020년04월_여_총인구수,"160,097","12,597","11,542","15,929","13,985","16,854","9,628","8,662","9,487","10,839","11,290","11,898","10,830","16,556"
2020년04월_여_연령구간인구수,"160,097","12,597","11,542","15,929","13,985","16,854","9,628","8,662","9,487","10,839","11,290","11,898","10,830","16,556"
2020년04월_여_0~9세,"8,155",690,411,783,574,"1,507",366,357,494,556,555,462,548,852
2020년04월_여_10~19세,"11,192",997,673,"1,101",881,"2,007",535,542,716,688,705,542,684,"1,121"
2020년04월_여_20~29세,"22,095","1,543","2,117","2,228","1,827","1,765","1,723","1,051","1,012","1,553","1,612","2,162","1,398","2,104"
2020년04월_여_30~39세,"18,983","1,475","1,368","2,081","1,566","2,118","1,354",859,902,"1,292","1,190","1,605","1,235","1,938"
2020년04월_여_40~49세,"23,657","1,904","1,546","2,341","1,908","3,502","1,413","1,254","1,374","1,429","1,587","1,587","1,517","2,295"
2020년04월_여_50~59세,"27,369","2,209","2,009","2,788","2,572","2,497","1,532","1,492","1,475","1,942","2,034","2,022","1,917","2,880"
2020년04월_여_60~69세,"23,975","1,959","1,706","2,401","2,315","1,715","1,331","1,449","1,497","1,716","1,723","1,797","1,701","2,665"
2020년04월_여_70~79세,"16,772","1,216","1,154","1,537","1,588","1,159",962,"1,181","1,513","1,073","1,240","1,175","1,209","1,765"
2020년04월_여_80~89세,"6,672",488,480,566,646,493,347,416,433,482,557,473,505,786
2020년04월_여_90~99세,"1,045",96,70,86,91,74,58,58,63,75,83,61,93,137
2020년04월_여_100세 이상,182,20,8,17,17,17,7,3,8,33,4,12,23,13
