,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년06월_계_총인구수,"281,121","2,763","8,668","1,947","20,627","6,324","6,540","2,885","1,345",850,"2,082","4,687","3,291","4,509","4,092","6,381","3,916","5,550","11,929","7,072","19,220","19,800","12,052","10,541","10,488","33,048","36,944","21,630","8,240","2,491","1,209"
2020년06월_계_연령구간인구수,"281,121","2,763","8,668","1,947","20,627","6,324","6,540","2,885","1,345",850,"2,082","4,687","3,291","4,509","4,092","6,381","3,916","5,550","11,929","7,072","19,220","19,800","12,052","10,541","10,488","33,048","36,944","21,630","8,240","2,491","1,209"
2020년06월_계_0~9세,"21,598",58,641,37,"2,169",294,143,73,15,27,62,242,113,172,120,273,158,180,792,489,"1,368","1,471",746,837,"1,071","2,891","4,709","1,261","1,078",74,34
2020년06월_계_10~19세,"26,958",108,661,76,"2,092",317,318,136,40,39,84,283,217,313,239,335,263,261,955,656,"1,973","2,198","1,144","1,274",937,"4,047","4,483","2,168","1,121",147,73
2020년06월_계_20~29세,"33,790",194,751,133,"2,238",472,548,159,58,56,161,451,382,385,343,707,428,480,"1,323",756,"2,528","2,541","1,805","1,434","1,075","5,153","4,600","3,388",865,270,106
2020년06월_계_30~39세,"31,713",132,833,96,"2,731",460,380,128,59,36,145,461,322,375,298,607,335,466,"1,240",724,"2,113","2,180","1,315","1,224","1,396","4,065","5,731","2,358","1,248",187,68
2020년06월_계_40~49세,"42,449",260,"1,294",153,"3,201",747,650,255,95,84,229,565,370,587,494,793,464,641,"1,622",948,"2,880","3,259","1,846","1,776","1,575","5,707","6,492","3,374","1,644",304,140
2020년06월_계_50~59세,"48,622",491,"1,414",333,"3,530","1,053","1,261",470,197,147,476,733,506,745,683,"1,067",627,947,"2,166","1,178","3,458","3,395","2,244","1,866","1,552","5,895","5,933","4,536","1,002",484,233
2020년06월_계_60~69세,"39,782",619,"1,569",449,"2,457","1,223","1,350",648,296,163,458,965,599,956,856,"1,292",801,"1,242","2,065","1,319","2,907","2,685","1,638","1,342","1,524","3,222","3,131","2,660",676,449,221
2020년06월_계_70~79세,"24,073",553,998,388,"1,383","1,034","1,123",607,336,174,285,723,555,702,761,940,571,947,"1,302",747,"1,329","1,390",888,564,940,"1,405","1,220","1,228",438,351,191
2020년06월_계_80~89세,"10,472",295,448,244,720,617,645,359,202,105,151,217,205,240,258,320,233,342,415,219,586,586,379,186,358,569,549,564,154,185,121
